"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","tke","epsilon","F1","F2","Fmu","SijSij","lm","u","pressureactual","D","E","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.2446611,-0.388605,0.00055499998,0,-0.388605,0.001563,2.3000001e-05,0.051096998,1.401539,1,1,0.139566,46888.062,0.00012700001,0,-2.2446611,0.61950302,-0.024653999,-0.39193401,0.00111,0,1,0,0.5,0,0
-2.2445979,-0.56834,0.001804,0,-0.56834,0.003125,0.000157,0.070927002,0.85877401,1,1,0.29826799,2970.5044,0.00072299998,0,-2.2445979,0.214982,-1e-06,-0.57250702,0.0024989999,0,1,0.0020000001,0.5,0.0020000001,0
-2.244463,-0.62936598,0.0032259999,0,-0.62936598,0.0046870001,0.00036800001,0.078612998,0.64685601,1,1,0.42842099,416.6344,0.001609,0,-2.244463,0.105902,-0,-0.63372803,0.0039530001,0,1,0.0040000002,0.5,0.0040000002,0
-2.2442949,-0.65828001,0.0046890001,0,-0.65828001,0.0062500001,0.00062100001,0.084253997,0.55321699,1,1,0.537956,105.94267,0.0026209999,0,-2.2442949,0.063844003,-0,-0.662696,0.0054250001,0,1,0.0060000001,0.5,0.0060000001,0
-2.2439649,-0.68392497,0.0076359999,0,-0.68392497,0.0093750004,0.001158,0.093304001,0.476704,1,1,0.70440298,14.018766,0.004642,0,-2.2439649,0.031422999,-0,-0.68834198,0.0083720004,0,1,0.0080000004,0.5,0.0080000004,0
-2.2438259,-0.689632,0.0091049997,0,-0.689632,0.010938,0.001417,0.097271003,0.46030501,1,1,0.76585197,6.1616211,0.005564,0,-2.2438259,0.024068,-0,-0.69402999,0.0098379999,0,1,0.0099999998,0.5,0.0099999998,0
-2.2438769,-0.69297397,0.010569,0,-0.69297397,0.0125,0.00148,0.101268,0.450241,1,1,0.81602299,3.115787,0.0064380001,0,-2.2438769,0.019184001,-0,-0.69735801,0.0113,0,1,0.012,0.5,0.012,0
-2.243995,-0.694538,0.012026,0,-0.694538,0.014063,0.00148,0.105611,0.44438699,1,1,0.85700899,1.877866,0.0072960001,0,-2.243995,0.015807999,-0,-0.69889802,0.012753,0,1,0.014,0.5,0.014,0
-2.2442751,-0.69248098,0.014895,0,-0.69248098,0.017188,0.00148,0.115489,0.443239,1,1,0.91674697,3.0082359,0.0089480001,0,-2.2442751,0.011572,-0,-0.69671297,0.0156,0,1,0.016000001,0.5,0.016000001,0
-2.244436,-0.688829,0.016287999,0,-0.688829,0.018750001,0.00148,0.120973,0.44736701,1,1,0.93768197,5.4022412,0.0097209997,0,-2.244436,0.010185,-0,-0.692958,0.016976001,0,1,0.018000001,0.5,0.018000001,0
-2.2446091,-0.68341202,0.017643999,0,-0.68341202,0.020313,0.00148,0.126785,0.45432201,1,1,0.95395702,9.0450506,0.010449,0,-2.2446091,0.0090960003,-0,-0.687415,0.018310999,0,1,0.02,0.5,0.02,0
-2.2449889,-0.66725898,0.020207001,0,-0.66725898,0.023437999,0.00148,0.13929,0.475997,1,1,0.975833,20.121872,0.011747,0,-2.2449889,0.0075059999,-0,-0.67093498,0.020819999,0,1,0.022,0.5,0.022,0
-2.245193,-0.656515,0.021399001,0,-0.656515,0.025,0.00148,0.145925,0.490437,1,1,0.98282701,27.562408,0.012313,0,-2.245193,0.0069109998,-0,-0.65999299,0.021979,0,1,0.024,0.5,0.024,0
-2.2454071,-0.64399201,0.022522001,0,-0.64399201,0.026563,0.00148,0.15277401,0.50713599,1,1,0.98795003,36.266823,0.012823,0,-2.2454071,0.0064090001,-0,-0.64724898,0.023065001,0,1,0.026000001,0.5,0.026000001,0
-2.245626,-0.62968999,0.023567,0,-0.62968999,0.028124999,0.00148,0.159807,0.526016,1,1,0.99164599,46.227379,0.013275,0,-2.245626,0.0059799999,-0,-0.63270599,0.02407,0,1,0.028000001,0.5,0.028000001,0
-2.2460811,-0.59576702,0.0254,0,-0.59576702,0.03125,0.00148,0.174301,0.57013297,1,1,0.99612302,69.877464,0.014014,0,-2.2460811,0.0052829999,-0,-0.59824002,0.025812,0,1,0.030000001,0.5,0.030000001,0
