"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","lm","u","pressureactual","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.2271619,-0.89952397,0.00071599998,0,-0.89952397,0.001563,0.00031,0.00064099999,0.483702,-3.461129,-0.90381902,0.001432,0,1,0,0.30000001,0,0
-3.2276859,-1.459092,0.001027,0,-1.459092,0.003125,0.000444,0.001281,0.34653699,-3.347774,-1.456664,0.00062200002,0,1,0.0020000001,0.30000001,0.0020000001,0
-3.2301919,-1.741607,-0.001283,0,-1.741607,0.0046870001,0.00051400001,0.001922,0.267443,-3.301718,-1.730177,-0.0031880001,0,1,0.0040000002,0.30000001,0.0040000002,0
-3.234668,-1.887761,-0.006608,0,-1.887761,0.0062500001,0.00038799999,0.002563,0.151361,-3.2575779,-1.867238,-0.010029,0,1,0.0060000001,0.30000001,0.0060000001,0
-3.2587299,-1.849846,-0.033328999,0,-1.849846,0.0093750004,0.00068300002,0.0038439999,0.177766,-3.2903299,-1.800285,-0.041588999,0,1,0.0080000004,0.30000001,0.0080000004,0
-3.2748449,-1.771932,-0.050067,0,-1.771932,0.010938,0.0010319999,0.0044840002,0.230103,-3.3277919,-1.721061,-0.058545999,0,1,0.0099999998,0.30000001,0.0099999998,0
-3.2922339,-1.68808,-0.067157999,0,-1.68808,0.0125,0.001405,0.0051250001,0.27408299,-3.3673561,-1.636407,-0.075769998,0,1,0.012,0.30000001,0.012,0
-3.310432,-1.601493,-0.084412999,0,-1.601493,0.014063,0.001801,0.0057660001,0.312428,-3.4080441,-1.549634,-0.093056001,0,1,0.014,0.30000001,0.014,0
-3.3482089,-1.425581,-0.118868,0,-1.425581,0.017188,0.0026769999,0.0070469999,0.37981901,-3.4924719,-1.374185,-0.127434,0,1,0.016000001,0.30000001,0.016000001,0
-3.3672731,-1.33735,-0.135915,0,-1.33735,0.018750001,0.0031570001,0.0076879999,0.41069999,-3.535948,-1.2864619,-0.14439701,0,1,0.018000001,0.30000001,0.018000001,0
-3.386126,-1.249257,-0.152771,0,-1.249257,0.020313,0.003667,0.0083280001,0.44026199,-3.579957,-1.1990139,-0.161145,0,1,0.02,0.30000001,0.02,0
-3.4222829,-1.073866,-0.18573999,0,-1.073866,0.023437999,0.004768,0.0096089998,0.49614999,-3.668448,-1.0252531,-0.19384199,0,1,0.022,0.30000001,0.022,0
-3.439177,-0.98667401,-0.201786,0,-0.98667401,0.025,0.005357,0.01025,0.522681,-3.7123721,-0.93901199,-0.20973,0,1,0.024,0.30000001,0.024,0
-3.455039,-0.89986098,-0.217503,0,-0.89986098,0.026563,0.0059719998,0.010891,0.54836398,-3.7557421,-0.853221,-0.22527599,0,1,0.026000001,0.30000001,0.026000001,0
-3.4697101,-0.81344903,-0.232869,0,-0.81344903,0.028124999,0.00661,0.011531,0.57323998,-3.7983141,-0.76789302,-0.24046201,0,1,0.028000001,0.30000001,0.028000001,0
-3.494915,-0.64191097,-0.262476,0,-0.64191097,0.03125,0.007952,0.012812,0.620682,-3.880161,-0.59867197,-0.26968199,0,1,0.030000001,0.30000001,0.030000001,0
-3.5052111,-0.55682403,-0.276685,0,-0.55682403,0.032811999,0.0086540002,0.013453,0.64328003,-3.919019,-0.51480502,-0.28368801,0,1,0.032000002,0.30000001,0.032000002,0
-3.513835,-0.47221899,-0.290483,0,-0.47221899,0.034375001,0.0093740001,0.014094,0.66514403,-3.9562509,-0.43145499,-0.297277,0,1,0.034000002,0.30000001,0.034000002,0
-3.5257649,-0.30454901,-0.31680101,0,-0.30454901,0.037500001,0.010866,0.015375,0.70670301,-4.0251951,-0.26637101,-0.323163,0,1,0.036000002,0.30000001,0.036000002,0
-3.5289569,-0.22153001,-0.32930499,0,-0.22153001,0.039062001,0.011634,0.016016001,0.726412,-4.0566311,-0.184677,-0.335448,0,1,0.037999999,0.30000001,0.037999999,0
-3.5302479,-0.139088,-0.34136599,0,-0.139088,0.040624999,0.012416,0.016656,0.74541801,-4.085897,-0.103576,-0.347285,0,1,0.039999999,0.30000001,0.039999999,0
-3.5296209,-0.057248,-0.35297799,0,-0.057248,0.042187002,0.01321,0.017297,0.76373398,-4.1129098,-0.023088999,-0.35867101,0,1,0.041999999,0.30000001,0.041999999,0
-3.5230341,0.104505,-0.374841,0,0.104505,0.045311999,0.014825,0.018578,0.79799801,-4.1598349,0.13592599,-0.38007799,0,1,0.044,0.30000001,0.044,0
-3.5167429,0.18435,-0.38508499,0,0.18435,0.046875,0.015645999,0.019219,0.81410098,-4.1795039,0.214394,-0.39009199,0,1,0.046,0.30000001,0.046,0
-3.5083439,0.26348099,-0.39487001,0,0.26348099,0.048436999,0.016476,0.019858999,0.829624,-4.19662,0.29214799,-0.39964801,0,1,0.048,0.30000001,0.048,0
-3.485435,0.41952801,-0.413064,0,0.41952801,0.051562,0.018158,0.021141,0.85892999,-4.2231951,0.445443,-0.41738299,0,1,0.050000001,0.30000001,0.050000001,0
-3.4710629,0.496407,-0.421473,0,0.496407,0.053125001,0.019009,0.021780999,0.872733,-4.2327261,0.52094698,-0.42556301,0,1,0.052000001,0.30000001,0.052000001,0
-3.454855,0.57249701,-0.429425,0,0.57249701,0.054687999,0.019865001,0.022422001,0.88598698,-4.2398281,0.59566498,-0.43328601,0,1,0.054000001,0.30000001,0.054000001,0
-3.436903,0.64778298,-0.436919,0,0.64778298,0.056249999,0.020726001,0.023062,0.89870298,-4.2445698,0.66957903,-0.440552,0,1,0.056000002,0.30000001,0.056000002,0
-3.3961599,0.79587501,-0.45053601,0,0.79587501,0.059374999,0.022459,0.024343999,0.922575,-4.2473049,0.81493098,-0.45371199,0,1,0.058000002,0.30000001,0.058000002,0
-3.3735759,0.86865401,-0.45665899,0,0.86865401,0.060936999,0.023329001,0.024984,0.93375301,-4.245471,0.88633698,-0.45960701,0,1,0.060000002,0.30000001,0.060000002,0
-3.3496599,0.94056797,-0.46232501,0,0.94056797,0.0625,0.024201,0.025625,0.94443703,-4.241622,0.95687801,-0.46504301,0,1,0.062000003,0.30000001,0.062000003,0
-3.3245239,1.0116071,-0.46753201,0,1.0116071,0.064061999,0.025074,0.026265999,0.95463598,-4.2358541,1.026541,-0.47002101,0,1,0.064000003,0.30000001,0.064000003,0
-3.271018,1.151015,-0.47656801,0,1.151015,0.067186996,0.02682,0.027547,0.97362798,-4.2189698,1.1631891,-0.47859699,0,1,0.066,0.30000001,0.066,0
-3.242836,1.219366,-0.48039499,0,1.219366,0.068750001,0.027693,0.028186999,0.98245001,-4.2080441,1.230154,-0.48219299,0,1,0.068000004,0.30000001,0.068000004,0
-3.213825,1.286806,-0.48375899,0,1.286806,0.070312001,0.028564001,0.028828001,0.99085498,-4.1956191,1.2962019,-0.48532501,0,1,0.07,0.30000001,0.07,0
-3.1536751,1.418932,-0.48908699,0,1.418932,0.073438004,0.030308001,0.030108999,1.006613,-4.166945,1.425512,-0.49018401,0,1,0.072000004,0.30000001,0.072000004,0
-3.122684,1.4836169,-0.491041,0,1.4836169,0.075000003,0.031182,0.030750001,1.014053,-4.1509881,1.488759,-0.491898,0,1,0.074000001,0.30000001,0.074000001,0
