"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","lm","u","pressureactual","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.16104,0.32301,-6.2e-05,0,0.32301,0.001563,0.000118,0.000641,0.1847,0.12693,0.32338,-0.000124,0,1,0,0.8,0,0
0.16104,0.57794,-0.00024,0,0.57794,0.003125,0.000218,0.001281,0.16993,0.13216,0.57864,-0.000356,0,1,0.002,0.8,0.002,0
0.16103,0.73746,-0.000509,0,0.73746,0.004687,0.000324,0.001922,0.16841,0.13267,0.73837,-0.000662,0,1,0.004,0.8,0.004,0
0.16102,0.85177,-0.000843,0,0.85177,0.00625,0.000427,0.002563,0.16655,0.13328,0.85286,-0.001025,0,1,0.006,0.8,0.006,0
0.16096,1.0129,-0.001657,0,1.0129,0.009375,0.00063,0.003844,0.16395,0.13409,1.0142,-0.001881,0,1,0.008,0.8,0.008,0
0.16093,1.0738,-0.00212,0,1.0738,0.010938,0.00073,0.004484,0.16288,0.1344,1.0752,-0.00236,0,1,0.01,0.8,0.01,0
0.16088,1.1263,-0.002613,0,1.1263,0.0125,0.00083,0.005125,0.16195,0.13465,1.1278,-0.002866,0,1,0.012,0.8,0.012,0
0.16082,1.1725,-0.00313,0,1.1725,0.014063,0.000929,0.005766,0.16115,0.13485,1.1741,-0.003394,0,1,0.014,0.8,0.014,0
0.16067,1.2506,-0.004223,0,1.2506,0.017188,0.001127,0.007047,0.15988,0.13511,1.2523,-0.004504,0,1,0.016,0.8,0.016,0
0.16058,1.2844,-0.004792,0,1.2844,0.01875,0.001225,0.007688,0.15939,0.13518,1.2861,-0.00508,0,1,0.018,0.8,0.018,0
0.16048,1.3153,-0.005372,0,1.3153,0.020313,0.001324,0.008328,0.159,0.1352,1.317,-0.005665,0,1,0.02,0.8,0.02,0
0.16024,1.3704,-0.006558,0,1.3704,0.023438,0.001522,0.009609,0.15843,0.13514,1.3722,-0.006857,0,1,0.022,0.8,0.022,0
0.16009,1.3952,-0.007158,0,1.3952,0.025,0.001622,0.01025,0.15824,0.13506,1.397,-0.00746,0,1,0.024,0.8,0.024,0
0.15994,1.4184,-0.007762,0,1.4184,0.026563,0.001722,0.010891,0.1581,0.13494,1.4202,-0.008064,0,1,0.026,0.8,0.026,0
0.15977,1.4403,-0.008366,0,1.4403,0.028125,0.001822,0.011531,0.15801,0.13481,1.4421,-0.008669,0,1,0.028,0.8,0.028,0
0.1594,1.4806,-0.009573,0,1.4806,0.03125,0.002024,0.012812,0.15793,0.13446,1.4824,-0.009874,0,1,0.03,0.8,0.03,0
0.1592,1.4993,-0.010172,0,1.4993,0.032812,0.002125,0.013453,0.15793,0.13425,1.5011,-0.010471,0,1,0.032,0.8,0.032,0
0.15898,1.517,-0.010768,0,1.517,0.034375,0.002226,0.014094,0.15795,0.13403,1.5188,-0.011065,0,1,0.034,0.8,0.034,0
0.1585,1.5502,-0.011944,0,1.5502,0.0375,0.00243,0.015375,0.15803,0.13353,1.552,-0.012234,0,1,0.036,0.8,0.036,0
0.15825,1.5658,-0.012522,0,1.5658,0.039062,0.002532,0.016016,0.15807,0.13326,1.5675,-0.012809,0,1,0.038,0.8,0.038,0
0.15798,1.5807,-0.013093,0,1.5807,0.040625,0.002634,0.016656,0.15812,0.13298,1.5824,-0.013376,0,1,0.04,0.8,0.04,0
0.1577,1.5951,-0.013656,0,1.5951,0.042187,0.002736,0.017297,0.15816,0.13269,1.5968,-0.013935,0,1,0.042,0.8,0.042,0
0.15712,1.6223,-0.014756,0,1.6223,0.045312,0.002939,0.018578,0.15821,0.13208,1.6239,-0.015026,0,1,0.044,0.8,0.044,0
0.1568,1.6352,-0.015292,0,1.6352,0.046875,0.003041,0.019219,0.15822,0.13177,1.6368,-0.015557,0,1,0.046,0.8,0.046,0
0.15649,1.6477,-0.015818,0,1.6477,0.048437,0.003142,0.019859,0.15821,0.13146,1.6492,-0.016079,0,1,0.048,0.8,0.048,0
0.15581,1.6714,-0.01684,0,1.6714,0.051562,0.003343,0.021141,0.15813,0.13081,1.6729,-0.01709,0,1,0.05,0.8,0.05,0
0.15546,1.6827,-0.017335,0,1.6827,0.053125,0.003443,0.021781,0.15806,0.13048,1.6841,-0.017579,0,1,0.052,0.8,0.052,0
0.1551,1.6936,-0.017819,0,1.6936,0.054688,0.003542,0.022422,0.15796,0.13015,1.6951,-0.018058,0,1,0.054,0.8,0.054,0
0.15474,1.7043,-0.018291,0,1.7043,0.05625,0.00364,0.023062,0.15783,0.12983,1.7057,-0.018525,0,1,0.056,0.8,0.056,0
0.15398,1.7246,-0.019203,0,1.7246,0.059375,0.003834,0.024344,0.1575,0.12917,1.726,-0.019425,0,1,0.058,0.8,0.058,0
0.15359,1.7344,-0.019641,0,1.7344,0.060937,0.00393,0.024984,0.15729,0.12885,1.7357,-0.019858,0,1,0.06,0.8,0.06,0
0.15319,1.7439,-0.020068,0,1.7439,0.0625,0.004024,0.025625,0.15704,0.12852,1.7451,-0.020279,0,1,0.062,0.8,0.062,0
0.15278,1.7531,-0.020484,0,1.7531,0.064062,0.004118,0.026266,0.15677,0.1282,1.7543,-0.020688,0,1,0.064,0.8,0.064,0
0.15195,1.7708,-0.021278,0,1.7708,0.067187,0.0043,0.027547,0.15611,0.12757,1.772,-0.021471,0,1,0.066,0.8,0.066,0
0.15152,1.7793,-0.021658,0,1.7793,0.06875,0.00439,0.028187,0.15574,0.12727,1.7805,-0.021845,0,1,0.068,0.8,0.068,0
0.15109,1.7876,-0.022026,0,1.7876,0.070312,0.004478,0.028828,0.15532,0.12696,1.7887,-0.022207,0,1,0.07,0.8,0.07,0
0.15021,1.8036,-0.022726,0,1.8036,0.073438,0.004648,0.030109,0.15438,0.12637,1.8046,-0.022895,0,1,0.072,0.8,0.072,0
0.14976,1.8113,-0.023058,0,1.8113,0.075,0.004731,0.03075,0.15386,0.12609,1.8123,-0.023222,0,1,0.074,0.8,0.074,0
0.14931,1.8188,-0.023379,0,1.8188,0.076563,0.004812,0.031391,0.15329,0.12581,1.8197,-0.023536,0,1,0.076,0.8,0.076,0
