"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","tke","epsilon","F1","F2","Fmu","SijSij","lm","u","pressureactual","D","E","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.099242,-0.47919801,0.00067799998,0,-0.47919801,0.001563,3.7000002e-05,0.089227997,3.457535,1,1,0.18015499,70894.375,0.000153,0,-2.099242,1.081811,-0.0074410001,-0.48326701,0.001356,0,1,0,0.69999999,0,0
-2.09904,-0.69752002,0.002412,0,-0.69752002,0.003125,0.000212,0.115388,2.0546069,1,1,0.36350599,4427.1665,0.000764,0,-2.09904,0.34974599,-0,-0.70385498,0.0034680001,0,1,0.0020000001,0.69999999,0.0020000001,0
-2.0985861,-0.77323401,0.004654,0,-0.77323401,0.0046870001,0.00047900001,0.12703,1.544425,1,1,0.508865,637.83154,0.0016439999,0,-2.0985861,0.17112599,-0,-0.780348,0.005839,0,1,0.0040000002,0.69999999,0.0040000002,0
-2.097965,-0.808927,0.0070750001,0,-0.808927,0.0062500001,0.00079199998,0.13631099,1.32075,1,1,0.62546498,157.93271,0.002627,0,-2.097965,0.103291,-0,-0.81634098,0.0083109997,0,1,0.0060000001,0.69999999,0.0060000001,0
-2.0964589,-0.838911,0.012069,0,-0.838911,0.0093750004,0.001442,0.152073,1.138494,1,1,0.78900898,18.812159,0.00453,0,-2.0964589,0.051215,-0,-0.84642702,0.013321,0,1,0.0080000004,0.69999999,0.0080000004,0
-2.0960679,-0.84498399,0.014566,0,-0.84498399,0.010938,0.00148,0.159869,1.095943,1,1,0.84451598,8.4729509,0.0054290001,0,-2.0960679,0.039556999,-0,-0.85245198,0.01581,0,1,0.0099999998,0.69999999,0.0099999998,0
-2.095681,-0.84761,0.017036,0,-0.84761,0.0125,0.00148,0.168644,1.067093,1,1,0.88748902,5.0052662,0.0063490001,0,-2.095681,0.031948,-0,-0.85496801,0.018262999,0,1,0.012,0.69999999,0.012,0
-2.0952401,-0.84684402,0.019459,0,-0.84684402,0.014063,0.00148,0.178422,1.049572,1,1,0.92018402,6.3130431,0.0072829998,0,-2.0952401,0.026706001,-0,-0.85402,0.020654,0,1,0.014,0.69999999,0.014,0
-2.094207,-0.835186,0.024063,0,-0.835186,0.017188,0.00148,0.20066901,1.042575,1,1,0.96225101,22.835323,0.009145,0,-2.094207,0.020106999,-0,-0.84179097,0.025164001,0,1,0.016000001,0.69999999,0.016000001,0
-2.093621,-0.824368,0.026202001,0,-0.824368,0.018750001,0.00148,0.212966,1.050625,1,1,0.97484201,37.655609,0.010052,0,-2.093621,0.017930999,-0,-0.83059603,0.027240001,0,1,0.018000001,0.69999999,0.018000001,0
-2.092993,-0.81030703,0.028206,0,-0.81030703,0.020313,0.00148,0.225916,1.064959,1,1,0.98357499,56.431236,0.010932,0,-2.092993,0.016207,-0,-0.8161,0.029170999,0,1,0.02,0.69999999,0.02,0
-2.0916281,-0.77279299,0.031738002,0,-0.77279299,0.023437999,0.00148,0.253353,1.10882,1,1,0.99340099,104.18315,0.012593,0,-2.0916281,0.013652,-0,-0.77757299,0.032535002,0,1,0.022,0.69999999,0.022,0
-2.0908999,-0.74954498,0.033236999,0,-0.74954498,0.025,0.00148,0.26761499,1.136701,1,1,0.99593002,132.21933,0.01337,0,-2.0908999,0.012674,-0,-0.75375599,0.033939,0,1,0.024,0.69999999,0.024,0
