"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","lm","u","pressureactual","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.30697101,0.271653,-0.00052200002,0,0.271653,0.001563,9.8999997e-05,0.00064099999,0.154927,0.28296801,0.274784,-0.001044,0,1,0,0.60000002,0,0
0.30695599,0.48405501,-0.0019650001,0,0.48405501,0.003125,0.000181,0.001281,0.141139,0.287036,0.48958299,-0.0028860001,0,1,0.0020000001,0.60000002,0.0020000001,0
0.306869,0.61573797,-0.0040509999,0,0.61573797,0.0046870001,0.000268,0.001922,0.13920601,0.28749001,0.62273097,-0.0052169999,0,1,0.0040000002,0.60000002,0.0040000002,0
0.30670899,0.71005601,-0.006544,0,0.71005601,0.0062500001,0.00035399999,0.002563,0.13827901,0.287588,0.71802199,-0.0078720003,0,1,0.0060000001,0.60000002,0.0060000001,0
0.306133,0.84463602,-0.012267,0,0.84463602,0.0093750004,0.00053899997,0.0038439999,0.140322,0.28644201,0.853733,-0.013783,0,1,0.0080000004,0.60000002,0.0080000004,0
0.305702,0.89678001,-0.015351,0,0.89678001,0.010938,0.00063999998,0.0044840002,0.142644,0.285355,0.90618598,-0.016918,0,1,0.0099999998,0.60000002,0.0099999998,0
0.30517101,0.94270098,-0.018518001,0,0.94270098,0.0125,0.00074599998,0.0051250001,0.145575,0.283979,0.95230103,-0.020118,0,1,0.012,0.60000002,0.012,0
0.304539,0.98397499,-0.021736,0,0.98397499,0.014063,0.00085900002,0.0057660001,0.14895999,0.28234899,0.99368101,-0.023353999,0,1,0.014,0.60000002,0.014,0
0.302966,1.056466,-0.028225999,0,1.056466,0.017188,0.001104,0.0070469999,0.15660401,0.27844101,1.066203,-0.029848,0,1,0.016000001,0.60000002,0.016000001,0
0.30202699,1.0889421,-0.031463001,0,1.0889421,0.018750001,0.001235,0.0076879999,0.160679,0.27621001,1.098626,-0.033077002,0,1,0.018000001,0.60000002,0.018000001,0
0.300989,1.119467,-0.034676999,0,1.119467,0.020313,0.001373,0.0083280001,0.16483399,0.273819,1.129069,-0.036277,0,1,0.02,0.60000002,0.02,0
0.29861999,1.175778,-0.041003,0,1.175778,0.023437999,0.001664,0.0096089998,0.173199,0.26862299,1.185143,-0.042564001,0,1,0.022,0.60000002,0.022,0
