"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","lm","u","pressureactual","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.097285002,-0.33877501,-0.0044470001,0,-0.33877501,0.001563,0.000111,0.00064099999,0.173499,-0.127387,-0.312096,-0.008893,0,1,0,0.40000001,0,0
-0.096836001,-0.50691497,-0.016225001,0,-0.50691497,0.003125,9.1000002e-05,0.001281,0.071044996,-0.101883,-0.46292201,-0.023558,0,1,0.0020000001,0.40000001,0.0020000001,0
-0.097612001,-0.50207901,-0.033144001,0,-0.50207901,0.0046870001,0.00012,0.001922,0.062314998,-0.101495,-0.44455999,-0.04273,0,1,0.0040000002,0.40000001,0.0040000002,0
-0.100708,-0.44117799,-0.052499,0,-0.44117799,0.0062500001,0.00031100001,0.002563,0.12128,-0.115417,-0.382568,-0.062267002,0,1,0.0060000001,0.40000001,0.0060000001,0
-0.108318,-0.31358799,-0.091389,0,-0.31358799,0.0093750004,0.00070600002,0.0038439999,0.183604,-0.142029,-0.25579801,-0.10102,0,1,0.0080000004,0.40000001,0.0080000004,0
-0.113149,-0.251302,-0.110499,0,-0.251302,0.010938,0.00094100001,0.0044840002,0.209764,-0.15715,-0.19443101,-0.119978,0,1,0.0099999998,0.40000001,0.0099999998,0
-0.118634,-0.19081201,-0.129282,0,-0.19081201,0.0125,0.0012000001,0.0051250001,0.234125,-0.17344899,-0.134987,-0.138586,0,1,0.012,0.40000001,0.012,0
-0.124758,-0.132103,-0.147705,0,-0.132103,0.014063,0.001483,0.0057660001,0.25721499,-0.190918,-0.077391997,-0.15682399,0,1,0.014,0.40000001,0.014,0
-0.13883799,-0.019546,-0.18341,0,-0.019546,0.017188,0.002115,0.0070469999,0.30018699,-0.22894999,0.032820001,-0.192137,0,1,0.016000001,0.40000001,0.016000001,0
-0.146648,0.034453001,-0.200636,0,0.034453001,0.018750001,0.0024590001,0.0076879999,0.31990799,-0.248989,0.085444003,-0.209135,0,1,0.018000001,0.40000001,0.018000001,0
-0.15490501,0.087057002,-0.217393,0,0.087057002,0.020313,0.0028210001,0.0083280001,0.33869201,-0.269618,0.13660599,-0.225651,0,1,0.02,0.40000001,0.02,0
-0.172875,0.18852299,-0.249497,0,0.18852299,0.023437999,0.003602,0.0096089998,0.374816,-0.313362,0.235305,-0.257294,0,1,0.022,0.40000001,0.022,0
-0.18255,0.237663,-0.26486599,0,0.237663,0.025,0.0040210001,0.01025,0.39232001,-0.336465,0.28309301,-0.27243799,0,1,0.024,0.40000001,0.024,0
-0.192653,0.285878,-0.27978599,0,0.285878,0.026563,0.0044590002,0.010891,0.40940699,-0.360268,0.32996801,-0.28713399,0,1,0.026000001,0.40000001,0.026000001,0
-0.203164,0.333249,-0.29426,0,0.333249,0.028124999,0.0049129999,0.011531,0.42607301,-0.384702,0.37600601,-0.30138701,0,1,0.028000001,0.40000001,0.028000001,0
-0.22532199,0.42570999,-0.321881,0,0.42570999,0.03125,0.00587,0.012812,0.45813701,-0.43521199,0.465817,-0.32856601,0,1,0.030000001,0.40000001,0.030000001,0
-0.236926,0.47090301,-0.33502999,0,0.47090301,0.032811999,0.0063700001,0.013453,0.473533,-0.46115899,0.50968999,-0.34149501,0,1,0.032000002,0.40000001,0.032000002,0
