"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","tke","epsilon","F1","F2","Fmu","SijSij","lm","u","pressureactual","D","E","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.2567589,-0.28332901,0.001088,0,-0.28332901,0.001563,1.6e-05,0.030312,0.579611,1,1,0.109327,26275.369,0.00011,0,-2.2567589,0.36750701,-0.045775998,-0.289859,0.002177,0,1,0,0.40000001,0,0
-2.256628,-0.432971,0.003602,0,-0.432971,0.003125,0.00012500001,0.04865,0.43480501,1,1,0.25424099,2137.2866,0.00069199997,0,-2.256628,0.147462,-4e-06,-0.44152099,0.0050269999,0,1,0.0020000001,0.40000001,0.0020000001,0
-2.2563879,-0.48725,0.0065270001,0,-0.48725,0.0046870001,0.00029,0.055291001,0.35511801,1,1,0.37443399,349.30969,0.001511,0,-2.2563879,0.074483998,-0,-0.496254,0.0080279997,0,1,0.0040000002,0.40000001,0.0040000002,0
-2.25611,-0.51455498,0.0095459996,0,-0.51455498,0.0062500001,0.000485,0.059707999,0.3161,1,1,0.47793901,104.64948,0.0024319999,0,-2.25611,0.045244999,-0,-0.52366197,0.011063,0,1,0.0060000001,0.40000001,0.0060000001,0
-2.255583,-0.54074103,0.015605,0,-0.54074103,0.0093750004,0.00090099999,0.066303,0.28203201,1,1,0.642061,22.326378,0.004284,0,-2.255583,0.022329999,-0,-0.54979199,0.017114,0,1,0.0080000004,0.40000001,0.0080000004,0
-2.255367,-0.547306,0.018611001,0,-0.547306,0.010938,0.001104,0.069068,0.27439901,1,1,0.70575798,13.677454,0.0051460001,0,-2.255367,0.01709,-0,-0.55628902,0.020107999,0,1,0.0099999998,0.40000001,0.0099999998,0
-2.255193,-0.55146402,0.021592,0,-0.55146402,0.0125,0.001299,0.071633004,0.26989901,1,1,0.75921297,9.753994,0.0059449999,0,-2.255193,0.01357,-0,-0.56036901,0.023077,0,1,0.012,0.40000001,0.012,0
-2.2550671,-0.55388403,0.024548,0,-0.55388403,0.014063,0.00148,0.07406,0.26751301,1,1,0.80382299,7.9544582,0.0066749998,0,-2.2550671,0.011085,-0,-0.56271398,0.02602,0,1,0.014,0.40000001,0.014,0
-2.2555521,-0.55505902,0.030386001,0,-0.55505902,0.017188,0.00148,0.079153001,0.26699099,1,1,0.872289,6.8463602,0.0080199996,0,-2.2555521,0.0079309996,-0,-0.56372601,0.031830002,0,1,0.016000001,0.40000001,0.016000001,0
-2.2558291,-0.55395401,0.033252999,0,-0.55395401,0.018750001,0.00148,0.081950001,0.26861399,1,1,0.89816499,6.994626,0.0086460002,0,-2.2558291,0.0068999999,-0,-0.56248999,0.034676,0,1,0.018000001,0.40000001,0.018000001,0
-2.2561281,-0.551696,0.036070999,0,-0.551696,0.020313,0.00148,0.084903002,0.27144,1,1,0.91945702,7.6196399,0.0092369998,0,-2.2561281,0.006091,-0,-0.56006902,0.037466999,0,1,0.02,0.40000001,0.02,0
-2.256788,-0.54366302,0.041517001,0,-0.54366302,0.023437999,0.00148,0.091247,0.280588,1,1,0.95086199,10.40039,0.010296,0,-2.256788,0.004917,-0,-0.55161202,0.042842001,0,1,0.022,0.40000001,0.022,0
-2.2571449,-0.53785902,0.044124,0,-0.53785902,0.025,0.00148,0.094619997,0.28687501,1,1,0.96210301,12.602742,0.01076,0,-2.2571449,0.0044809999,-0,-0.54554802,0.045405,0,1,0.024,0.40000001,0.024,0
-2.2575171,-0.530846,0.046638999,0,-0.530846,0.026563,0.00148,0.098116003,0.294296,1,1,0.97101802,15.375761,0.011177,0,-2.2575171,0.0041160001,-0,-0.53824502,0.047871999,0,1,0.026000001,0.40000001,0.026000001,0
-2.2579019,-0.52261198,0.049052,0,-0.52261198,0.028124999,0.00148,0.101724,0.302852,1,1,0.97802198,18.740826,0.011549,0,-2.2579019,0.0038069999,-0,-0.52969003,0.050230999,0,1,0.028000001,0.40000001,0.028000001,0
-2.2586989,-0.50244099,0.053530999,0,-0.50244099,0.03125,0.00148,0.109242,0.32343301,1,1,0.98767102,27.333956,0.012153,0,-2.2586989,0.0033110001,-0,-0.50878698,0.054589,0,1,0.030000001,0.40000001,0.030000001,0
-2.2591059,-0.490482,0.055578999,0,-0.490482,0.032811999,0.00148,0.113132,0.33551699,1,1,0.99087799,32.608231,0.012387,0,-2.2591059,0.0031099999,-0,-0.496418,0.056568,0,1,0.032000002,0.40000001,0.032000002,0
-2.2595129,-0.47725999,0.057484999,0,-0.47725999,0.034375001,0.00148,0.117097,0.34885699,1,1,0.99330401,38.568638,0.012576,0,-2.2595129,0.002933,-0,-0.482759,0.058401,0,1,0.034000002,0.40000001,0.034000002,0
-2.2603171,-0.44698301,0.060835,0,-0.44698301,0.037500001,0.00148,0.125221,0.37958801,1,1,0.99647403,52.672161,0.012822,0,-2.2603171,0.002636,-0,-0.45152199,0.061590999,0,1,0.036000002,0.40000001,0.036000002,0
-2.2607069,-0.42990199,0.062261,0,-0.42990199,0.039062001,0.00148,0.129364,0.39717099,1,1,0.99747002,60.890659,0.012881,0,-2.2607069,0.002509,-0,-0.43392101,0.062931001,0,1,0.037999999,0.40000001,0.037999999,0
-2.261085,-0.41150701,0.063510001,0,-0.41150701,0.040624999,0.00148,0.133555,0.416399,1,1,0.99819797,69.949081,0.012897,0,-2.261085,0.0023950001,-0,-0.41497901,0.064089,0,1,0.039999999,0.40000001,0.039999999,0
-2.2614479,-0.39177901,0.064571999,0,-0.39177901,0.042187002,0.00148,0.137789,0.437437,1,1,0.998725,79.90554,0.012872,0,-2.2614479,0.002292,-0,-0.39468101,0.065056004,0,1,0.041999999,0.40000001,0.041999999,0
-2.2621109,-0.348243,0.066105001,0,-0.348243,0.045311999,0.00148,0.146384,0.48578301,1,1,0.99937499,102.80612,0.0127,0,-2.2621109,0.00211,-0,-0.34992799,0.066385999,0,1,0.044,0.40000001,0.044,0
-2.2624049,-0.32438099,0.06656,0,-0.32438099,0.046875,0.00148,0.15075,0.51362199,1,1,0.99956697,115.93526,0.012556,0,-2.2624049,0.0020310001,-0,-0.325423,0.066733003,0,1,0.046,0.40000001,0.046,0
-2.26267,-0.299081,0.066795997,0,-0.299081,0.048436999,0.00148,0.155168,0.54435199,1,1,0.99970299,130.3385,0.012373,0,-2.26267,0.001958,-0,-0.299458,0.066858999,0,1,0.048,0.40000001,0.048,0
-2.2631011,-0.244002,0.066587001,0,-0.244002,0.051562,0.00148,0.16421001,0.616216,1,1,0.99986303,163.57532,0.011901,0,-2.2631011,0.0018279999,-0,-0.24298599,0.066417001,0,1,0.050000001,0.40000001,0.050000001,0
-2.2632611,-0.21412399,0.066127002,0,-0.21412399,0.053125001,0.00148,0.168865,0.65842098,1,1,0.99990797,182.78758,0.011616,0,-2.2632611,0.001771,-0,-0.212383,0.065837003,0,1,0.052000001,0.40000001,0.052000001,0
-2.263381,-0.182607,0.065422997,0,-0.182607,0.054687999,0.00148,0.173641,0.70568103,1,1,0.99993902,204.04123,0.011301,0,-2.263381,0.0017190001,-0,-0.180122,0.065008998,0,1,0.054000001,0.40000001,0.054000001,0
-2.2634599,-0.149378,0.064467996,0,-0.149378,0.056249999,0.00148,0.178563,0.75878799,1,1,0.99996001,227.62355,0.010961,0,-2.2634599,0.00167,-0,-0.146134,0.063928001,0,1,0.056000002,0.40000001,0.056000002,0
-2.2634821,-0.077444002,0.061788999,0,-0.077444002,0.059374999,0.00148,0.188986,0.88636303,1,1,0.99998301,283.18015,0.010217,0,-2.2634821,0.001587,-0,-0.072644003,0.060989,0,1,0.058000002,0.40000001,0.058000002,0
-2.2634251,-0.038539,0.060056001,0,-0.038539,0.060936999,0.00148,0.19456799,0.96310401,1,1,0.99998897,316.0062,0.0098219998,0,-2.2634251,0.0015510001,-0,-0.032945,0.059124,0,1,0.060000002,0.40000001,0.060000002,0
-2.26332,0.002481,0.058058999,0,0.002481,0.0625,0.00148,0.20046,1.050264,1,1,0.99999303,352.8067,0.0094189998,0,-2.26332,0.001519,-0,0.0088750003,0.056993,0,1,0.062000003,0.40000001,0.062000003,0
-2.2631731,0.045743,0.055794999,0,0.045743,0.064061999,0.00148,0.20671199,1.149392,1,1,0.99999601,394.08551,0.0090129999,0,-2.2631731,0.0014909999,-0,0.052932002,0.054597002,0,1,0.064000003,0.40000001,0.064000003,0
