"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","tke","epsilon","F1","F2","Fmu","SijSij","lm","u","pressureactual","D","E","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.169529,0.00073000003,-0.000122,0,0.00073000003,0.001562,0,3.0000001e-06,8e-06,1,1,0.0011239999,0.30040801,0,0,-2.169529,3.5000001e-05,-9.4000003e-05,0.0014600001,-0.000243,0,1,0,0.2,0,0
-2.169528,0.0015679999,-0.000505,0,0.0015679999,0.001562,0,9.0000003e-06,1.3e-05,1,1,0.0020369999,0.28946599,0,0,-2.169528,0.000114,-0.00014800001,0.0031359999,-0.00076600001,0,1,0.0020000001,0.2,0.0020000001,0
-2.169524,0.0021520001,-0.0011239999,0,0.0021520001,0.001562,0,2.2e-05,2.7e-05,1,1,0.0031379999,0.42793801,1e-06,0,-2.169524,0.000271,-0.00028099999,0.0043029999,-0.001483,0,1,0.0040000002,0.2,0.0040000002,0
-2.1695161,0.0024649999,-0.001894,0,0.0024649999,0.001562,0,5.1999999e-05,6.0999999e-05,1,1,0.004795,0.56093401,3.0000001e-06,0,-2.1695161,0.00063299999,-0.00059700001,0.0049310001,-0.0023050001,0,1,0.0060000001,0.2,0.0060000001,0
-2.1694951,0.0023040001,-0.0035230001,0,0.0023040001,0.001562,0,0.000183,0.00023600001,1,1,0.008955,0.59922302,9.9999997e-06,0,-2.1694951,0.0022189999,-0.0019340001,0.0046080002,-0.0039070002,0,1,0.0080000004,0.2,0.0080000004,0
-2.1694801,0.001916,-0.0042269998,0,0.001916,0.001562,0,0.00027799999,0.000382,1,1,0.011031,0.50007999,1.5e-05,0,-2.1694801,0.0033740001,-0.0028589999,0.0038320001,-0.0045460002,0,1,0.0099999998,0.2,0.0099999998,0
-2.169461,0.00138,-0.004776,0,0.00138,0.001562,0,0.00037299999,0.00054799998,1,1,0.012767,0.36717501,1.8999999e-05,0,-2.169461,0.004526,-0.0038000001,0.0027610001,-0.0050059999,0,1,0.012,0.2,0.012,0
-2.1694379,0.00071699999,-0.0051250001,0,0.00071699999,0.001562,0,0.000481,0.00075000001,1,1,0.014472,0.240521,2.2e-05,0,-2.1694379,0.0058260001,-0.0048239999,0.001435,-0.0052450001,0,1,0.014,0.2,0.014,0
-2.169378,-0.000849,-0.0050909999,0,-0.000849,0.001562,1e-06,0.00073099998,0.001267,1,1,0.017819,0.175183,3.1e-05,0,-2.169378,0.0088630002,-0.0070270002,-0.001698,-0.0049490002,0,1,0.016000001,0.2,0.016000001,0
-2.1693399,-0.001676,-0.0046700002,0,-0.001676,0.001562,1e-06,0.00086899998,0.001572,1,1,0.019414,0.30608401,3.5000001e-05,0,-2.1693399,0.010538,-0.0081280004,-0.0033529999,-0.0043910001,0,1,0.018000001,0.2,0.018000001,0
-2.1692951,-0.0024920001,-0.0039750002,0,-0.0024920001,0.001562,1e-06,0.001012,0.001901,1,1,0.020933,0.57309401,3.8999999e-05,0,-2.1692951,0.012271,-0.0091880001,-0.0049840002,-0.0035600001,0,1,0.02,0.2,0.02,0
-2.1691921,-0.0040159998,-0.001799,0,-0.0040159998,0.001562,1e-06,0.001304,0.0026060001,1,1,0.023727,1.529258,4.7000001e-05,0,-2.1691921,0.015809,-0.01112,-0.0080310004,-0.00113,0,1,0.022,0.2,0.022,0
