"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","tke","epsilon","F1","F2","Fmu","SijSij","lm","u","pressureactual","D","E","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.1422701,-0.63568997,0.001446,0,-0.63568997,0.001563,4.5000001e-05,0.131975,7.4713378,1,1,0.214615,122750.02,0.00015199999,0,-2.1422701,1.600089,-0.0024860001,-0.64436799,0.0028929999,0,1,0,0.80000001,0,0
-2.1419671,-0.91258502,0.0046509998,0,-0.91258502,0.003125,0.00023200001,0.156032,3.865047,1,1,0.40865499,6842.4561,0.000718,0,-2.1419671,0.47294,-0,-0.923136,0.0064099999,0,1,0.0020000001,0.80000001,0.0020000001,0
-2.1414089,-1.0009201,0.0081620002,0,-1.0009201,0.0046870001,0.00053800002,0.16920599,2.679621,1,1,0.55984402,813.66113,0.001603,0,-2.1414089,0.227942,-0,-1.011433,0.0099139996,0,1,0.0040000002,0.80000001,0.0040000002,0
-2.14078,-1.037722,0.011609,0,-1.037722,0.0062500001,0.00091399997,0.18121301,2.1902821,1,1,0.67771697,157.7511,0.002631,0,-2.14078,0.137316,-0,-1.047895,0.013305,0,1,0.0060000001,0.80000001,0.0060000001,0
-2.1401761,-1.0620019,0.018157,0,-1.0620019,0.0093750004,0.00148,0.20343,1.798578,1,1,0.83463401,12.80257,0.0046930001,0,-2.1401761,0.068511002,-0,-1.07149,0.019738,0,1,0.0080000004,0.80000001,0.0080000004,0
-2.140563,-1.063561,0.021256,0,-1.063561,0.010938,0.00148,0.215923,1.6971771,1,1,0.88502502,7.7035222,0.0057669999,0,-2.140563,0.053426001,-0,-1.072667,0.022772999,0,1,0.0099999998,0.80000001,0.0099999998,0
-2.141027,-1.059713,0.024211001,0,-1.059713,0.0125,0.00148,0.23015399,1.6266789,1,1,0.92209101,14.535872,0.0068990001,0,-2.141027,0.0436,-0,-1.0683399,0.025649,0,1,0.012,0.80000001,0.012,0
-2.1415679,-1.050597,0.026993001,0,-1.050597,0.014063,0.00148,0.245895,1.581726,1,1,0.94858301,31.980921,0.0080599999,0,-2.1415679,0.036805999,-0,-1.058659,0.028337,0,1,0.014,0.80000001,0.014,0
-2.1428671,-1.01728,0.03193,0,-1.01728,0.017188,0.00148,0.28096399,1.551506,1,1,0.979294,93.92865,0.010362,0,-2.1428671,0.028152,-0,-1.023995,0.033048999,0,1,0.016000001,0.80000001,0.016000001,0
-2.143615,-0.99350399,0.034042001,0,-0.99350399,0.018750001,0.00148,0.29980901,1.559324,1,1,0.98734099,135.68753,0.011457,0,-2.143615,0.025242999,-0,-0.99945998,0.035034001,0,1,0.018000001,0.80000001,0.018000001,0
-2.1444221,-0.96530002,0.035893001,0,-0.96530002,0.020313,0.00148,0.319206,1.578568,1,1,0.99243498,182.7058,0.012498,0,-2.1444221,0.0229,-0,-0.97045398,0.036752,0,1,0.02,0.80000001,0.02,0
-2.1461811,-0.89664698,0.038770001,0,-0.89664698,0.023437999,0.00148,0.35871801,1.6417741,1,1,0.99745703,286.85541,0.014388,0,-2.1461811,0.019330001,-0,-0.90011102,0.039347,0,1,0.022,0.80000001,0.022,0
-2.1471169,-0.85673302,0.039779,0,-0.85673302,0.025,0.00148,0.37839699,1.68163,1,1,0.99856299,341.36935,0.015235,0,-2.1471169,0.017921001,-0,-0.85932702,0.040212002,0,1,0.024,0.80000001,0.024,0
-2.1480789,-0.81345701,0.040498,0,-0.81345701,0.026563,0.00148,0.39775801,1.724656,1,1,0.99919897,395.9726,0.01602,0,-2.1480789,0.016687,-0,-0.81517702,0.040785,0,1,0.026000001,0.80000001,0.026000001,0
-2.1490581,-0.76708603,0.040925998,0,-0.76708603,0.028124999,0.00148,0.41662699,1.76939,1,1,0.99955899,449.69876,0.016744999,0,-2.1490581,0.01559,-0,-0.76793402,0.041067,0,1,0.028000001,0.80000001,0.028000001,0
-2.1510301,-0.66610998,0.040918,0,-0.66610998,0.03125,0.00148,0.45228899,1.85921,1,1,0.99987,551.45508,0.018030999,0,-2.1510301,0.013709,-0,-0.665245,0.040773999,0,1,0.030000001,0.80000001,0.030000001,0
-2.152003,-0.61200398,0.040491998,0,-0.61200398,0.032811999,0.00148,0.468835,1.9024251,1,1,0.99993002,598.34686,0.018599,0,-2.152003,0.012889,-0,-0.61030799,0.040208999,0,1,0.032000002,0.80000001,0.032000002,0
-2.1529551,-0.55580199,0.039792001,0,-0.55580199,0.034375001,0.00148,0.48439199,1.943584,1,1,0.99996197,642.06793,0.019119,0,-2.1529551,0.012134,-0,-0.55329698,0.039374001,0,1,0.034000002,0.80000001,0.034000002,0
-2.154757,-0.43797299,0.037602,0,-0.43797299,0.037500001,0.00148,0.51226002,2.018014,1,1,0.99998897,719.23639,0.020026,0,-2.154757,0.010783,-0,-0.43392199,0.036927,0,1,0.036000002,0.80000001,0.036000002,0
-2.1555891,-0.376744,0.03613,0,-0.376744,0.039062001,0.00148,0.52446997,2.050813,1,1,0.99999398,752.57458,0.020415001,0,-2.1555891,0.010174,-0,-0.371959,0.035332002,0,1,0.037999999,0.80000001,0.037999999,0
-2.156363,-0.31421199,0.034416001,0,-0.31421199,0.040624999,0.00148,0.535487,2.080586,1,1,0.99999702,782.49335,0.02076,0,-2.156363,0.0096039996,-0,-0.30871901,0.033500999,0,1,0.039999999,0.80000001,0.039999999,0
-2.1570711,-0.25053799,0.032471001,0,-0.25053799,0.042187002,0.00148,0.54529601,2.1074159,1,1,0.99999797,809.14355,0.021060999,0,-2.1570711,0.0090690004,-0,-0.24436,0.031442001,0,1,0.041999999,0.80000001,0.041999999,0
-2.1582561,-0.120327,0.027917,0,-0.120327,0.045311999,0.00148,0.56126797,2.1530969,1,1,0.99999899,853.52875,0.021527,0,-2.1582561,0.0080909999,-0,-0.112851,0.026671,0,1,0.044,0.80000001,0.044,0
-2.1587191,-0.054035001,0.025322,0,-0.054035001,0.046875,0.00148,0.56744498,2.17258,1,1,1,871.82581,0.021686999,0,-2.1587191,0.007644,-0,-0.045940001,0.023972999,0,1,0.046,0.80000001,0.046,0
-2.159086,0.012913,0.022523001,0,0.012913,0.048436999,0.00148,0.572438,2.190361,1,1,1,887.60626,0.021795001,0,-2.159086,0.007222,-0,0.021609001,0.021074001,0,1,0.048,0.80000001,0.048,0
-2.1595709,0.14836501,0.016344,0,0.14836501,0.051562,0.00148,0.57897598,2.222801,1,1,1,912.56683,0.021846,0,-2.1595709,0.0064460002,-0,0.158198,0.014705,0,1,0.050000001,0.80000001,0.050000001,0
-2.1596689,0.21672501,0.012976,0,0.21672501,0.053125001,0.00148,0.58059502,2.2385731,1,1,1,922.8067,0.021783,0,-2.1596689,0.006089,-0,0.227099,0.011247,0,1,0.052000001,0.80000001,0.052000001,0
-2.1596661,0.28544,0.0094309999,0,0.28544,0.054687999,0.00148,0.58116901,2.254828,1,1,1,932.19458,0.021658,0,-2.1596661,0.005752,-0,0.29633901,0.0076139998,0,1,0.054000001,0.80000001,0.054000001,0
-2.1595559,0.35448399,0.005713,0,0.35448399,0.056249999,0.00148,0.58074498,2.272146,1,1,1,940.6203,0.021469999,0,-2.1595559,0.0054330002,-0,0.36588901,0.0038119999,0,1,0.056000002,0.80000001,0.056000002,0
