"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","lm","u","pressureactual","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.119003,0.328924,-4.0999999e-05,0,0.328924,0.001563,0.000121,0.00064099999,0.188144,0.083604999,0.32916701,-8.0999998e-05,0,1,0,0.89999998,0,0
0.119003,0.58885098,-0.000155,0,0.58885098,0.003125,0.000222,0.001281,0.173365,0.088946998,0.58929199,-0.000228,0,1,0.0020000001,0.89999998,0.0020000001,0
0.118998,0.751764,-0.00032399999,0,0.751764,0.0046870001,0.00033099999,0.001922,0.172089,0.089383997,0.75233698,-0.00041899999,0,1,0.0040000002,0.89999998,0.0040000002,0
0.11899,0.86866498,-0.00053199998,0,0.86866498,0.0062500001,0.00043700001,0.002563,0.17037199,0.089964002,0.86933798,-0.00064400001,0,1,0.0060000001,0.89999998,0.0060000001,0
0.118964,1.03359,-0.0010310001,0,1.03359,0.0093750004,0.00064500002,0.0038439999,0.167835,0.090796001,1.034408,-0.001167,0,1,0.0080000004,0.89999998,0.0080000004,0
0.118946,1.095961,-0.001313,0,1.095961,0.010938,0.00074799999,0.0044840002,0.166697,0.091158003,1.096835,-0.001458,0,1,0.0099999998,0.89999998,0.0099999998,0
0.118925,1.149734,-0.0016120001,0,1.149734,0.0125,0.000849,0.0051250001,0.16563,0.091490999,1.150656,-0.0017650001,0,1,0.012,0.89999998,0.012,0
0.118899,1.196929,-0.001926,0,1.196929,0.014063,0.00094900001,0.0057660001,0.164628,0.091797002,1.19789,-0.0020860001,0,1,0.014,0.89999998,0.014,0
0.118835,1.276737,-0.0025889999,0,1.276737,0.017188,0.001147,0.0070469999,0.162801,0.092330001,1.277763,-0.0027600001,0,1,0.016000001,0.89999998,0.016000001,0
0.118796,1.311082,-0.002936,0,1.311082,0.018750001,0.0012450001,0.0076879999,0.16196901,0.092561997,1.312134,-0.0031109999,0,1,0.018000001,0.89999998,0.018000001,0
0.118752,1.342527,-0.0032899999,0,1.342527,0.020313,0.001342,0.0083280001,0.16118599,0.092771001,1.3436,-0.0034690001,0,1,0.02,0.89999998,0.02,0
0.118649,1.398368,-0.0040159998,0,1.398368,0.023437999,0.001535,0.0096089998,0.15975299,0.093128003,1.399473,-0.0041999999,0,1,0.022,0.89999998,0.022,0
0.11859,1.423389,-0.0043859999,0,1.423389,0.025,0.001631,0.01025,0.159095,0.093278997,1.424505,-0.0045719999,0,1,0.024,0.89999998,0.024,0
0.118526,1.446795,-0.0047599999,0,1.446795,0.026563,0.001726,0.010891,0.158471,0.093413003,1.44792,-0.0049470002,0,1,0.026000001,0.89999998,0.026000001,0
0.118457,1.4687769,-0.0051350002,0,1.4687769,0.028124999,0.001821,0.011531,0.157878,0.093530998,1.469907,-0.005324,0,1,0.028000001,0.89999998,0.028000001,0
0.118302,1.5090671,-0.0058909999,0,1.5090671,0.03125,0.0020089999,0.012812,0.15676799,0.093726002,1.510203,-0.0060800002,0,1,0.030000001,0.89999998,0.030000001,0
0.118216,1.527622,-0.006269,0,1.527622,0.032811999,0.0021019999,0.013453,0.15624399,0.093804002,1.528757,-0.0064579998,0,1,0.032000002,0.89999998,0.032000002,0
0.118125,1.545251,-0.0066470001,0,1.545251,0.034375001,0.002195,0.014094,0.155738,0.093870997,1.546384,-0.0068359999,0,1,0.034000002,0.89999998,0.034000002,0
0.117928,1.578055,-0.0073990002,0,1.578055,0.037500001,0.002379,0.015375,0.154762,0.093975998,1.579178,-0.007586,0,1,0.036000002,0.89999998,0.036000002,0
0.117821,1.593366,-0.007772,0,1.593366,0.039062001,0.002471,0.016016001,0.15428799,0.094016001,1.5944819,-0.0079579996,0,1,0.037999999,0.89999998,0.037999999,0
0.117709,1.608027,-0.0081430003,0,1.608027,0.040624999,0.002562,0.016656,0.15381899,0.094048999,1.609134,-0.0083269998,0,1,0.039999999,0.89999998,0.039999999,0
0.117592,1.622087,-0.0085100001,0,1.622087,0.042187002,0.0026529999,0.017297,0.15335201,0.094076,1.623185,-0.0086930003,0,1,0.041999999,0.89999998,0.041999999,0
0.117344,1.648573,-0.0092350002,0,1.648573,0.045311999,0.0028319999,0.018578,0.152417,0.094113,1.649649,-0.0094140004,0,1,0.044,0.89999998,0.044,0
0.117213,1.661074,-0.0095920004,0,1.661074,0.046875,0.0029200001,0.019219,0.15194499,0.094125003,1.662137,-0.0097690001,0,1,0.046,0.89999998,0.046,0
0.117077,1.673122,-0.0099440003,0,1.673122,0.048436999,0.0030080001,0.019858999,0.151466,0.094135001,1.674171,-0.010119,0,1,0.048,0.89999998,0.048,0
0.116791,1.695971,-0.010634,0,1.695971,0.051562,0.003181,0.021141,0.150481,0.094146997,1.696991,-0.010804,0,1,0.050000001,0.89999998,0.050000001,0
0.116642,1.70682,-0.010971,0,1.70682,0.053125001,0.003267,0.021780999,0.14997099,0.094150998,1.7078249,-0.011139,0,1,0.052000001,0.89999998,0.052000001,0
0.116489,1.717314,-0.011304,0,1.717314,0.054687999,0.0033509999,0.022422001,0.14944801,0.094154,1.718303,-0.011468,0,1,0.054000001,0.89999998,0.054000001,0
0.116331,1.7274719,-0.01163,0,1.7274719,0.056249999,0.0034340001,0.023062,0.14891,0.094157003,1.728444,-0.011792,0,1,0.056000002,0.89999998,0.056000002,0
0.116005,1.746848,-0.012267,0,1.746848,0.059374999,0.0035979999,0.024343999,0.147781,0.094166003,1.747785,-0.012423,0,1,0.058000002,0.89999998,0.058000002,0
0.115837,1.756096,-0.012576,0,1.756096,0.060936999,0.0036770001,0.024984,0.14718799,0.094172001,1.757015,-0.012729,0,1,0.060000002,0.89999998,0.060000002,0
0.115665,1.76507,-0.012879,0,1.76507,0.0625,0.003756,0.025625,0.146575,0.094181001,1.76597,-0.013029,0,1,0.062000003,0.89999998,0.062000003,0
0.115489,1.7737809,-0.013176,0,1.7737809,0.064061999,0.0038330001,0.026265999,0.14593901,0.094191,1.774662,-0.013323,0,1,0.064000003,0.89999998,0.064000003,0
0.115129,1.790459,-0.013752,0,1.790459,0.067186996,0.0039829998,0.027547,0.144595,0.094222002,1.791303,-0.013892,0,1,0.066,0.89999998,0.066,0
0.114945,1.798447,-0.014029,0,1.798447,0.068750001,0.0040560002,0.028186999,0.143885,0.094241999,1.799271,-0.014167,0,1,0.068000004,0.89999998,0.068000004,0
0.114758,1.806213,-0.014301,0,1.806213,0.070312001,0.004127,0.028828001,0.14314801,0.094267003,1.807017,-0.014435,0,1,0.07,0.89999998,0.07,0
0.114376,1.821111,-0.014823,0,1.821111,0.073438004,0.0042630001,0.030108999,0.141589,0.094329,1.821875,-0.014951,0,1,0.072000004,0.89999998,0.072000004,0
0.114182,1.828258,-0.015075,0,1.828258,0.075000003,0.0043290001,0.030750001,0.140765,0.094366997,1.829002,-0.015199,0,1,0.074000001,0.89999998,0.074000001,0
0.113985,1.8352129,-0.015319,0,1.8352129,0.076563001,0.0043919999,0.031390999,0.139909,0.094410002,1.835936,-0.01544,0,1,0.075999998,0.89999998,0.075999998,0
0.113786,1.841982,-0.015557,0,1.841982,0.078125,0.0044530001,0.032031,0.13902099,0.094458997,1.842685,-0.015674001,0,1,0.078000002,0.89999998,0.078000002,0
0.113383,1.854986,-0.016011,0,1.854986,0.081249997,0.0045690001,0.033312999,0.137142,0.094575003,1.855647,-0.016122,0,1,0.079999998,0.89999998,0.079999998,0
0.113179,1.861231,-0.016228,0,1.861231,0.082811996,0.004623,0.033953,0.13614801,0.094641998,1.861872,-0.016334999,0,1,0.082000002,0.89999998,0.082000002,0
0.112973,1.867311,-0.016438,0,1.867311,0.084375001,0.0046740002,0.034593999,0.13511799,0.094715998,1.867931,-0.016542001,0,1,0.083999999,0.89999998,0.083999999,0
0.112557,1.8789949,-0.016837001,0,1.8789949,0.087499999,0.0047690002,0.035875,0.13293999,0.094884001,1.879572,-0.016933,0,1,0.086000003,0.89999998,0.086000003,0
0.112347,1.884606,-0.017026,0,1.884606,0.089063004,0.0048119999,0.036516,0.13179,0.094977997,1.885162,-0.017119,0,1,0.088,0.89999998,0.088,0
0.112136,1.8900681,-0.017208001,0,1.8900681,0.090625003,0.0048520002,0.037156001,0.130597,0.095080003,1.890602,-0.017297,0,1,0.090000004,0.89999998,0.090000004,0
0.111924,1.895384,-0.017383,0,1.895384,0.092188001,0.0048890002,0.037797,0.12936001,0.095190004,1.895898,-0.017468,0,1,0.092,0.89999998,0.092,0
0.111498,1.905593,-0.01771,0,1.905593,0.095311999,0.0049530002,0.039078001,0.126744,0.095434003,1.906063,-0.017789001,0,1,0.094000004,0.89999998,0.094000004,0
0.111284,1.91049,-0.017864,0,1.91049,0.096874997,0.0049800002,0.039719,0.12537199,0.095564999,1.910939,-0.017938999,0,1,0.096000001,0.89999998,0.096000001,0
0.111069,1.915254,-0.01801,0,1.915254,0.098436996,0.0049999999,0.040359002,0.123885,0.095720999,1.915682,-0.018081,0,1,0.098000005,0.89999998,0.098000005,0
0.110643,1.924407,-0.018279999,0,1.924407,0.1,0.0049669999,0.041000001,0.121157,0.095964,1.924791,-0.018344,0,1,0.1,0.89999998,0.1,0
0.11044,1.928915,-0.018404,0,1.928915,0.098438002,0.0048110001,0.040359002,0.119207,0.096229002,1.929276,-0.018464001,0,1,0.102,0.89999998,0.102,0
0.110233,1.933439,-0.018521,0,1.933439,0.096874997,0.0046689999,0.039719,0.117559,0.096413001,1.933776,-0.018577,0,1,0.104,0.89999998,0.104,0
0.110026,1.937968,-0.018629,0,1.937968,0.095312998,0.004524,0.039078001,0.115766,0.096624002,1.9382811,-0.018681001,0,1,0.106,0.89999998,0.106,0
0.109609,1.947034,-0.018820001,0,1.947034,0.092188001,0.0042309999,0.037797,0.111928,0.097080998,1.947294,-0.018864,0,1,0.108,0.89999998,0.108,0
0.109399,1.951563,-0.018902,0,1.951563,0.090625003,0.0040819999,0.037156001,0.109858,0.097329997,1.9517961,-0.018941,0,1,0.11,0.89999998,0.11,0
0.109189,1.9560831,-0.018975001,0,1.9560831,0.089063004,0.0039320001,0.036516,0.107675,0.097594999,1.956287,-0.019009,0,1,0.112,0.89999998,0.112,0
0.108978,1.9605891,-0.019037999,0,1.9605891,0.087499999,0.0037799999,0.035875,0.10537,0.097874999,1.960762,-0.019067001,0,1,0.114,0.89999998,0.114,0
0.108555,1.969532,-0.019131999,0,1.969532,0.084375001,0.0034709999,0.034593999,0.100343,0.098486997,1.969641,-0.019151,0,1,0.116,0.89999998,0.116,0
0.108344,1.973954,-0.019162999,0,1.973954,0.082813002,0.0033140001,0.033953,0.097590998,0.098820001,1.9740289,-0.019175,0,1,0.118,0.89999998,0.118,0
0.108132,1.978332,-0.019182,0,1.978332,0.081249997,0.003153,0.033312999,0.094656996,0.099172004,1.97837,-0.019188,0,1,0.12,0.89999998,0.12,0
0.107708,1.986905,-0.019182,0,1.986905,0.078125,0.0028230001,0.032031,0.088143997,0.099937998,1.986866,-0.019176001,0,1,0.122,0.89999998,0.122,0
0.107496,1.991073,-0.019162999,0,1.991073,0.076563001,0.0026529999,0.031390999,0.084503002,0.100355,1.990992,-0.019149,0,1,0.12400001,0.89999998,0.12400001,0
0.107284,1.995139,-0.019129001,0,1.995139,0.075000003,0.002477,0.030750001,0.080551997,0.100795,1.995014,-0.019107999,0,1,0.126,0.89999998,0.126,0
0.107072,1.999081,-0.019079,0,1.999081,0.073438004,0.002295,0.030108999,0.076233,0.10126,1.998909,-0.019051,0,1,0.12800001,0.89999998,0.12800001,0
0.106647,2.00648,-0.018929999,0,2.00648,0.070312001,0.001907,0.028828001,0.066148996,0.102271,2.0062029,-0.018883999,0,1,0.13,0.89999998,0.13,0
0.106433,2.009861,-0.018828001,0,2.009861,0.068750001,0.001694,0.028188,0.060109001,0.102819,2.0095241,-0.018772,0,1,0.132,0.89999998,0.132,0
0.106216,2.012959,-0.018704999,0,2.012959,0.067188002,0.001462,0.027547,0.053082999,0.103398,2.0125549,-0.018637,0,1,0.134,0.89999998,0.134,0
0.105766,2.0179181,-0.018381,0,2.0179181,0.064061999,0.00089199998,0.026265999,0.033961002,0.104613,2.0173471,-0.018285999,0,1,0.13600001,0.89999998,0.13600001,0
0.105489,2.0194941,-0.018159,0,2.0194941,0.0625,0.00025899999,0.025625,0.010118,0.105387,2.018733,-0.018031999,0,1,0.138,0.89999998,0.138,0
0.105414,2.0184541,-0.01784,0,2.0184541,0.060938001,0.00075299997,0.024984,0.030125,0.104506,2.0172999,-0.017648,0,1,0.14,0.89999998,0.14,0
0.10532,2.015882,-0.017441001,0,2.015882,0.059374999,0.0011549999,0.024343999,0.047462001,0.103067,2.0146389,-0.017232999,0,1,0.142,0.89999998,0.142,0
0.105079,2.008116,-0.016554,0,2.008116,0.056249999,0.001604,0.023062,0.069549002,0.100242,2.0067091,-0.016318999,0,1,0.14400001,0.89999998,0.14400001,0
0.104953,2.0030251,-0.016075,0,2.0030251,0.054687999,0.001764,0.022422001,0.078681998,0.098761998,2.0015581,-0.015830001,0,1,0.146,0.89999998,0.146,0
0.104826,1.99717,-0.015577,0,1.99717,0.053125001,0.001895,0.021780999,0.087004997,0.097255997,1.995652,-0.015324,0,1,0.148,0.89999998,0.148,0
0.104578,1.983183,-0.014537,0,1.983183,0.050000001,0.0020880001,0.020500001,0.10187,0.0942,1.981585,-0.014271,0,1,0.15000001,0.89999998,0.15000001,0
0.104458,1.975036,-0.014,0,1.975036,0.048436999,0.0021569999,0.019858999,0.108617,0.092660002,1.973407,-0.013728,0,1,0.152,0.89999998,0.152,0
