"pressure","velocity:0","velocity:1","velocity:2","velocityU","h","nu","tke","epsilon","F1","F2","Fmu","SijSij","lm","u","pressureactual","D","E","velocity-raw:0","velocity-raw:1","velocity-raw:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.799034,-0.431593,-0.0037380001,0,-0.431593,0.001563,0.000137,0.16793101,4.4324079,1,1,0.238534,50390.773,0.00040799999,0,-0.799034,2.0360219,-0.00038400001,-0.40916499,-0.0074760001,0,1,0,1,0,0
-0.80223203,-0.56003201,-0.012479,0,-0.56003201,0.003125,0.00060299999,0.197511,2.6001091,1,1,0.44626799,1444.2107,0.001661,0,-0.80223203,0.59866297,-0,-0.53001499,-0.017481999,0,1,0.0020000001,1,0.0020000001,0
-0.80678302,-0.59457701,-0.022834999,0,-0.59457701,0.0046870001,0.001206,0.214497,2.0705409,1,1,0.60305202,205.39337,0.0031890001,0,-0.80678302,0.28895599,-0,-0.56245703,-0.028188,0,1,0.0040000002,1,0.0040000002,0
-0.80922902,-0.60644799,-0.033675,0,-0.60644799,0.0062500001,0.00148,0.22962999,1.8389339,1,1,0.72047102,107.47361,0.0047519999,0,-0.80922902,0.174004,-0,-0.57352602,-0.039161999,0,1,0.0060000001,1,0.0060000001,0
-0.810821,-0.59892899,-0.056026999,0,-0.59892899,0.0093750004,0.00148,0.264662,1.656342,1,1,0.87160498,137.12605,0.0078980001,0,-0.810821,0.089134,-0,-0.56479299,-0.061717,0,1,0.0080000004,1,0.0080000004,0
-0.81194699,-0.58198899,-0.067505002,0,-0.58198899,0.010938,0.00148,0.284578,1.647041,1,1,0.91652602,195.01601,0.0093120001,0,-0.81194699,0.070413999,-0,-0.547261,-0.073293,0,1,0.0099999998,1,0.0099999998,0
-0.81330198,-0.55724198,-0.079172999,0,-0.55724198,0.0125,0.00148,0.30517,1.672874,1,1,0.94707298,270.74661,0.01052,0,-0.81330198,0.057810999,-0,-0.52196002,-0.085054003,0,1,0.012,1,0.012,0
-0.81488699,-0.52545702,-0.091017999,0,-0.52545702,0.014063,0.00148,0.32578999,1.722331,1,1,0.96715897,357.25662,0.01151,0,-0.81488699,0.048765,-0,-0.48967099,-0.096982002,0,1,0.014,1,0.014,0
-0.81872898,-0.44380599,-0.11516,0,-0.44380599,0.017188,0.00148,0.36487901,1.8566279,1,1,0.98794901,539.54303,0.012928,0,-0.81872898,0.036561001,-0,-0.407197,-0.121262,0,1,0.016000001,1,0.016000001,0
-0.82096601,-0.395394,-0.127415,0,-0.395394,0.018750001,0.00148,0.38246799,1.928359,1,1,0.99281001,626.72009,0.013423,0,-0.82096601,0.032202002,-0,-0.35847199,-0.133569,0,1,0.018000001,1,0.018000001,0
