"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.40951,0.17571,1e-06,0,0.007812,0.000342,0.003203,0.10675,0.39811,0.17569,0.17569,0.17569,1,0,7,0,0
0.40951,0.345,4e-06,0,0.015625,0.000729,0.006406,0.11384,0.39655,0.34497,0.34497,0.34497,1,0.01,7,0.01,0
0.40951,0.45338,8e-06,0,0.023438,0.001109,0.009609,0.11541,0.39619,0.45333,0.45333,0.45333,1,0.02,7,0.02,0
0.40951,0.53266,1.2e-05,0,0.03125,0.001486,0.012812,0.116,0.39605,0.5326,0.5326,0.5326,1,0.03,7,0.03,0
0.40951,0.64582,2.3e-05,0,0.046875,0.002223,0.019219,0.11569,0.39612,0.64577,0.64577,0.64577,1,0.04,7,0.04,0
0.40951,0.6889,2.9e-05,0,0.054688,0.002582,0.022422,0.11517,0.39624,0.68884,0.68884,0.68884,1,0.05,7,0.05,0
0.40951,0.72609,3.5e-05,0,0.0625,0.002935,0.025625,0.11453,0.39639,0.72603,0.72603,0.72603,1,0.06,7,0.06,0
0.40951,0.75873,4e-05,0,0.070312,0.00328,0.028828,0.11379,0.39656,0.75867,0.75867,0.75867,1,0.07,7,0.07,0
0.40951,0.81384,5.2e-05,0,0.085938,0.00395,0.035234,0.11211,0.39694,0.81378,0.81378,0.81378,1,0.08,7,0.08,0
0.40951,0.83748,5.8e-05,0,0.09375,0.004274,0.038437,0.1112,0.39715,0.83742,0.83742,0.83742,1,0.09,7,0.09,0
0.40951,0.85905,6.4e-05,0,0.10156,0.004591,0.041641,0.11024,0.39736,0.85899,0.85899,0.85899,1,0.1,7,0.1,0
0.40951,0.89712,7.5e-05,0,0.11719,0.005201,0.048047,0.10825,0.3978,0.89706,0.89706,0.89706,1,0.11,7,0.11,0
0.40951,0.91405,8e-05,0,0.125,0.005494,0.05125,0.10721,0.39802,0.914,0.914,0.914,1,0.12,7,0.12,0
0.40951,0.9298,8.5e-05,0,0.13281,0.00578,0.054453,0.10615,0.39825,0.92975,0.92975,0.92975,1,0.13,7,0.13,0
0.40952,0.94451,9e-05,0,0.14062,0.006057,0.057656,0.10506,0.39848,0.94446,0.94446,0.94446,1,0.14,7,0.14,0
0.40952,0.9712,9.9e-05,0,0.15625,0.006587,0.064062,0.10283,0.39895,0.97116,0.97116,0.97116,1,0.15,7,0.15,0
0.40952,0.98336,0.000103,0,0.16406,0.00684,0.067266,0.10168,0.39918,0.98332,0.98332,0.98332,1,0.16,7,0.16,0
0.40952,0.99482,0.000107,0,0.17188,0.007083,0.070469,0.10052,0.39942,0.99478,0.99478,0.99478,1,0.17,7,0.17,0
0.40952,1.0159,0.000114,0,0.1875,0.007544,0.076875,0.098134,0.39989,1.0159,1.0159,1.0159,1,0.18,7,0.18,0
0.40952,1.0256,0.000117,0,0.19531,0.007761,0.080078,0.096915,0.40013,1.0256,1.0256,1.0256,1,0.19,7,0.19,0
0.40953,1.0348,0.00012,0,0.20312,0.007968,0.083281,0.095677,0.40037,1.0348,1.0348,1.0348,1,0.2,7,0.2,0
0.40953,1.0435,0.000122,0,0.21094,0.008166,0.086484,0.094421,0.40061,1.0435,1.0435,1.0435,1,0.21,7,0.21,0
0.40953,1.0598,0.000126,0,0.22656,0.008532,0.092891,0.09185,0.40109,1.0598,1.0598,1.0598,1,0.22,7,0.22,0
0.40953,1.0673,0.000128,0,0.23438,0.0087,0.096094,0.090536,0.40134,1.0673,1.0673,1.0673,1,0.23,7,0.23,0
0.40953,1.0745,0.000129,0,0.24219,0.008857,0.099297,0.089201,0.40158,1.0745,1.0745,1.0745,1,0.24,7,0.24,0
0.40954,1.0879,0.00013,0,0.25781,0.00914,0.1057,0.086468,0.40206,1.0879,1.0879,1.0879,1,0.25,7,0.25,0
0.40954,1.0941,0.000131,0,0.26562,0.009264,0.10891,0.085068,0.4023,1.0941,1.0941,1.0941,1,0.26,7,0.26,0
0.40954,1.1001,0.00013,0,0.27344,0.009377,0.11211,0.083644,0.40254,1.1001,1.1001,1.1001,1,0.27,7,0.27,0
0.40954,1.1058,0.00013,0,0.28125,0.009478,0.11531,0.082197,0.40278,1.1058,1.1058,1.1058,1,0.28,7,0.28,0
0.40954,1.1164,0.000128,0,0.29688,0.009643,0.12172,0.079223,0.40327,1.1165,1.1165,1.1165,1,0.29,7,0.29,0
0.40955,1.1214,0.000127,0,0.30469,0.009706,0.12492,0.077694,0.40351,1.1214,1.1214,1.1214,1,0.3,7,0.3,0
0.40955,1.1262,0.000125,0,0.3125,0.009755,0.12812,0.076136,0.40375,1.1262,1.1262,1.1262,1,0.31,7,0.31,0
0.40955,1.1307,0.000123,0,0.32031,0.00979,0.13133,0.074546,0.40399,1.1307,1.1307,1.1307,1,0.32,7,0.32,0
0.40955,1.1392,0.000118,0,0.33594,0.009815,0.13773,0.071264,0.40447,1.1392,1.1392,1.1392,1,0.33,7,0.33,0
0.40955,1.1431,0.000115,0,0.34375,0.009804,0.14094,0.069566,0.40471,1.1431,1.1431,1.1431,1,0.34,7,0.34,0
0.40955,1.1469,0.000112,0,0.35156,0.009777,0.14414,0.067828,0.40495,1.1469,1.1469,1.1469,1,0.35,7,0.35,0
0.40956,1.1539,0.000104,0,0.36719,0.009667,0.15055,0.064214,0.40543,1.1539,1.1539,1.1539,1,0.36,7,0.36,0
0.40956,1.1571,0.0001,0,0.375,0.009584,0.15375,0.062332,0.40567,1.1572,1.1572,1.1572,1,0.37,7,0.37,0
0.40956,1.1602,9.6e-05,0,0.38281,0.009479,0.15695,0.060392,0.40591,1.1603,1.1603,1.1603,1,0.38,7,0.38,0
0.40956,1.1632,9.1e-05,0,0.39062,0.009352,0.16016,0.058391,0.40615,1.1632,1.1632,1.1632,1,0.39,7,0.39,0
0.40956,1.1685,8.1e-05,0,0.40625,0.009023,0.16656,0.054172,0.40663,1.1686,1.1686,1.1686,1,0.4,7,0.4,0
0.40957,1.171,7.5e-05,0,0.41406,0.008817,0.16977,0.051937,0.40687,1.1711,1.1711,1.1711,1,0.41,7,0.41,0
0.40957,1.1733,7e-05,0,0.42188,0.00858,0.17297,0.049604,0.4071,1.1734,1.1734,1.1734,1,0.42,7,0.42,0
0.40957,1.1775,5.8e-05,0,0.4375,0.007997,0.17937,0.044582,0.40758,1.1776,1.1776,1.1776,1,0.43,7,0.43,0
0.40957,1.1794,5.2e-05,0,0.44531,0.007641,0.18258,0.04185,0.40782,1.1794,1.1794,1.1794,1,0.44,7,0.44,0
0.40957,1.1811,4.5e-05,0,0.45312,0.007233,0.18578,0.038931,0.40805,1.1812,1.1812,1.1812,1,0.45,7,0.45,0
0.40957,1.1826,3.9e-05,0,0.46094,0.006762,0.18898,0.035778,0.40829,1.1827,1.1827,1.1827,1,0.46,7,0.46,0
0.40957,1.1853,2.5e-05,0,0.47656,0.005564,0.19539,0.028474,0.40876,1.1853,1.1853,1.1853,1,0.47,7,0.47,0
0.40957,1.1863,1.8e-05,0,0.48438,0.004751,0.19859,0.023924,0.409,1.1864,1.1864,1.1864,1,0.48,7,0.48,0
0.40957,1.1872,1.1e-05,0,0.49219,0.003825,0.2018,0.018955,0.40922,1.1872,1.1872,1.1872,1,0.49,7,0.49,0
0.40958,1.1878,4e-06,0,0.5,0.001705,0.205,0.008318,0.40951,1.1879,1.1879,1.1879,1,0.5,7,0.5,0
0.40957,1.1872,-1.1e-05,0,0.49219,0.003824,0.2018,0.018952,0.40922,1.1872,1.1872,1.1872,1,0.51,7,0.51,0
0.40957,1.1863,-1.8e-05,0,0.48438,0.004751,0.19859,0.023921,0.409,1.1864,1.1864,1.1864,1,0.52,7,0.52,0
0.40957,1.1853,-2.5e-05,0,0.47656,0.005563,0.19539,0.028472,0.40876,1.1853,1.1853,1.1853,1,0.53,7,0.53,0
0.40957,1.1826,-3.9e-05,0,0.46094,0.006761,0.18898,0.035776,0.40829,1.1827,1.1827,1.1827,1,0.54,7,0.54,0
0.40957,1.1811,-4.5e-05,0,0.45312,0.007232,0.18578,0.038929,0.40805,1.1812,1.1812,1.1812,1,0.55,7,0.55,0
0.40957,1.1794,-5.2e-05,0,0.44531,0.007641,0.18258,0.041849,0.40782,1.1794,1.1794,1.1794,1,0.56,7,0.56,0
0.40957,1.1775,-5.8e-05,0,0.4375,0.007997,0.17937,0.044581,0.40758,1.1776,1.1776,1.1776,1,0.57,7,0.57,0
0.40957,1.1733,-7e-05,0,0.42188,0.00858,0.17297,0.049603,0.4071,1.1734,1.1734,1.1734,1,0.58,7,0.58,0
0.40957,1.171,-7.6e-05,0,0.41406,0.008817,0.16977,0.051936,0.40687,1.1711,1.1711,1.1711,1,0.59,7,0.59,0
0.40956,1.1685,-8.1e-05,0,0.40625,0.009023,0.16656,0.054171,0.40663,1.1686,1.1686,1.1686,1,0.6,7,0.6,0
0.40956,1.1632,-9.1e-05,0,0.39062,0.009351,0.16016,0.05839,0.40615,1.1632,1.1632,1.1632,1,0.61,7,0.61,0
0.40956,1.1602,-9.6e-05,0,0.38281,0.009479,0.15695,0.060392,0.40591,1.1603,1.1603,1.1603,1,0.62,7,0.62,0
0.40956,1.1571,-0.0001,0,0.375,0.009583,0.15375,0.062331,0.40567,1.1572,1.1572,1.1572,1,0.63,7,0.63,0
0.40956,1.1539,-0.000104,0,0.36719,0.009667,0.15055,0.064214,0.40543,1.1539,1.1539,1.1539,1,0.64,7,0.64,0
0.40955,1.1469,-0.000112,0,0.35156,0.009777,0.14414,0.067827,0.40495,1.1469,1.1469,1.1469,1,0.65,7,0.65,0
0.40955,1.1431,-0.000115,0,0.34375,0.009804,0.14094,0.069566,0.40471,1.1432,1.1432,1.1432,1,0.66,7,0.66,0
0.40955,1.1392,-0.000118,0,0.33594,0.009815,0.13773,0.071263,0.40447,1.1392,1.1392,1.1392,1,0.67,7,0.67,0
0.40955,1.1307,-0.000123,0,0.32031,0.00979,0.13133,0.074546,0.40399,1.1307,1.1307,1.1307,1,0.68,7,0.68,0
0.40955,1.1262,-0.000125,0,0.3125,0.009755,0.12812,0.076136,0.40375,1.1262,1.1262,1.1262,1,0.69,7,0.69,0
0.40955,1.1214,-0.000127,0,0.30469,0.009706,0.12492,0.077694,0.40351,1.1214,1.1214,1.1214,1,0.7,7,0.7,0
0.40954,1.1164,-0.000128,0,0.29688,0.009643,0.12172,0.079223,0.40327,1.1165,1.1165,1.1165,1,0.71,7,0.71,0
0.40954,1.1058,-0.00013,0,0.28125,0.009478,0.11531,0.082196,0.40279,1.1058,1.1058,1.1058,1,0.72,7,0.72,0
0.40954,1.1001,-0.000131,0,0.27344,0.009377,0.11211,0.083644,0.40254,1.1001,1.1001,1.1001,1,0.73,7,0.73,0
0.40954,1.0941,-0.000131,0,0.26562,0.009264,0.10891,0.085067,0.4023,1.0941,1.0941,1.0941,1,0.74,7,0.74,0
0.40953,1.0814,-0.00013,0,0.25,0.009004,0.1025,0.087845,0.40182,1.0813,1.0813,1.0813,1,0.75,7,0.75,0
0.40953,1.0745,-0.000129,0,0.24219,0.008857,0.099297,0.089201,0.40158,1.0745,1.0745,1.0745,1,0.76,7,0.76,0
0.40953,1.0673,-0.000128,0,0.23438,0.0087,0.096094,0.090536,0.40134,1.0673,1.0673,1.0673,1,0.77,7,0.77,0
0.40953,1.0598,-0.000126,0,0.22656,0.008532,0.092891,0.09185,0.40109,1.0598,1.0598,1.0598,1,0.78,7,0.78,0
0.40953,1.0435,-0.000123,0,0.21094,0.008166,0.086484,0.094421,0.40061,1.0435,1.0435,1.0435,1,0.79,7,0.79,0
0.40953,1.0348,-0.00012,0,0.20312,0.007968,0.083281,0.095677,0.40037,1.0348,1.0348,1.0348,1,0.8,7,0.8,0
0.40952,1.0256,-0.000117,0,0.19531,0.007761,0.080078,0.096915,0.40013,1.0256,1.0256,1.0256,1,0.81,7,0.81,0
0.40952,1.0159,-0.000114,0,0.1875,0.007544,0.076875,0.098134,0.39989,1.0159,1.0159,1.0159,1,0.82,7,0.82,0
0.40952,0.99482,-0.000107,0,0.17188,0.007083,0.070469,0.10052,0.39942,0.99478,0.99478,0.99478,1,0.83,7,0.83,0
0.40952,0.98336,-0.000103,0,0.16406,0.00684,0.067266,0.10168,0.39918,0.98332,0.98332,0.98332,1,0.84,7,0.84,0
0.40952,0.9712,-9.9e-05,0,0.15625,0.006587,0.064062,0.10283,0.39895,0.97116,0.97116,0.97116,1,0.85,7,0.85,0
0.40952,0.94451,-9e-05,0,0.14062,0.006057,0.057656,0.10506,0.39848,0.94446,0.94446,0.94446,1,0.86,7,0.86,0
0.40951,0.9298,-8.5e-05,0,0.13281,0.00578,0.054453,0.10615,0.39825,0.92975,0.92975,0.92975,1,0.87,7,0.87,0
0.40951,0.91405,-8e-05,0,0.125,0.005494,0.05125,0.10721,0.39802,0.914,0.914,0.914,1,0.88,7,0.88,0
0.40951,0.89712,-7.5e-05,0,0.11719,0.005201,0.048047,0.10825,0.3978,0.89706,0.89706,0.89706,1,0.89,7,0.89,0
0.40951,0.85905,-6.4e-05,0,0.10156,0.004591,0.041641,0.11024,0.39736,0.85899,0.85899,0.85899,1,0.9,7,0.9,0
