"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.4083,0.14401,1e-06,0,0.007812,0.000283,0.003203,0.088475,0.40047,0.144,0.144,0.144,1,0,4,0,0
0.4083,0.28758,2e-06,0,0.015625,0.000619,0.006406,0.096693,0.39895,0.28756,0.28756,0.28756,1,0.01,4,0.01,0
0.4083,0.37985,3e-06,0,0.023438,0.000945,0.009609,0.098334,0.39863,0.37985,0.37985,0.37985,1,0.02,4,0.02,0
0.4083,0.44747,2e-06,0,0.03125,0.001267,0.012812,0.098862,0.39853,0.44747,0.44747,0.44747,1,0.03,4,0.03,0
0.40831,0.54425,6e-06,0,0.046875,0.001852,0.018491,0.10014,0.39828,0.54399,0.54399,0.54399,1,0.04,4,0.04,0
0.40833,0.58503,6.5e-05,0,0.054688,0.001781,0.018491,0.096313,0.39905,0.58413,0.58413,0.58413,1,0.05,4,0.05,0
0.40835,0.62564,0.000183,0,0.0625,0.001761,0.018491,0.095241,0.39928,0.62418,0.62418,0.62418,1,0.06,4,0.06,0
0.40836,0.66552,0.000357,0,0.070312,0.001729,0.018491,0.09348,0.39963,0.66351,0.66351,0.66351,1,0.07,4,0.07,0
0.4084,0.7429,0.000858,0,0.085938,0.001653,0.018491,0.089415,0.40041,0.73991,0.73991,0.73991,1,0.08,4,0.08,0
0.40842,0.7802,0.001179,0,0.09375,0.001609,0.018491,0.087016,0.40085,0.77677,0.77677,0.77677,1,0.09,4,0.09,0
0.40844,0.81643,0.001541,0,0.10156,0.00156,0.018491,0.084357,0.40132,0.81262,0.81262,0.81262,1,0.1,4,0.1,0
0.40848,0.88525,0.002368,0,0.11719,0.001446,0.018491,0.078224,0.40236,0.88082,0.88082,0.88082,1,0.11,4,0.11,0
0.40851,0.91759,0.002822,0,0.125,0.001382,0.018491,0.074732,0.40292,0.91295,0.91295,0.91295,1,0.12,4,0.12,0
0.40853,0.9484,0.003292,0,0.13281,0.001312,0.018491,0.070946,0.4035,0.94362,0.94362,0.94362,1,0.13,4,0.13,0
0.40856,0.97754,0.003773,0,0.14062,0.001236,0.018491,0.066862,0.40409,0.97271,0.97271,0.97271,1,0.14,4,0.14,0
0.40861,1.0303,0.004731,0,0.15625,0.001069,0.018491,0.057793,0.40527,1.0256,1.0256,1.0256,1,0.15,4,0.15,0
0.40864,1.0537,0.00519,0,0.16406,0.000977,0.018491,0.052812,0.40585,1.0493,1.0493,1.0493,1,0.16,4,0.16,0
0.40866,1.075,0.005622,0,0.17188,0.000879,0.018491,0.047543,0.4064,1.0708,1.0708,1.0708,1,0.17,4,0.17,0
0.40872,1.1105,0.006368,0,0.1875,0.00067,0.018491,0.036208,0.40741,1.1072,1.1072,1.1072,1,0.18,4,0.18,0
0.40874,1.1245,0.00666,0,0.19531,0.000558,0.018491,0.030203,0.40783,1.1219,1.1219,1.1219,1,0.19,4,0.19,0
0.40876,1.136,0.006885,0,0.20312,0.000445,0.018491,0.024045,0.40819,1.1341,1.1341,1.1341,1,0.2,4,0.2,0
0.40879,1.1449,0.007033,0,0.21094,0.00033,0.018491,0.017834,0.40847,1.1438,1.1438,1.1438,1,0.21,4,0.21,0
0.40882,1.1548,0.007076,0,0.22656,0.000114,0.018491,0.006172,0.40878,1.1555,1.1555,1.1555,1,0.22,4,0.22,0
0.40883,1.1563,0.006974,0,0.23438,3.4e-05,0.018491,0.001848,0.40883,1.1577,1.1577,1.1577,1,0.23,4,0.23,0
0.40884,1.1563,0.006813,0,0.24219,2.3e-05,0.018491,0.001265,0.40884,1.1581,1.1581,1.1581,1,0.24,4,0.24,0
0.40884,1.1556,0.006623,0,0.25,4.1e-05,0.018491,0.002207,0.40884,1.1575,1.1575,1.1575,1,0.25,4,0.25,0
0.40885,1.1536,0.006219,0,0.26562,4.7e-05,0.018491,0.00253,0.40885,1.1557,1.1557,1.1557,1,0.26,4,0.26,0
0.40886,1.1527,0.006013,0,0.27344,4.6e-05,0.018491,0.002472,0.40885,1.1547,1.1547,1.1547,1,0.27,4,0.27,0
0.40887,1.1517,0.005807,0,0.28125,4.4e-05,0.018491,0.002375,0.40886,1.1538,1.1538,1.1538,1,0.28,4,0.28,0
0.40888,1.15,0.005395,0,0.29688,4e-05,0.018491,0.002156,0.40887,1.1521,1.1521,1.1521,1,0.29,4,0.29,0
0.40888,1.1492,0.005189,0,0.30469,3.8e-05,0.018491,0.00205,0.40888,1.1513,1.1513,1.1513,1,0.3,4,0.3,0
0.40889,1.1485,0.004984,0,0.3125,3.6e-05,0.018491,0.00195,0.40888,1.1505,1.1505,1.1505,1,0.31,4,0.31,0
0.40889,1.1478,0.004779,0,0.32031,3.4e-05,0.018491,0.001857,0.40889,1.1498,1.1498,1.1498,1,0.32,4,0.32,0
0.4089,1.1465,0.00437,0,0.33594,3.1e-05,0.018491,0.00169,0.4089,1.1486,1.1486,1.1486,1,0.33,4,0.33,0
0.4089,1.146,0.004165,0,0.34375,3e-05,0.018491,0.001615,0.4089,1.148,1.148,1.148,1,0.34,4,0.34,0
0.40891,1.1455,0.003961,0,0.35156,2.9e-05,0.018491,0.001546,0.4089,1.1475,1.1475,1.1475,1,0.35,4,0.35,0
0.40891,1.1445,0.003553,0,0.36719,2.6e-05,0.018491,0.001422,0.40891,1.1465,1.1465,1.1465,1,0.36,4,0.36,0
0.40892,1.1441,0.00335,0,0.375,2.5e-05,0.018491,0.001367,0.40892,1.1461,1.1461,1.1461,1,0.37,4,0.37,0
0.40892,1.1437,0.003146,0,0.38281,2.4e-05,0.018491,0.001316,0.40892,1.1457,1.1457,1.1457,1,0.38,4,0.38,0
0.40892,1.1433,0.002943,0,0.39062,2.3e-05,0.018491,0.001269,0.40892,1.1454,1.1454,1.1454,1,0.39,4,0.39,0
0.40893,1.1427,0.002536,0,0.40625,2.2e-05,0.018491,0.001187,0.40893,1.1447,1.1447,1.1447,1,0.4,4,0.4,0
