"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.62758,0.21608,0.000157,0,0.007812,0.000415,0.003203,0.12963,0.61078,0.21293,0.21293,0.21293,1,0,1,0,0
0.62759,0.41626,0.000592,0,0.015625,0.000859,0.006406,0.13403,0.60963,0.41071,0.41071,0.41071,1,0.01,1,0.01,0
0.62761,0.54298,0.001217,0,0.023438,0.00129,0.009609,0.1342,0.6096,0.53602,0.53602,0.53602,1,0.02,1,0.02,0
0.62764,0.63449,0.001959,0,0.03125,0.001705,0.012812,0.13304,0.60994,0.62661,0.62661,0.62661,1,0.03,1,0.03,0
0.62775,0.76228,0.003647,0,0.046875,0.002465,0.019219,0.12825,0.6113,0.75339,0.75339,0.75339,1,0.04,1,0.04,0
0.62782,0.80954,0.004548,0,0.054688,0.002803,0.022422,0.12502,0.61219,0.80042,0.80042,0.80042,1,0.05,1,0.05,0
0.62791,0.84944,0.005465,0,0.0625,0.00311,0.025625,0.12137,0.61317,0.84022,0.84022,0.84022,1,0.06,1,0.06,0
0.628,0.88359,0.006386,0,0.070312,0.003383,0.028828,0.11736,0.61423,0.87438,0.87438,0.87438,1,0.07,1,0.07,0
0.62823,0.93877,0.008202,0,0.085938,0.003818,0.035234,0.10837,0.61648,0.92986,0.92986,0.92986,1,0.08,1,0.08,0
0.62836,0.96121,0.00908,0,0.09375,0.003977,0.038437,0.10346,0.61765,0.95257,0.95257,0.95257,1,0.09,1,0.09,0
0.62849,0.98089,0.009928,0,0.10156,0.004093,0.041641,0.098293,0.61883,0.97258,0.97258,0.97258,1,0.1,1,0.1,0
0.62879,1.0133,0.011509,0,0.11719,0.004192,0.048047,0.087242,0.62118,1.0059,1.0059,1.0059,1,0.11,1,0.11,0
0.62895,1.0266,0.012231,0,0.125,0.00417,0.05125,0.081375,0.62233,1.0197,1.0197,1.0197,1,0.12,1,0.12,0
0.62911,1.0382,0.012901,0,0.13281,0.004099,0.054453,0.075282,0.62345,1.0318,1.0318,1.0318,1,0.13,1,0.13,0
0.62928,1.0483,0.013513,0,0.14062,0.003976,0.057656,0.068957,0.62452,1.0425,1.0425,1.0425,1,0.14,1,0.14,0
0.62961,1.0645,0.014546,0,0.15625,0.003559,0.064062,0.055554,0.62652,1.06,1.06,1.06,1,0.15,1,0.15,0
0.62977,1.0707,0.014958,0,0.16406,0.003263,0.067266,0.04851,0.62742,1.067,1.067,1.067,1,0.16,1,0.16,0
0.62993,1.0759,0.015294,0,0.17188,0.002906,0.070469,0.041233,0.62823,1.0729,1.0729,1.0729,1,0.17,1,0.17,0
0.63023,1.0832,0.015722,0,0.1875,0.00185,0.076875,0.024067,0.62965,1.0819,1.0819,1.0819,1,0.18,1,0.18,0
0.63036,1.0852,0.015788,0,0.19531,0.0011,0.080078,0.013742,0.63017,1.0851,1.0851,1.0851,1,0.19,1,0.19,0
0.63048,1.0861,0.015724,0,0.20312,0.000405,0.083281,0.004859,0.63045,1.0874,1.0874,1.0874,1,0.2,1,0.2,0
0.63057,1.0861,0.015528,0,0.21094,0.000628,0.086484,0.007265,0.63052,1.0887,1.0887,1.0887,1,0.21,1,0.21,0
0.63071,1.0843,0.01489,0,0.22656,0.001562,0.092891,0.016811,0.63042,1.0879,1.0879,1.0879,1,0.22,1,0.22,0
0.63078,1.0831,0.014525,0,0.23438,0.00177,0.096094,0.018424,0.63044,1.0868,1.0868,1.0868,1,0.23,1,0.23,0
0.63085,1.0819,0.014148,0,0.24219,0.001905,0.099297,0.019189,0.63048,1.0857,1.0857,1.0857,1,0.24,1,0.24,0
0.63097,1.0794,0.013365,0,0.25781,0.002149,0.1057,0.020329,0.63056,1.0834,1.0834,1.0834,1,0.25,1,0.25,0
0.63103,1.0782,0.012962,0,0.26562,0.002254,0.10891,0.020699,0.6306,1.0822,1.0822,1.0822,1,0.26,1,0.26,0
0.63109,1.077,0.012553,0,0.27344,0.002347,0.11211,0.020937,0.63065,1.0811,1.0811,1.0811,1,0.27,1,0.27,0
0.63115,1.0759,0.01214,0,0.28125,0.002431,0.11531,0.021078,0.6307,1.08,1.08,1.08,1,0.28,1,0.28,0
0.63125,1.0737,0.011304,0,0.29688,0.002576,0.12172,0.021163,0.6308,1.0779,1.0779,1.0779,1,0.29,1,0.29,0
0.6313,1.0727,0.010883,0,0.30469,0.00264,0.12492,0.021137,0.63085,1.0769,1.0769,1.0769,1,0.3,1,0.3,0
0.63135,1.0718,0.01046,0,0.3125,0.002701,0.12812,0.021079,0.6309,1.076,1.076,1.076,1,0.31,1,0.31,0
0.63139,1.0709,0.010035,0,0.32031,0.002758,0.13133,0.020999,0.63095,1.0751,1.0751,1.0751,1,0.32,1,0.32,0
0.63148,1.0692,0.009184,0,0.33594,0.002865,0.13773,0.020801,0.63104,1.0735,1.0735,1.0735,1,0.33,1,0.33,0
0.63152,1.0685,0.008757,0,0.34375,0.002917,0.14094,0.020694,0.63109,1.0727,1.0727,1.0727,1,0.34,1,0.34,0
0.63155,1.0677,0.00833,0,0.35156,0.002968,0.14414,0.020588,0.63113,1.072,1.072,1.072,1,0.35,1,0.35,0
0.63162,1.0665,0.007475,0,0.36719,0.003071,0.15055,0.020397,0.63121,1.0707,1.0707,1.0707,1,0.36,1,0.36,0
0.63165,1.0659,0.007048,0,0.375,0.003124,0.15375,0.020319,0.63124,1.0702,1.0702,1.0702,1,0.37,1,0.37,0
0.63168,1.0654,0.00662,0,0.38281,0.003179,0.15695,0.020257,0.63127,1.0696,1.0696,1.0696,1,0.38,1,0.38,0
0.63171,1.0649,0.006193,0,0.39062,0.003237,0.16016,0.020214,0.6313,1.0691,1.0691,1.0691,1,0.39,1,0.39,0
0.63176,1.064,0.005338,0,0.40625,0.003363,0.16656,0.020193,0.63135,1.0683,1.0683,1.0683,1,0.4,1,0.4,0
0.63178,1.0636,0.00491,0,0.41406,0.003433,0.16977,0.020221,0.63137,1.0679,1.0679,1.0679,1,0.41,1,0.41,0
0.63179,1.0633,0.004483,0,0.42188,0.003507,0.17297,0.020275,0.63138,1.0676,1.0676,1.0676,1,0.42,1,0.42,0
0.63182,1.0628,0.003629,0,0.4375,0.003672,0.17937,0.020471,0.6314,1.067,1.067,1.067,1,0.43,1,0.43,0
0.63183,1.0625,0.003202,0,0.44531,0.003764,0.18258,0.020614,0.63141,1.0668,1.0668,1.0668,1,0.44,1,0.44,0
0.63184,1.0623,0.002775,0,0.45312,0.003862,0.18578,0.020787,0.63141,1.0666,1.0666,1.0666,1,0.45,1,0.45,0
0.63185,1.0622,0.002348,0,0.46094,0.003967,0.18898,0.02099,0.63141,1.0665,1.0665,1.0665,1,0.46,1,0.46,0
0.63186,1.0619,0.001494,0,0.47656,0.004197,0.19539,0.02148,0.63139,1.0662,1.0662,1.0662,1,0.47,1,0.47,0
0.63185,1.0619,0.001067,0,0.48438,0.004322,0.19859,0.021764,0.63138,1.0661,1.0661,1.0661,1,0.48,1,0.48,0
0.63185,1.0618,0.00064,0,0.49219,0.004454,0.2018,0.022072,0.63136,1.0661,1.0661,1.0661,1,0.49,1,0.49,0
0.63184,1.0618,0.000213,0,0.5,0.004593,0.205,0.022403,0.63134,1.0661,1.0661,1.0661,1,0.5,1,0.5,0
0.63185,1.0618,-0.00064,0,0.49219,0.004454,0.2018,0.022072,0.63136,1.0661,1.0661,1.0661,1,0.51,1,0.51,0
0.63185,1.0619,-0.001067,0,0.48438,0.004322,0.19859,0.021764,0.63138,1.0661,1.0661,1.0661,1,0.52,1,0.52,0
0.63186,1.0619,-0.001494,0,0.47656,0.004197,0.19539,0.02148,0.63139,1.0662,1.0662,1.0662,1,0.53,1,0.53,0
0.63185,1.0622,-0.002348,0,0.46094,0.003967,0.18898,0.020989,0.63141,1.0664,1.0664,1.0664,1,0.54,1,0.54,0
0.63184,1.0623,-0.002775,0,0.45312,0.003862,0.18578,0.020787,0.63141,1.0666,1.0666,1.0666,1,0.55,1,0.55,0
0.63183,1.0625,-0.003202,0,0.44531,0.003764,0.18258,0.020614,0.63141,1.0668,1.0668,1.0668,1,0.56,1,0.56,0
0.63182,1.0628,-0.003629,0,0.4375,0.003672,0.17937,0.020471,0.6314,1.067,1.067,1.067,1,0.57,1,0.57,0
0.63179,1.0633,-0.004483,0,0.42188,0.003507,0.17297,0.020275,0.63138,1.0676,1.0676,1.0676,1,0.58,1,0.58,0
0.63178,1.0636,-0.004911,0,0.41406,0.003433,0.16977,0.02022,0.63137,1.0679,1.0679,1.0679,1,0.59,1,0.59,0
0.63176,1.064,-0.005338,0,0.40625,0.003363,0.16656,0.020193,0.63135,1.0683,1.0683,1.0683,1,0.6,1,0.6,0
0.63171,1.0649,-0.006193,0,0.39062,0.003237,0.16016,0.020214,0.6313,1.0691,1.0691,1.0691,1,0.61,1,0.61,0
0.63168,1.0654,-0.006621,0,0.38281,0.003179,0.15695,0.020258,0.63127,1.0696,1.0696,1.0696,1,0.62,1,0.62,0
0.63165,1.0659,-0.007048,0,0.375,0.003124,0.15375,0.02032,0.63124,1.0702,1.0702,1.0702,1,0.63,1,0.63,0
0.63162,1.0665,-0.007476,0,0.36719,0.003071,0.15055,0.020398,0.63121,1.0707,1.0707,1.0707,1,0.64,1,0.64,0
0.63155,1.0677,-0.008331,0,0.35156,0.002968,0.14414,0.020589,0.63113,1.072,1.072,1.072,1,0.65,1,0.65,0
0.63152,1.0685,-0.008758,0,0.34375,0.002917,0.14094,0.020695,0.63109,1.0727,1.0727,1.0727,1,0.66,1,0.66,0
0.63148,1.0692,-0.009184,0,0.33594,0.002865,0.13773,0.020802,0.63104,1.0735,1.0735,1.0735,1,0.67,1,0.67,0
0.63139,1.0709,-0.010036,0,0.32031,0.002758,0.13133,0.021001,0.63095,1.0751,1.0751,1.0751,1,0.68,1,0.68,0
0.63135,1.0718,-0.01046,0,0.3125,0.002701,0.12812,0.021081,0.6309,1.076,1.076,1.076,1,0.69,1,0.69,0
0.6313,1.0727,-0.010883,0,0.30469,0.002641,0.12492,0.021139,0.63085,1.0769,1.0769,1.0769,1,0.7,1,0.7,0
0.63125,1.0737,-0.011305,0,0.29688,0.002576,0.12172,0.021166,0.6308,1.0779,1.0779,1.0779,1,0.71,1,0.71,0
0.63115,1.0759,-0.01214,0,0.28125,0.002431,0.11531,0.021082,0.6307,1.08,1.08,1.08,1,0.72,1,0.72,0
0.63109,1.077,-0.012553,0,0.27344,0.002348,0.11211,0.020941,0.63065,1.0811,1.0811,1.0811,1,0.73,1,0.73,0
0.63103,1.0782,-0.012962,0,0.26562,0.002255,0.10891,0.020703,0.6306,1.0822,1.0822,1.0822,1,0.74,1,0.74,0
0.63091,1.0806,-0.013762,0,0.25,0.002031,0.1025,0.019819,0.63052,1.0845,1.0845,1.0845,1,0.75,1,0.75,0
0.63085,1.0819,-0.014149,0,0.24219,0.001906,0.099297,0.019193,0.63048,1.0857,1.0857,1.0857,1,0.76,1,0.76,0
0.63078,1.0831,-0.014525,0,0.23438,0.001771,0.096094,0.018428,0.63044,1.0868,1.0868,1.0868,1,0.77,1,0.77,0
0.63071,1.0843,-0.01489,0,0.22656,0.001562,0.092891,0.016816,0.63042,1.0879,1.0879,1.0879,1,0.78,1,0.78,0
0.63057,1.0861,-0.015529,0,0.21094,0.000629,0.086484,0.007274,0.63052,1.0887,1.0887,1.0887,1,0.79,1,0.79,0
0.63048,1.0861,-0.015725,0,0.20312,0.000404,0.083281,0.00485,0.63045,1.0874,1.0874,1.0874,1,0.8,1,0.8,0
0.63036,1.0852,-0.015789,0,0.19531,0.001099,0.080078,0.013728,0.63017,1.0851,1.0851,1.0851,1,0.81,1,0.81,0
0.63023,1.0832,-0.015723,0,0.1875,0.001849,0.076875,0.024053,0.62965,1.0819,1.0819,1.0819,1,0.82,1,0.82,0
0.62994,1.0759,-0.015295,0,0.17188,0.002905,0.070469,0.041224,0.62823,1.073,1.073,1.073,1,0.83,1,0.83,0
0.62977,1.0708,-0.014959,0,0.16406,0.003262,0.067266,0.048501,0.62742,1.067,1.067,1.067,1,0.84,1,0.84,0
0.62961,1.0645,-0.014547,0,0.15625,0.003558,0.064062,0.055547,0.62653,1.06,1.06,1.06,1,0.85,1,0.85,0
0.62928,1.0484,-0.013514,0,0.14062,0.003975,0.057656,0.068951,0.62453,1.0425,1.0425,1.0425,1,0.86,1,0.86,0
0.62912,1.0383,-0.012902,0,0.13281,0.004099,0.054453,0.075277,0.62345,1.0318,1.0318,1.0318,1,0.87,1,0.87,0
0.62896,1.0266,-0.012232,0,0.125,0.00417,0.05125,0.081371,0.62233,1.0197,1.0197,1.0197,1,0.88,1,0.88,0
0.6288,1.0134,-0.01151,0,0.11719,0.004192,0.048047,0.087239,0.62119,1.0059,1.0059,1.0059,1,0.89,1,0.89,0
0.6285,0.98091,-0.009929,0,0.10156,0.004093,0.041641,0.098292,0.61884,0.97259,0.97259,0.97259,1,0.9,1,0.9,0
0.62836,0.96123,-0.009081,0,0.09375,0.003977,0.038437,0.10346,0.61766,0.95258,0.95258,0.95258,1,0.91,1,0.91,0
0.62823,0.93879,-0.008203,0,0.085938,0.003818,0.035234,0.10837,0.61649,0.92988,0.92988,0.92988,1,0.92,1,0.92,0
0.628,0.88361,-0.006387,0,0.070312,0.003383,0.028828,0.11736,0.61423,0.8744,0.8744,0.8744,1,0.93,1,0.93,0
0.62791,0.84946,-0.005465,0,0.0625,0.00311,0.025625,0.12138,0.61318,0.84024,0.84024,0.84024,1,0.94,1,0.94,0
0.62782,0.80956,-0.004548,0,0.054688,0.002803,0.022422,0.12503,0.61219,0.80044,0.80044,0.80044,1,0.95,1,0.95,0
0.62775,0.7623,-0.003647,0,0.046875,0.002465,0.019219,0.12825,0.6113,0.75341,0.75341,0.75341,1,0.96,1,0.96,0
0.62765,0.6345,-0.001959,0,0.03125,0.001705,0.012812,0.13304,0.60994,0.62662,0.62662,0.62662,1,0.97,1,0.97,0
0.62761,0.54299,-0.001217,0,0.023438,0.00129,0.009609,0.1342,0.6096,0.53603,0.53603,0.53603,1,0.98,1,0.98,0
0.62759,0.41627,-0.000592,0,0.015625,0.000859,0.006406,0.13403,0.60963,0.41072,0.41072,0.41072,1,0.99,1,0.99,0
0.62759,0.21608,-0.000157,0,0.007812,0.000415,0.003203,0.12963,0.61078,0.21294,0.21294,0.21294,1,1,1,1,0
