"pressure","velocity:0","velocity:1","velocity:2","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.041503,1.1484,-0.000981,0,1.1488,1.1488,1.1488,1,0.67,13,0.67,0
0.041502,1.1493,-0.001073,0,1.1498,1.1498,1.1498,1,0.68,13,0.68,0
0.041501,1.1498,-0.001119,0,1.1503,1.1503,1.1503,1,0.69,13,0.69,0
0.041501,1.1504,-0.001165,0,1.1508,1.1508,1.1508,1,0.7,13,0.7,0
0.0415,1.1509,-0.00121,0,1.1514,1.1514,1.1514,1,0.71,13,0.71,0
0.041499,1.152,-0.001301,0,1.1525,1.1525,1.1525,1,0.72,13,0.72,0
0.041499,1.1526,-0.001345,0,1.153,1.153,1.153,1,0.73,13,0.73,0
0.041498,1.153,-0.001389,0,1.1535,1.1535,1.1535,1,0.74,13,0.74,0
0.041498,1.1534,-0.001431,0,1.1538,1.1538,1.1538,1,0.75,13,0.75,0
0.041497,1.1535,-0.001511,0,1.1539,1.1539,1.1539,1,0.76,13,0.76,0
0.041496,1.1532,-0.001548,0,1.1535,1.1535,1.1535,1,0.77,13,0.77,0
0.041495,1.1524,-0.001581,0,1.1527,1.1527,1.1527,1,0.78,13,0.78,0
0.041494,1.1489,-0.001634,0,1.1491,1.1491,1.1491,1,0.79,13,0.79,0
0.041493,1.1458,-0.001652,0,1.1459,1.1459,1.1459,1,0.8,13,0.8,0
0.041493,1.1415,-0.001664,0,1.1415,1.1415,1.1415,1,0.81,13,0.81,0
0.041492,1.1356,-0.001666,0,1.1356,1.1356,1.1356,1,0.82,13,0.82,0
0.041491,1.1183,-0.001643,0,1.118,1.118,1.118,1,0.83,13,0.83,0
0.04149,1.106,-0.001615,0,1.1057,1.1057,1.1057,1,0.84,13,0.84,0
0.041489,1.0909,-0.001576,0,1.0904,1.0904,1.0904,1,0.85,13,0.85,0
0.041488,1.0506,-0.00146,0,1.0499,1.0499,1.0499,1,0.86,13,0.86,0
0.041487,1.0247,-0.001385,0,1.0239,1.0239,1.0239,1,0.87,13,0.87,0
0.041487,0.99468,-0.001298,0,0.99376,0.99376,0.99376,1,0.88,13,0.88,0
0.041486,0.96026,-0.001202,0,0.95925,0.95925,0.95925,1,0.89,13,0.89,0
0.041485,0.87766,-0.000988,0,0.87653,0.87653,0.87653,1,0.9,13,0.9,0
0.041484,0.8294,-0.000873,0,0.82824,0.82824,0.82824,1,0.91,13,0.91,0
0.041484,0.77657,-0.000758,0,0.77541,0.77541,0.77541,1,0.92,13,0.92,0
0.041483,0.65781,-0.000531,0,0.65672,0.65672,0.65672,1,0.93,13,0.93,0
0.041483,0.59232,-0.000426,0,0.5913,0.5913,0.5913,1,0.94,13,0.94,0
0.041482,0.52309,-0.000328,0,0.52216,0.52216,0.52216,1,0.95,13,0.95,0
0.041482,0.45042,-0.000241,0,0.4496,0.4496,0.4496,1,0.96,13,0.96,0
0.041481,0.29584,-0.000102,0,0.29529,0.29529,0.29529,1,0.97,13,0.97,0
0.041481,0.21442,-5.4e-05,0,0.21402,0.21402,0.21402,1,0.98,13,0.98,0
0.041481,0.13052,-2.1e-05,0,0.13027,0.13027,0.13027,1,0.99,13,0.99,0
0.04148,0.044263,-4e-06,0,0.044177,0.044177,0.044177,1,1,13,1,0
