"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.32602,0.14487,-4e-06,0,0.007812,0.000285,0.003203,0.08901,0.31809,0.14493,0.14493,0.14493,1,0,7,0,0
0.32602,0.28933,-1.4e-05,0,0.015625,0.000624,0.006406,0.097341,0.31654,0.28946,0.28946,0.28946,1,0.01,7,0.01,0
0.32602,0.38228,-2.8e-05,0,0.023438,0.000952,0.009609,0.099105,0.3162,0.38245,0.38245,0.38245,1,0.02,7,0.02,0
0.32602,0.45048,-4.7e-05,0,0.03125,0.001279,0.012812,0.099844,0.31605,0.45067,0.45067,0.45067,1,0.03,7,0.03,0
0.32602,0.548,-9e-05,0,0.046875,0.001917,0.019219,0.099753,0.31607,0.54823,0.54823,0.54823,1,0.04,7,0.04,0
0.32602,0.58514,-0.000115,0,0.054688,0.002228,0.022422,0.099387,0.31614,0.58539,0.58539,0.58539,1,0.05,7,0.05,0
0.32601,0.61725,-0.000141,0,0.0625,0.002527,0.025625,0.098619,0.31629,0.61753,0.61753,0.61753,1,0.06,7,0.06,0
0.32602,0.64527,-0.000167,0,0.070312,0.002887,0.028828,0.10016,0.31598,0.64551,0.64551,0.64551,1,0.07,7,0.07,0
0.32603,0.69769,-0.000178,0,0.085938,0.002771,0.028868,0.096003,0.31682,0.69753,0.69753,0.69753,1,0.08,7,0.08,0
0.32604,0.7235,-0.000152,0,0.09375,0.002737,0.028868,0.0948,0.31705,0.72315,0.72315,0.72315,1,0.09,7,0.09,0
0.32605,0.749,-0.000107,0,0.10156,0.0027,0.028868,0.093547,0.3173,0.74845,0.74845,0.74845,1,0.1,7,0.1,0
0.32607,0.7989,4e-05,0,0.11719,0.00262,0.028868,0.090753,0.31784,0.79799,0.79799,0.79799,1,0.11,7,0.11,0
0.32608,0.82326,0.000139,0,0.125,0.002575,0.028868,0.089206,0.31813,0.82218,0.82218,0.82218,1,0.12,7,0.12,0
0.32609,0.84719,0.000255,0,0.13281,0.002528,0.028868,0.087558,0.31843,0.84595,0.84595,0.84595,1,0.13,7,0.13,0
0.3261,0.87066,0.000386,0,0.14062,0.002477,0.028868,0.085805,0.31874,0.86928,0.86928,0.86928,1,0.14,7,0.14,0
0.32613,0.9161,0.000689,0,0.15625,0.002366,0.028868,0.081975,0.31941,0.91446,0.91446,0.91446,1,0.15,7,0.15,0
0.32614,0.93801,0.000858,0,0.16406,0.002306,0.028868,0.079892,0.31976,0.93627,0.93627,0.93627,1,0.16,7,0.16,0
0.32615,0.95935,0.001037,0,0.17188,0.002243,0.028868,0.077694,0.32012,0.95751,0.95751,0.95751,1,0.17,7,0.17,0
0.32618,1.0002,0.001419,0,0.1875,0.002106,0.028868,0.072941,0.32086,0.99818,0.99818,0.99818,1,0.18,7,0.18,0
0.32619,1.0196,0.001619,0,0.19531,0.002032,0.028868,0.070383,0.32124,1.0175,1.0175,1.0175,1,0.19,7,0.19,0
0.3262,1.0383,0.001822,0,0.20312,0.001954,0.028868,0.0677,0.32162,1.0362,1.0362,1.0362,1,0.2,7,0.2,0
0.32622,1.0562,0.002027,0,0.21094,0.001873,0.028868,0.064892,0.32201,1.0542,1.0542,1.0542,1,0.21,7,0.21,0
0.32625,1.0897,0.002432,0,0.22656,0.0017,0.028868,0.058895,0.32278,1.0878,1.0878,1.0878,1,0.22,7,0.22,0
0.32626,1.1053,0.002629,0,0.23438,0.001608,0.028868,0.055703,0.32316,1.1033,1.1033,1.1033,1,0.23,7,0.23,0
0.32627,1.1199,0.002818,0,0.24219,0.001512,0.028868,0.052383,0.32353,1.1181,1.1181,1.1181,1,0.24,7,0.24,0
0.32629,1.1336,0.002998,0,0.25,0.001413,0.028868,0.048935,0.32389,1.1319,1.1319,1.1319,1,0.25,7,0.25,0
0.32632,1.1582,0.00332,0,0.26562,0.001203,0.028868,0.041657,0.32458,1.1567,1.1567,1.1567,1,0.26,7,0.26,0
0.32633,1.169,0.003456,0,0.27344,0.001092,0.028868,0.037832,0.3249,1.1677,1.1677,1.1677,1,0.27,7,0.27,0
0.32634,1.1787,0.003573,0,0.28125,0.000978,0.028868,0.03389,0.3252,1.1776,1.1776,1.1776,1,0.28,7,0.28,0
0.32637,1.1948,0.003735,0,0.29688,0.000741,0.028868,0.025681,0.32571,1.1943,1.1943,1.1943,1,0.29,7,0.29,0
0.32638,1.2012,0.003775,0,0.30469,0.000619,0.028868,0.021441,0.32592,1.201,1.201,1.201,1,0.3,7,0.3,0
0.32639,1.2065,0.003785,0,0.3125,0.000495,0.028868,0.01714,0.3261,1.2065,1.2065,1.2065,1,0.31,7,0.31,0
0.3264,1.2105,0.003762,0,0.32031,0.00037,0.028868,0.012825,0.32624,1.2109,1.2109,1.2109,1,0.32,7,0.32,0
0.32642,1.2152,0.00361,0,0.33594,0.000134,0.028868,0.004627,0.3264,1.2163,1.2163,1.2163,1,0.33,7,0.33,0
0.32642,1.2159,0.003482,0,0.34375,4.8e-05,0.028868,0.001677,0.32642,1.2173,1.2173,1.2173,1,0.34,7,0.34,0
0.32643,1.2159,0.003329,0,0.35156,3.9e-05,0.028868,0.001355,0.32642,1.2175,1.2175,1.2175,1,0.35,7,0.35,0
0.32643,1.2151,0.002996,0,0.36719,5.9e-05,0.028868,0.00203,0.32642,1.2168,1.2168,1.2168,1,0.36,7,0.36,0
0.32643,1.2147,0.002825,0,0.375,5.9e-05,0.028868,0.002039,0.32643,1.2164,1.2164,1.2164,1,0.37,7,0.37,0
0.32643,1.2143,0.002654,0,0.38281,5.7e-05,0.028868,0.001987,0.32643,1.216,1.216,1.216,1,0.38,7,0.38,0
0.32643,1.2139,0.002482,0,0.39062,5.5e-05,0.028868,0.001913,0.32643,1.2156,1.2156,1.2156,1,0.39,7,0.39,0
0.32644,1.2131,0.002139,0,0.40625,5.1e-05,0.028868,0.001754,0.32643,1.2149,1.2149,1.2149,1,0.4,7,0.4,0
0.32644,1.2128,0.001967,0,0.41406,4.8e-05,0.028868,0.001679,0.32643,1.2145,1.2145,1.2145,1,0.41,7,0.41,0
0.32644,1.2125,0.001796,0,0.42188,4.6e-05,0.028868,0.00161,0.32644,1.2143,1.2143,1.2143,1,0.42,7,0.42,0
0.32644,1.2121,0.001454,0,0.4375,4.3e-05,0.028868,0.001491,0.32644,1.2138,1.2138,1.2138,1,0.43,7,0.43,0
0.32644,1.2119,0.001282,0,0.44531,4.2e-05,0.028868,0.001441,0.32644,1.2136,1.2136,1.2136,1,0.44,7,0.44,0
