"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.50628,0.17951,1.3e-05,0,0.007812,0.000349,0.003203,0.10889,0.49442,0.17926,0.17926,0.17926,1,0,4,0,0
0.50628,0.35168,4.8e-05,0,0.015625,0.000741,0.006406,0.11571,0.49289,0.35123,0.35123,0.35123,1,0.01,4,0.01,0
0.50628,0.46173,9.8e-05,0,0.023438,0.001125,0.009609,0.11712,0.49256,0.46117,0.46117,0.46117,1,0.02,4,0.02,0
0.50628,0.54212,0.000158,0,0.03125,0.001506,0.012812,0.11754,0.49247,0.54148,0.54148,0.54148,1,0.03,4,0.03,0
0.50629,0.6566,0.000296,0,0.046875,0.002245,0.019219,0.11681,0.49264,0.65587,0.65587,0.65587,1,0.04,4,0.04,0
0.50629,0.70004,0.000371,0,0.054688,0.002602,0.022422,0.11606,0.49282,0.69928,0.69928,0.69928,1,0.05,4,0.05,0
0.5063,0.73748,0.000448,0,0.0625,0.002951,0.025625,0.11515,0.49303,0.7367,0.7367,0.7367,1,0.06,4,0.06,0
0.5063,0.77026,0.000526,0,0.070312,0.00329,0.028828,0.11414,0.49327,0.76947,0.76947,0.76947,1,0.07,4,0.07,0
0.50631,0.82541,0.000686,0,0.085938,0.003941,0.035234,0.11185,0.4938,0.8246,0.8246,0.8246,1,0.08,4,0.08,0
0.50632,0.84895,0.000766,0,0.09375,0.004252,0.038437,0.11061,0.49408,0.84815,0.84815,0.84815,1,0.09,4,0.09,0
0.50633,0.87038,0.000845,0,0.10156,0.004552,0.041641,0.10932,0.49437,0.86958,0.86958,0.86958,1,0.1,4,0.1,0
0.50634,0.90801,0.001002,0,0.11719,0.005122,0.048047,0.10661,0.49498,0.90724,0.90724,0.90724,1,0.11,4,0.11,0
0.50635,0.92466,0.001078,0,0.125,0.005392,0.05125,0.1052,0.49528,0.92391,0.92391,0.92391,1,0.12,4,0.12,0
0.50636,0.9401,0.001153,0,0.13281,0.00565,0.054453,0.10376,0.49559,0.93936,0.93936,0.93936,1,0.13,4,0.13,0
0.50637,0.95445,0.001226,0,0.14062,0.005897,0.057656,0.10228,0.49591,0.95373,0.95373,0.95373,1,0.14,4,0.14,0
0.50639,0.98033,0.001366,0,0.15625,0.006358,0.064062,0.099251,0.49654,0.97966,0.97966,0.97966,1,0.15,4,0.15,0
0.5064,0.99205,0.001432,0,0.16406,0.006572,0.067266,0.097697,0.49686,0.9914,0.9914,0.9914,1,0.16,4,0.16,0
0.50642,1.003,0.001495,0,0.17188,0.006773,0.070469,0.096118,0.49718,1.0024,1.0024,1.0024,1,0.17,4,0.17,0
0.50644,1.0231,0.001612,0,0.1875,0.007141,0.076875,0.092894,0.49781,1.0225,1.0225,1.0225,1,0.18,4,0.18,0
0.50646,1.0323,0.001666,0,0.19531,0.007307,0.080078,0.091251,0.49813,1.0318,1.0318,1.0318,1,0.19,4,0.19,0
0.50647,1.0409,0.001717,0,0.20312,0.007461,0.083281,0.089588,0.49845,1.0404,1.0404,1.0404,1,0.2,4,0.2,0
0.50649,1.0491,0.001764,0,0.21094,0.007602,0.086484,0.087905,0.49876,1.0487,1.0487,1.0487,1,0.21,4,0.21,0
0.50652,1.0641,0.001847,0,0.22656,0.007848,0.092891,0.084485,0.49938,1.0638,1.0638,1.0638,1,0.22,4,0.22,0
0.50653,1.0711,0.001882,0,0.23438,0.007952,0.096094,0.082748,0.49969,1.0707,1.0707,1.0707,1,0.23,4,0.23,0
0.50655,1.0776,0.001914,0,0.24219,0.008042,0.099297,0.080994,0.49999,1.0773,1.0773,1.0773,1,0.24,4,0.24,0
0.50659,1.0897,0.001963,0,0.25781,0.008185,0.1057,0.077437,0.50059,1.0895,1.0895,1.0895,1,0.25,4,0.25,0
0.5066,1.0953,0.001982,0,0.26562,0.008237,0.10891,0.075635,0.50088,1.0951,1.0951,1.0951,1,0.26,4,0.26,0
0.50662,1.1006,0.001995,0,0.27344,0.008276,0.11211,0.073817,0.50117,1.1005,1.1005,1.1005,1,0.27,4,0.27,0
0.50664,1.1056,0.002004,0,0.28125,0.008301,0.11531,0.071983,0.50146,1.1055,1.1055,1.1055,1,0.28,4,0.28,0
0.50668,1.1149,0.002007,0,0.29688,0.00831,0.12172,0.068272,0.50202,1.1149,1.1149,1.1149,1,0.29,4,0.29,0
0.5067,1.1192,0.002002,0,0.30469,0.008294,0.12492,0.066394,0.50229,1.1192,1.1192,1.1192,1,0.3,4,0.3,0
0.50672,1.1232,0.001991,0,0.3125,0.008264,0.12812,0.064502,0.50256,1.1233,1.1233,1.1233,1,0.31,4,0.31,0
0.50674,1.127,0.001974,0,0.32031,0.00822,0.13133,0.062595,0.50282,1.1272,1.1272,1.1272,1,0.32,4,0.32,0
0.50678,1.1341,0.001926,0,0.33594,0.00809,0.13773,0.058738,0.50333,1.1344,1.1344,1.1344,1,0.33,4,0.33,0
0.5068,1.1374,0.001894,0,0.34375,0.008003,0.14094,0.056787,0.50358,1.1377,1.1377,1.1377,1,0.34,4,0.34,0
0.50682,1.1404,0.001856,0,0.35156,0.007902,0.14414,0.054822,0.50382,1.1408,1.1408,1.1408,1,0.35,4,0.35,0
0.50686,1.1461,0.001764,0,0.36719,0.007654,0.15055,0.050844,0.50428,1.1466,1.1466,1.1466,1,0.36,4,0.36,0
0.50688,1.1486,0.001709,0,0.375,0.007508,0.15375,0.048831,0.5045,1.1492,1.1492,1.1492,1,0.37,4,0.37,0
0.50691,1.151,0.001648,0,0.38281,0.007345,0.15695,0.0468,0.50471,1.1517,1.1517,1.1517,1,0.38,4,0.38,0
0.50692,1.1533,0.001582,0,0.39062,0.007167,0.16016,0.04475,0.50492,1.154,1.154,1.154,1,0.39,4,0.39,0
0.50696,1.1574,0.001432,0,0.40625,0.00676,0.16656,0.040585,0.50532,1.1582,1.1582,1.1582,1,0.4,4,0.4,0
0.50698,1.1592,0.001349,0,0.41406,0.00653,0.16977,0.038465,0.5055,1.1601,1.1601,1.1601,1,0.41,4,0.41,0
0.507,1.1609,0.001259,0,0.42188,0.006281,0.17297,0.036315,0.50568,1.1619,1.1619,1.1619,1,0.42,4,0.42,0
0.50704,1.164,0.001064,0,0.4375,0.005722,0.17937,0.0319,0.50602,1.165,1.165,1.165,1,0.43,4,0.43,0
0.50706,1.1653,0.000957,0,0.44531,0.005407,0.18258,0.029617,0.50618,1.1664,1.1664,1.1664,1,0.44,4,0.44,0
