"pressure","velocity:0","velocity:1","velocity:2","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.087553,0.05484,1.1e-05,0,0.05462,0.05462,0.05462,1,0,7,0,0
0.087554,0.16147,5.4e-05,0,0.16082,0.16082,0.16082,1,0.01,7,0.01,0
0.087555,0.26478,0.000139,0,0.26373,0.26373,0.26373,1,0.02,7,0.02,0
0.087556,0.36434,0.000262,0,0.36292,0.36292,0.36292,1,0.03,7,0.03,0
0.087558,0.54975,0.000608,0,0.54773,0.54773,0.54773,1,0.04,7,0.04,0
0.087559,0.63417,0.000819,0,0.63195,0.63195,0.63195,1,0.05,7,0.05,0
0.08756,0.71211,0.001047,0,0.70977,0.70977,0.70977,1,0.06,7,0.06,0
0.087561,0.78296,0.001282,0,0.78058,0.78058,0.78058,1,0.07,7,0.07,0
0.087564,0.90175,0.001744,0,0.89955,0.89955,0.89955,1,0.08,7,0.08,0
0.087565,0.94945,0.001953,0,0.94745,0.94745,0.94745,1,0.09,7,0.09,0
0.087567,0.98958,0.002141,0,0.98783,0.98783,0.98783,1,0.1,7,0.1,0
0.087571,1.0491,0.002433,0,1.048,1.048,1.048,1,0.11,7,0.11,0
0.087573,1.0699,0.002535,0,1.0691,1.0691,1.0691,1,0.12,7,0.12,0
0.087575,1.0858,0.002608,0,1.0852,1.0852,1.0852,1,0.13,7,0.13,0
0.087577,1.0975,0.002654,0,1.0972,1.0972,1.0972,1,0.14,7,0.14,0
0.087581,1.1117,0.002679,0,1.1117,1.1117,1.1117,1,0.15,7,0.15,0
0.087582,1.1154,0.002664,0,1.1156,1.1156,1.1156,1,0.16,7,0.16,0
0.087584,1.1176,0.002636,0,1.1179,1.1179,1.1179,1,0.17,7,0.17,0
0.087588,1.119,0.00255,0,1.1195,1.1195,1.1195,1,0.18,7,0.18,0
0.08759,1.1189,0.002497,0,1.1194,1.1194,1.1194,1,0.19,7,0.19,0
0.087592,1.1183,0.00244,0,1.1189,1.1189,1.1189,1,0.2,7,0.2,0
0.087594,1.1176,0.00238,0,1.1182,1.1182,1.1182,1,0.21,7,0.21,0
0.087597,1.1159,0.002255,0,1.1166,1.1166,1.1166,1,0.22,7,0.22,0
0.087599,1.1151,0.002191,0,1.1157,1.1157,1.1157,1,0.23,7,0.23,0
0.0876,1.1142,0.002127,0,1.1148,1.1148,1.1148,1,0.24,7,0.24,0
0.087603,1.1126,0.001998,0,1.1132,1.1132,1.1132,1,0.25,7,0.25,0
0.087604,1.1118,0.001934,0,1.1124,1.1124,1.1124,1,0.26,7,0.26,0
0.087606,1.1111,0.00187,0,1.1117,1.1117,1.1117,1,0.27,7,0.27,0
0.087607,1.1104,0.001806,0,1.111,1.111,1.111,1,0.28,7,0.28,0
0.08761,1.1092,0.001677,0,1.1098,1.1098,1.1098,1,0.29,7,0.29,0
0.087611,1.1086,0.001614,0,1.1093,1.1093,1.1093,1,0.3,7,0.3,0
0.087612,1.1081,0.00155,0,1.1087,1.1087,1.1087,1,0.31,7,0.31,0
0.087613,1.1076,0.001486,0,1.1082,1.1082,1.1082,1,0.32,7,0.32,0
0.087615,1.1067,0.001359,0,1.1074,1.1074,1.1074,1,0.33,7,0.33,0
0.087616,1.1063,0.001295,0,1.107,1.107,1.107,1,0.34,7,0.34,0
0.087617,1.1059,0.001232,0,1.1066,1.1066,1.1066,1,0.35,7,0.35,0
0.087619,1.1053,0.001105,0,1.1059,1.1059,1.1059,1,0.36,7,0.36,0
0.087619,1.105,0.001041,0,1.1056,1.1056,1.1056,1,0.37,7,0.37,0
0.08762,1.1047,0.000978,0,1.1053,1.1053,1.1053,1,0.38,7,0.38,0
0.087621,1.1044,0.000915,0,1.1051,1.1051,1.1051,1,0.39,7,0.39,0
0.087622,1.104,0.000789,0,1.1046,1.1046,1.1046,1,0.4,7,0.4,0
0.087623,1.1038,0.000725,0,1.1044,1.1044,1.1044,1,0.41,7,0.41,0
0.087623,1.1036,0.000662,0,1.1042,1.1042,1.1042,1,0.42,7,0.42,0
0.087624,1.1033,0.000536,0,1.1039,1.1039,1.1039,1,0.43,7,0.43,0
0.087624,1.1032,0.000473,0,1.1038,1.1038,1.1038,1,0.44,7,0.44,0
0.087625,1.1031,0.00041,0,1.1037,1.1037,1.1037,1,0.45,7,0.45,0
0.087625,1.103,0.000347,0,1.1036,1.1036,1.1036,1,0.46,7,0.46,0
0.087625,1.1028,0.000221,0,1.1034,1.1034,1.1034,1,0.47,7,0.47,0
