"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.32233,0.10085,4.7e-05,0,0.003906,0.000107,0.001602,0.06698,0.31785,0.10067,0.10067,0.10067,1,0,1,0,0
0.32234,0.31054,0.000403,0,0.011719,0.000444,0.004805,0.092407,0.3138,0.31007,0.31007,0.31007,1,0.01,1,0.01,0
0.32239,0.49602,0.001648,0,0.023438,0.000533,0.005928,0.08984,0.31431,0.49479,0.49479,0.49479,1,0.02,1,0.02,0
0.32242,0.61181,0.00312,0,0.03125,0.000507,0.005928,0.085565,0.3151,0.6101,0.6101,0.6101,1,0.03,1,0.03,0
0.32251,0.77226,0.006107,0,0.042969,0.00045,0.005928,0.075913,0.31674,0.77003,0.77003,0.77003,1,0.04,1,0.04,0
0.32258,0.86672,0.008429,0,0.050781,0.000397,0.005928,0.066938,0.3181,0.86434,0.86434,0.86434,1,0.05,1,0.05,0
0.32273,0.98269,0.011939,0,0.0625,0.000293,0.005928,0.049477,0.32029,0.98048,0.98048,0.98048,1,0.06,1,0.06,0
0.32285,1.0389,0.013956,0,0.070312,0.00021,0.005928,0.035498,0.32159,1.0371,1.0371,1.0371,1,0.07,1,0.07,0
0.32302,1.0871,0.015897,0,0.082031,8e-05,0.005928,0.013477,0.32284,1.0863,1.0863,1.0863,1,0.08,1,0.08,0
0.32315,1.0967,0.01627,0,0.09375,6e-06,0.005928,0.001013,0.32315,1.0968,1.0968,1.0968,1,0.09,1,0.09,0
0.32322,1.0933,0.01603,0,0.10156,1.9e-05,0.005928,0.003284,0.32321,1.0936,1.0936,1.0936,1,0.1,1,0.1,0
0.32332,1.0866,0.015523,0,0.11328,2e-05,0.005928,0.003377,0.32331,1.0869,1.0869,1.0869,1,0.11,1,0.11,0
0.32338,1.0825,0.015173,0,0.12109,1.8e-05,0.005928,0.003007,0.32337,1.0828,1.0828,1.0828,1,0.12,1,0.12,0
0.32348,1.0773,0.01466,0,0.13281,1.5e-05,0.005928,0.002474,0.32347,1.0776,1.0776,1.0776,1,0.13,1,0.13,0
0.32353,1.0743,0.014327,0,0.14062,1.3e-05,0.005928,0.002192,0.32353,1.0747,1.0747,1.0747,1,0.14,1,0.14,0
0.32362,1.0705,0.013837,0,0.15234,1.1e-05,0.005928,0.001863,0.32362,1.0709,1.0709,1.0709,1,0.15,1,0.15,0
0.32368,1.0683,0.013516,0,0.16016,1e-05,0.005928,0.00169,0.32367,1.0687,1.0687,1.0687,1,0.16,1,0.16,0
