"pressure","velocity:0","velocity:1","velocity:2","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.062278,0.048203,6e-06,0,0.048077,0.048077,0.048077,1,0,10,0,0
0.062279,0.14205,3.1e-05,0,0.14168,0.14168,0.14168,1,0.01,10,0.01,0
0.062279,0.2332,8e-05,0,0.2326,0.2326,0.2326,1,0.02,10,0.02,0
0.06228,0.32145,0.000151,0,0.32063,0.32063,0.32063,1,0.03,10,0.03,0
0.062281,0.48795,0.000353,0,0.48676,0.48676,0.48676,1,0.04,10,0.04,0
0.062281,0.56544,0.000479,0,0.5641,0.5641,0.5641,1,0.05,10,0.05,0
0.062282,0.63853,0.000619,0,0.63708,0.63708,0.63708,1,0.06,10,0.06,0
0.062282,0.70682,0.000768,0,0.70529,0.70529,0.70529,1,0.07,10,0.07,0
0.062284,0.8276,0.001078,0,0.82605,0.82605,0.82605,1,0.08,10,0.08,0
0.062284,0.87962,0.001231,0,0.87811,0.87811,0.87811,1,0.09,10,0.09,0
0.062285,0.92589,0.001378,0,0.92447,0.92447,0.92447,1,0.1,10,0.1,0
0.062287,1.0015,0.001637,0,1.0003,1.0003,1.0003,1,0.11,10,0.11,0
0.062288,1.0313,0.001745,0,1.0303,1.0303,1.0303,1,0.12,10,0.12,0
0.062289,1.0561,0.001836,0,1.0553,1.0553,1.0553,1,0.13,10,0.13,0
0.06229,1.0765,0.001909,0,1.0759,1.0759,1.0759,1,0.14,10,0.14,0
0.062292,1.1059,0.002005,0,1.1056,1.1056,1.1056,1,0.15,10,0.15,0
0.062293,1.1159,0.002028,0,1.1157,1.1157,1.1157,1,0.16,10,0.16,0
0.062294,1.1233,0.002037,0,1.1233,1.1233,1.1233,1,0.17,10,0.17,0
0.062296,1.1326,0.00202,0,1.1328,1.1328,1.1328,1,0.18,10,0.18,0
0.062297,1.1352,0.001997,0,1.1354,1.1354,1.1354,1,0.19,10,0.19,0
0.062298,1.1367,0.001966,0,1.1371,1.1371,1.1371,1,0.2,10,0.2,0
0.062299,1.1376,0.00193,0,1.1379,1.1379,1.1379,1,0.21,10,0.21,0
0.062301,1.1378,0.001845,0,1.1382,1.1382,1.1382,1,0.22,10,0.22,0
0.062302,1.1374,0.001797,0,1.1379,1.1379,1.1379,1,0.23,10,0.23,0
0.062303,1.1369,0.001748,0,1.1374,1.1374,1.1374,1,0.24,10,0.24,0
0.063474,1.1346,0.00166,0,1.1351,1.1351,1.1351,1,0.25,10,0.25,0
0.063475,1.1339,0.001608,0,1.1344,1.1344,1.1344,1,0.26,10,0.26,0
0.063475,1.1332,0.001555,0,1.1337,1.1337,1.1337,1,0.27,10,0.27,0
0.063476,1.1325,0.001502,0,1.1331,1.1331,1.1331,1,0.28,10,0.28,0
0.063478,1.1313,0.001396,0,1.1318,1.1318,1.1318,1,0.29,10,0.29,0
0.063478,1.1307,0.001342,0,1.1312,1.1312,1.1312,1,0.3,10,0.3,0
0.063479,1.1301,0.001289,0,1.1307,1.1307,1.1307,1,0.31,10,0.31,0
0.06348,1.1296,0.001236,0,1.1301,1.1301,1.1301,1,0.32,10,0.32,0
0.063481,1.1287,0.00113,0,1.1292,1.1292,1.1292,1,0.33,10,0.33,0
0.063482,1.1283,0.001077,0,1.1288,1.1288,1.1288,1,0.34,10,0.34,0
0.063482,1.1279,0.001024,0,1.1284,1.1284,1.1284,1,0.35,10,0.35,0
0.063483,1.1271,0.000919,0,1.1277,1.1277,1.1277,1,0.36,10,0.36,0
0.063484,1.1268,0.000866,0,1.1274,1.1274,1.1274,1,0.37,10,0.37,0
0.063484,1.1265,0.000814,0,1.1271,1.1271,1.1271,1,0.38,10,0.38,0
0.063484,1.1263,0.000761,0,1.1268,1.1268,1.1268,1,0.39,10,0.39,0
0.063485,1.1258,0.000656,0,1.1263,1.1263,1.1263,1,0.4,10,0.4,0
0.063485,1.1256,0.000603,0,1.1261,1.1261,1.1261,1,0.41,10,0.41,0
0.063486,1.1254,0.000551,0,1.1259,1.1259,1.1259,1,0.42,10,0.42,0
0.063486,1.1251,0.000446,0,1.1256,1.1256,1.1256,1,0.43,10,0.43,0
0.063486,1.1249,0.000393,0,1.1255,1.1255,1.1255,1,0.44,10,0.44,0
0.063487,1.1248,0.000341,0,1.1253,1.1253,1.1253,1,0.45,10,0.45,0
0.063487,1.1247,0.000288,0,1.1252,1.1252,1.1252,1,0.46,10,0.46,0
0.063487,1.1246,0.000183,0,1.1251,1.1251,1.1251,1,0.47,10,0.47,0
0.063487,1.1245,0.000131,0,1.125,1.125,1.125,1,0.48,10,0.48,0
0.063487,1.1245,7.9e-05,0,1.125,1.125,1.125,1,0.49,10,0.49,0
0.063487,1.1245,2.6e-05,0,1.125,1.125,1.125,1,0.5,10,0.5,0
0.062318,1.1255,-7.8e-05,0,1.1261,1.1261,1.1261,1,0.51,10,0.51,0
0.062318,1.1256,-0.00013,0,1.1261,1.1261,1.1261,1,0.52,10,0.52,0
0.062318,1.1256,-0.000182,0,1.1261,1.1261,1.1261,1,0.53,10,0.53,0
0.062318,1.1258,-0.000286,0,1.1263,1.1263,1.1263,1,0.54,10,0.54,0
0.062318,1.1259,-0.000338,0,1.1264,1.1264,1.1264,1,0.55,10,0.55,0
0.062317,1.126,-0.00039,0,1.1265,1.1265,1.1265,1,0.56,10,0.56,0
0.062317,1.1261,-0.000442,0,1.1266,1.1266,1.1266,1,0.57,10,0.57,0
0.062317,1.1264,-0.000546,0,1.127,1.127,1.127,1,0.58,10,0.58,0
0.062316,1.1266,-0.000598,0,1.1271,1.1271,1.1271,1,0.59,10,0.59,0
