"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.5e-05,1.3119,0.001116,0,0.41016,0.000205,0.023615,0.008683,-2e-05,1.3119,1.3119,1.3119,1,0.41,16,0.41,0
5.2e-05,1.3154,0.001033,0,0.42188,0.00013,0.023615,0.005498,2.1e-05,1.3154,1.3154,1.3154,1,0.42,16,0.42,0
4.7e-05,1.3174,0.000917,0,0.43359,6.6e-05,0.023615,0.002815,3.9e-05,1.3175,1.3175,1.3175,1,0.43,16,0.43,0
4.4e-05,1.3181,0.000825,0,0.44141,3.6e-05,0.023615,0.001524,4.2e-05,1.3181,1.3181,1.3181,1,0.44,16,0.44,0
4e-05,1.3184,0.000672,0,0.45312,1.6e-05,0.023615,0.000683,3.9e-05,1.3185,1.3185,1.3185,1,0.45,16,0.45,0
3.8e-05,1.3184,0.000565,0,0.46094,1.5e-05,0.023615,0.000653,3.8e-05,1.3185,1.3185,1.3185,1,0.46,16,0.46,0
3.7e-05,1.3184,0.000404,0,0.47266,1.6e-05,0.023615,0.000674,3.6e-05,1.3185,1.3185,1.3185,1,0.47,16,0.47,0
3.7e-05,1.3183,0.000296,0,0.48047,1.6e-05,0.023615,0.000669,3.6e-05,1.3184,1.3184,1.3184,1,0.48,16,0.48,0
3.6e-05,1.3182,0.000134,0,0.49219,1.5e-05,0.023615,0.000656,3.6e-05,1.3183,1.3183,1.3183,1,0.49,16,0.49,0
3.6e-05,1.3182,-2.8e-05,0,0.5,1.5e-05,0.023615,0.000651,3.6e-05,1.3183,1.3183,1.3183,1,0.5,16,0.5,0
3.6e-05,1.3182,-0.000135,0,0.49219,1.5e-05,0.023615,0.000656,3.6e-05,1.3183,1.3183,1.3183,1,0.51,16,0.51,0
3.7e-05,1.3183,-0.000297,0,0.48047,1.6e-05,0.023615,0.000669,3.6e-05,1.3184,1.3184,1.3184,1,0.52,16,0.52,0
3.7e-05,1.3184,-0.000405,0,0.47266,1.6e-05,0.023615,0.000674,3.6e-05,1.3185,1.3185,1.3185,1,0.53,16,0.53,0
3.8e-05,1.3184,-0.000567,0,0.46094,1.5e-05,0.023615,0.000653,3.8e-05,1.3185,1.3185,1.3185,1,0.54,16,0.54,0
4e-05,1.3184,-0.000673,0,0.45312,1.6e-05,0.023615,0.000683,3.9e-05,1.3185,1.3185,1.3185,1,0.55,16,0.55,0
4.4e-05,1.3181,-0.000827,0,0.44141,3.6e-05,0.023615,0.001525,4.2e-05,1.3181,1.3181,1.3181,1,0.56,16,0.56,0
4.7e-05,1.3174,-0.000918,0,0.43359,6.6e-05,0.023615,0.002815,3.9e-05,1.3175,1.3175,1.3175,1,0.57,16,0.57,0
5.2e-05,1.3154,-0.001034,0,0.42188,0.00013,0.023615,0.005498,2.1e-05,1.3154,1.3154,1.3154,1,0.58,16,0.58,0
5.5e-05,1.3119,-0.001117,0,0.41016,0.000205,0.023615,0.008683,-2e-05,1.3119,1.3119,1.3119,1,0.59,16,0.59,0
5.7e-05,1.3086,-0.001154,0,0.40234,0.000258,0.023615,0.010945,-6.2e-05,1.3086,1.3086,1.3086,1,0.6,16,0.6,0
6e-05,1.3023,-0.00118,0,0.39062,0.000341,0.023615,0.014427,-0.000148,1.3023,1.3023,1.3023,1,0.61,16,0.61,0
6.1e-05,1.2971,-0.001179,0,0.38281,0.000396,0.023615,0.016765,-0.00022,1.2971,1.2971,1.2971,1,0.62,16,0.62,0
6.2e-05,1.2878,-0.001151,0,0.37109,0.000478,0.023615,0.020255,-0.000348,1.2878,1.2878,1.2878,1,0.63,16,0.63,0
6.3e-05,1.2807,-0.001115,0,0.36328,0.000533,0.023615,0.022553,-0.000446,1.2807,1.2807,1.2807,1,0.64,16,0.64,0
6.3e-05,1.2686,-0.001038,0,0.35156,0.000613,0.023615,0.025939,-0.00061,1.2685,1.2685,1.2685,1,0.65,16,0.65,0
6.2e-05,1.2595,-0.000971,0,0.34375,0.000665,0.023615,0.028148,-0.00073,1.2594,1.2594,1.2594,1,0.66,16,0.66,0
6e-05,1.2446,-0.00085,0,0.33203,0.000741,0.023615,0.031379,-0.000924,1.2445,1.2445,1.2445,1,0.67,16,0.67,0
5.8e-05,1.228,-0.000707,0,0.32031,0.000815,0.023615,0.034505,-0.001133,1.2279,1.2279,1.2279,1,0.68,16,0.68,0
5.6e-05,1.2161,-0.000599,0,0.3125,0.000863,0.023615,0.036528,-0.001278,1.216,1.216,1.216,1,0.69,16,0.69,0
5.2e-05,1.1969,-0.000422,0,0.30078,0.000932,0.023615,0.039469,-0.001505,1.1968,1.1968,1.1968,1,0.7,16,0.7,0
4.9e-05,1.1833,-0.000295,0,0.29297,0.000977,0.023615,0.041365,-0.001662,1.1832,1.1832,1.1832,1,0.71,16,0.71,0
4.5e-05,1.1617,-9e-05,0,0.28125,0.001042,0.023615,0.044114,-0.001901,1.1616,1.1616,1.1616,1,0.72,16,0.72,0
4.1e-05,1.1466,5.5e-05,0,0.27344,0.001084,0.023615,0.045883,-0.002064,1.1464,1.1464,1.1464,1,0.73,16,0.73,0
