"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.50794,0.15513,1.5e-05,0,0.007812,0.000304,0.003203,0.09496,0.49893,0.15484,0.15484,0.15484,1,0,1,0,0
0.50798,0.30808,0.00025,0,0.015625,0.000673,0.006195,0.10867,0.49617,0.30367,0.30367,0.30367,1,0.01,1,0.01,0
0.50803,0.4292,0.00099,0,0.023438,0.000591,0.006195,0.095471,0.49891,0.41881,0.41881,0.41881,1,0.02,1,0.02,0
0.50811,0.54888,0.00234,0,0.03125,0.000571,0.006195,0.092111,0.49962,0.53227,0.53227,0.53227,1,0.03,1,0.03,0
0.50831,0.76469,0.006514,0,0.046875,0.000477,0.006195,0.076989,0.50238,0.74047,0.74047,0.74047,1,0.04,1,0.04,0
0.50843,0.85565,0.008967,0,0.054688,0.000411,0.006195,0.06637,0.50402,0.83082,0.83082,0.83082,1,0.05,1,0.05,0
0.50856,0.93204,0.01136,0,0.0625,0.000336,0.006195,0.05422,0.50562,0.90901,0.90901,0.90901,1,0.06,1,0.06,0
0.5087,0.99236,0.013467,0,0.070312,0.000256,0.006195,0.04135,0.50699,0.97326,0.97326,0.97326,1,0.07,1,0.07,0
0.50892,1.0651,0.016198,0,0.085938,0.00011,0.006195,0.017822,0.50861,1.0571,1.0571,1.0571,1,0.08,1,0.08,0
0.50901,1.0814,0.016757,0,0.09375,5.7e-05,0.006195,0.009255,0.50893,1.0782,1.0782,1.0782,1,0.09,1,0.09,0
0.50909,1.0886,0.016899,0,0.10156,2.2e-05,0.006195,0.003516,0.50908,1.0889,1.0889,1.0889,1,0.1,1,0.1,0
0.50922,1.0895,0.016516,0,0.11719,8e-06,0.006195,0.001272,0.50922,1.0925,1.0925,1.0925,1,0.11,1,0.11,0
0.50929,1.0875,0.016202,0,0.125,1.1e-05,0.006195,0.001786,0.50928,1.0908,1.0908,1.0908,1,0.12,1,0.12,0
0.50935,1.0853,0.015866,0,0.13281,1.2e-05,0.006195,0.001914,0.50934,1.0887,1.0887,1.0887,1,0.13,1,0.13,0
0.50941,1.083,0.015524,0,0.14062,1.2e-05,0.006195,0.001895,0.50941,1.0864,1.0864,1.0864,1,0.14,1,0.14,0
0.50953,1.0787,0.014836,0,0.15625,1.1e-05,0.006195,0.001732,0.50952,1.0821,1.0821,1.0821,1,0.15,1,0.15,0
0.50958,1.0767,0.014493,0,0.16406,1e-05,0.006195,0.001642,0.50958,1.0801,1.0801,1.0801,1,0.16,1,0.16,0
0.50964,1.0749,0.014152,0,0.17188,1e-05,0.006195,0.001555,0.50964,1.0783,1.0783,1.0783,1,0.17,1,0.17,0
0.50975,1.0715,0.013474,0,0.1875,9e-06,0.006195,0.001401,0.50975,1.0749,1.0749,1.0749,1,0.18,1,0.18,0
0.5098,1.07,0.013137,0,0.19531,8e-06,0.006195,0.001332,0.5098,1.0733,1.0733,1.0733,1,0.19,1,0.19,0
