"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.052979,0.071718,-0,0,0.003906,7.8e-05,0.001602,0.048974,0.05058,0.071719,0.071719,0.071719,1,0,13,0,0
0.052979,0.23399,-3e-06,0,0.011719,0.000348,0.004805,0.072514,0.04772,0.234,0.234,0.234,1,0.01,13,0.01,0
0.052979,0.36074,-1.1e-05,0,0.023438,0.000756,0.009609,0.078695,0.046786,0.36075,0.36075,0.36075,1,0.02,13,0.02,0
0.052979,0.41609,-1.7e-05,0,0.03125,0.001024,0.012812,0.079904,0.046594,0.4161,0.4161,0.4161,1,0.03,13,0.03,0
0.052978,0.47819,-2.9e-05,0,0.042969,0.001417,0.017617,0.080414,0.046512,0.4782,0.4782,0.4782,1,0.04,13,0.04,0
0.052978,0.51082,-3.8e-05,0,0.050781,0.001686,0.02082,0.080964,0.046423,0.51083,0.51083,0.51083,1,0.05,13,0.05,0
0.052981,0.55475,-4.6e-05,0,0.0625,0.001684,0.021298,0.079086,0.046727,0.55475,0.55475,0.55475,1,0.06,13,0.06,0
0.052983,0.5836,-4.2e-05,0,0.070312,0.001666,0.021298,0.078209,0.046867,0.58359,0.58359,0.58359,1,0.07,13,0.07,0
0.052987,0.62626,-2.2e-05,0,0.082031,0.001636,0.021298,0.076833,0.047083,0.62624,0.62624,0.62624,1,0.08,13,0.08,0
0.05299,0.66814,1.3e-05,0,0.09375,0.001605,0.021298,0.075373,0.047309,0.66811,0.66811,0.66811,1,0.09,13,0.09,0
0.052992,0.6956,4.4e-05,0,0.10156,0.001583,0.021298,0.074348,0.047465,0.69557,0.69557,0.69557,1,0.1,13,0.1,0
0.052996,0.73607,0.000104,0,0.11328,0.001549,0.021298,0.072731,0.047706,0.73603,0.73603,0.73603,1,0.11,13,0.11,0
0.052998,0.76255,0.000151,0,0.12109,0.001525,0.021298,0.071597,0.047872,0.7625,0.7625,0.7625,1,0.12,13,0.12,0
0.053002,0.80146,0.000232,0,0.13281,0.001487,0.021298,0.069809,0.048128,0.8014,0.8014,0.8014,1,0.13,13,0.13,0
0.053004,0.82684,0.000292,0,0.14062,0.00146,0.021298,0.068557,0.048304,0.82678,0.82678,0.82678,1,0.14,13,0.14,0
0.053008,0.86403,0.000391,0,0.15234,0.001418,0.021298,0.066583,0.048575,0.86396,0.86396,0.86396,1,0.15,13,0.15,0
0.05301,0.8882,0.000463,0,0.16016,0.001389,0.021298,0.065202,0.048759,0.88813,0.88813,0.88813,1,0.16,13,0.16,0
0.053015,0.92349,0.000577,0,0.17188,0.001342,0.021298,0.063029,0.049042,0.92341,0.92341,0.92341,1,0.17,13,0.17,0
0.053019,0.95754,0.000697,0,0.18359,0.001293,0.021298,0.060729,0.049331,0.95746,0.95746,0.95746,1,0.18,13,0.18,0
0.053022,0.97953,0.000781,0,0.19141,0.001259,0.021298,0.059124,0.049526,0.97945,0.97945,0.97945,1,0.19,13,0.19,0
