"pressure","velocity:0","velocity:1","velocity:2","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.005539,0.039383,2e-06,0,0.039334,0.039334,0.039334,1,0,19,0,0
0.005539,0.11623,1.2e-05,0,0.11609,0.11609,0.11609,1,0.01,19,0.01,0
0.005539,0.19113,3.1e-05,0,0.1909,0.1909,0.1909,1,0.02,19,0.02,0
0.005539,0.26401,5.9e-05,0,0.26369,0.26369,0.26369,1,0.03,19,0.03,0
0.00554,0.40328,0.000138,0,0.4028,0.4028,0.4028,1,0.04,19,0.04,0
0.00554,0.46942,0.000189,0,0.46888,0.46888,0.46888,1,0.05,19,0.05,0
0.00554,0.53304,0.000246,0,0.53244,0.53244,0.53244,1,0.06,19,0.06,0
0.00554,0.59398,0.000309,0,0.59333,0.59333,0.59333,1,0.07,19,0.07,0
0.005541,0.70718,0.000447,0,0.70646,0.70646,0.70646,1,0.08,19,0.08,0
0.005541,0.75916,0.00052,0,0.75842,0.75842,0.75842,1,0.09,19,0.09,0
0.005541,0.80787,0.000595,0,0.80713,0.80713,0.80713,1,0.1,19,0.1,0
0.005541,0.89518,0.000742,0,0.89446,0.89446,0.89446,1,0.11,19,0.11,0
0.005542,0.93368,0.000813,0,0.93299,0.93299,0.93299,1,0.12,19,0.12,0
0.005542,0.96873,0.000881,0,0.96808,0.96808,0.96808,1,0.13,19,0.13,0
0.005542,1.0004,0.000944,0,0.99978,0.99978,0.99978,1,0.14,19,0.14,0
0.005542,1.0538,0.001053,0,1.0534,1.0534,1.0534,1,0.15,19,0.15,0
0.005543,1.0759,0.001099,0,1.0755,1.0755,1.0755,1,0.16,19,0.16,0
0.005543,1.0951,0.001137,0,1.0948,1.0948,1.0948,1,0.17,19,0.17,0
0.005543,1.1258,0.001193,0,1.1256,1.1256,1.1256,1,0.18,19,0.18,0
0.005544,1.1376,0.00121,0,1.1375,1.1375,1.1375,1,0.19,19,0.19,0
0.005544,1.1475,0.001221,0,1.1474,1.1474,1.1474,1,0.2,19,0.2,0
0.005544,1.1556,0.001225,0,1.1556,1.1556,1.1556,1,0.21,19,0.21,0
0.005545,1.1674,0.001216,0,1.1675,1.1675,1.1675,1,0.22,19,0.22,0
0.005545,1.1715,0.001203,0,1.1716,1.1716,1.1716,1,0.23,19,0.23,0
0.005545,1.1746,0.001187,0,1.1748,1.1748,1.1748,1,0.24,19,0.24,0
0.005546,1.1769,0.001166,0,1.1772,1.1772,1.1772,1,0.25,19,0.25,0
0.005546,1.1798,0.001116,0,1.1801,1.1801,1.1801,1,0.26,19,0.26,0
0.005546,1.1805,0.001087,0,1.1808,1.1808,1.1808,1,0.27,19,0.27,0
0.005546,1.181,0.001056,0,1.1813,1.1813,1.1813,1,0.28,19,0.28,0
0.005547,1.1811,0.000989,0,1.1815,1.1815,1.1815,1,0.29,19,0.29,0
