"pressure","velocity:0","velocity:1","velocity:2","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.16202,0.12023,0.00022,0,0.11584,0.11584,0.11584,1,0,1,0,0
0.16204,0.35199,0.001076,0,0.33925,0.33925,0.33925,1,0.01,1,0.01,0
0.16207,0.56172,0.002621,0,0.54356,0.54356,0.54356,1,0.02,1,0.02,0
0.16209,0.734,0.004479,0,0.71499,0.71499,0.71499,1,0.03,1,0.03,0
0.16218,0.94989,0.007666,0,0.9378,0.9378,0.9378,1,0.04,1,0.04,0
0.16223,1.0053,0.008665,0,0.99743,0.99743,0.99743,1,0.05,1,0.05,0
0.16228,1.0378,0.00928,0,1.0334,1.0334,1.0334,1,0.06,1,0.06,0
0.16234,1.0553,0.009599,0,1.0533,1.0533,1.0533,1,0.07,1,0.07,0
0.16246,1.0666,0.00969,0,1.0673,1.0673,1.0673,1,0.08,1,0.08,0
0.16252,1.0668,0.009591,0,1.0681,1.0681,1.0681,1,0.09,1,0.09,0
0.16258,1.0658,0.00945,0,1.0673,1.0673,1.0673,1,0.1,1,0.1,0
0.16269,1.0622,0.009112,0,1.064,1.064,1.064,1,0.11,1,0.11,0
0.16274,1.0603,0.008933,0,1.0621,1.0621,1.0621,1,0.12,1,0.12,0
0.1628,1.0585,0.008752,0,1.0603,1.0603,1.0603,1,0.13,1,0.13,0
0.16285,1.0568,0.00857,0,1.0586,1.0586,1.0586,1,0.14,1,0.14,0
0.16295,1.0537,0.008208,0,1.0555,1.0555,1.0555,1,0.15,1,0.15,0
0.163,1.0522,0.008027,0,1.054,1.054,1.054,1,0.16,1,0.16,0
0.16305,1.0509,0.007846,0,1.0527,1.0527,1.0527,1,0.17,1,0.17,0
0.16315,1.0484,0.007484,0,1.0502,1.0502,1.0502,1,0.18,1,0.18,0
0.1632,1.0473,0.007303,0,1.0491,1.0491,1.0491,1,0.19,1,0.19,0
0.16324,1.0462,0.007122,0,1.048,1.048,1.048,1,0.2,1,0.2,0
0.16329,1.0452,0.006941,0,1.047,1.047,1.047,1,0.21,1,0.21,0
0.16337,1.0434,0.006578,0,1.0452,1.0452,1.0452,1,0.22,1,0.22,0
0.16341,1.0426,0.006397,0,1.0444,1.0444,1.0444,1,0.23,1,0.23,0
0.16345,1.0418,0.006215,0,1.0436,1.0436,1.0436,1,0.24,1,0.24,0
0.16353,1.0403,0.005851,0,1.0421,1.0421,1.0421,1,0.25,1,0.25,0
0.16356,1.0396,0.005668,0,1.0415,1.0415,1.0415,1,0.26,1,0.26,0
0.1636,1.039,0.005485,0,1.0408,1.0408,1.0408,1,0.27,1,0.27,0
0.16364,1.0384,0.005302,0,1.0403,1.0403,1.0403,1,0.28,1,0.28,0
0.1637,1.0373,0.004936,0,1.0392,1.0392,1.0392,1,0.29,1,0.29,0
0.16373,1.0368,0.004752,0,1.0387,1.0387,1.0387,1,0.3,1,0.3,0
0.16376,1.0364,0.004568,0,1.0382,1.0382,1.0382,1,0.31,1,0.31,0
0.16379,1.0359,0.004384,0,1.0378,1.0378,1.0378,1,0.32,1,0.32,0
0.16384,1.0351,0.004014,0,1.037,1.037,1.037,1,0.33,1,0.33,0
0.16387,1.0347,0.003829,0,1.0366,1.0366,1.0366,1,0.34,1,0.34,0
0.16389,1.0344,0.003644,0,1.0363,1.0363,1.0363,1,0.35,1,0.35,0
0.16394,1.0338,0.003273,0,1.0356,1.0356,1.0356,1,0.36,1,0.36,0
0.16396,1.0335,0.003087,0,1.0354,1.0354,1.0354,1,0.37,1,0.37,0
0.16398,1.0332,0.002901,0,1.0351,1.0351,1.0351,1,0.38,1,0.38,0
0.164,1.033,0.002715,0,1.0349,1.0349,1.0349,1,0.39,1,0.39,0
0.16403,1.0326,0.002342,0,1.0344,1.0344,1.0344,1,0.4,1,0.4,0
0.16404,1.0324,0.002155,0,1.0342,1.0342,1.0342,1,0.41,1,0.41,0
0.16406,1.0322,0.001968,0,1.0341,1.0341,1.0341,1,0.42,1,0.42,0
0.16408,1.0319,0.001594,0,1.0338,1.0338,1.0338,1,0.43,1,0.43,0
0.16409,1.0318,0.001407,0,1.0337,1.0337,1.0337,1,0.44,1,0.44,0
0.1641,1.0317,0.001219,0,1.0336,1.0336,1.0336,1,0.45,1,0.45,0
0.1641,1.0316,0.001032,0,1.0335,1.0335,1.0335,1,0.46,1,0.46,0
0.16412,1.0315,0.000657,0,1.0333,1.0333,1.0333,1,0.47,1,0.47,0
0.16412,1.0314,0.000469,0,1.0333,1.0333,1.0333,1,0.48,1,0.48,0
0.16412,1.0314,0.000281,0,1.0333,1.0333,1.0333,1,0.49,1,0.49,0
0.16412,1.0314,9.4e-05,0,1.0332,1.0332,1.0332,1,0.5,1,0.5,0
0.16412,1.0314,-0.000281,0,1.0333,1.0333,1.0333,1,0.51,1,0.51,0
0.16412,1.0314,-0.000469,0,1.0333,1.0333,1.0333,1,0.52,1,0.52,0
0.16412,1.0315,-0.000657,0,1.0333,1.0333,1.0333,1,0.53,1,0.53,0
0.1641,1.0316,-0.001032,0,1.0335,1.0335,1.0335,1,0.54,1,0.54,0
0.1641,1.0317,-0.001219,0,1.0336,1.0336,1.0336,1,0.55,1,0.55,0
0.16409,1.0318,-0.001407,0,1.0337,1.0337,1.0337,1,0.56,1,0.56,0
0.16408,1.0319,-0.001594,0,1.0338,1.0338,1.0338,1,0.57,1,0.57,0
0.16406,1.0322,-0.001968,0,1.0341,1.0341,1.0341,1,0.58,1,0.58,0
0.16404,1.0324,-0.002155,0,1.0342,1.0342,1.0342,1,0.59,1,0.59,0
0.16403,1.0326,-0.002342,0,1.0344,1.0344,1.0344,1,0.6,1,0.6,0
0.164,1.033,-0.002715,0,1.0349,1.0349,1.0349,1,0.61,1,0.61,0
0.16398,1.0332,-0.002901,0,1.0351,1.0351,1.0351,1,0.62,1,0.62,0
0.16396,1.0335,-0.003087,0,1.0354,1.0354,1.0354,1,0.63,1,0.63,0
0.16394,1.0338,-0.003273,0,1.0356,1.0356,1.0356,1,0.64,1,0.64,0
0.16389,1.0344,-0.003644,0,1.0363,1.0363,1.0363,1,0.65,1,0.65,0
0.16387,1.0347,-0.003829,0,1.0366,1.0366,1.0366,1,0.66,1,0.66,0
0.16384,1.0351,-0.004014,0,1.037,1.037,1.037,1,0.67,1,0.67,0
0.16379,1.0359,-0.004384,0,1.0378,1.0378,1.0378,1,0.68,1,0.68,0
0.16376,1.0364,-0.004568,0,1.0382,1.0382,1.0382,1,0.69,1,0.69,0
0.16373,1.0368,-0.004752,0,1.0387,1.0387,1.0387,1,0.7,1,0.7,0
0.1637,1.0373,-0.004936,0,1.0392,1.0392,1.0392,1,0.71,1,0.71,0
0.16364,1.0384,-0.005302,0,1.0403,1.0403,1.0403,1,0.72,1,0.72,0
0.1636,1.039,-0.005485,0,1.0408,1.0408,1.0408,1,0.73,1,0.73,0
0.16356,1.0396,-0.005668,0,1.0415,1.0415,1.0415,1,0.74,1,0.74,0
0.16349,1.041,-0.006033,0,1.0428,1.0428,1.0428,1,0.75,1,0.75,0
0.16345,1.0418,-0.006215,0,1.0436,1.0436,1.0436,1,0.76,1,0.76,0
0.16341,1.0426,-0.006397,0,1.0444,1.0444,1.0444,1,0.77,1,0.77,0
0.16337,1.0434,-0.006578,0,1.0452,1.0452,1.0452,1,0.78,1,0.78,0
0.16329,1.0452,-0.006941,0,1.047,1.047,1.047,1,0.79,1,0.79,0
0.16324,1.0462,-0.007122,0,1.048,1.048,1.048,1,0.8,1,0.8,0
0.1632,1.0473,-0.007303,0,1.0491,1.0491,1.0491,1,0.81,1,0.81,0
0.16315,1.0484,-0.007484,0,1.0502,1.0502,1.0502,1,0.82,1,0.82,0
0.16305,1.0509,-0.007846,0,1.0527,1.0527,1.0527,1,0.83,1,0.83,0
0.163,1.0522,-0.008027,0,1.054,1.054,1.054,1,0.84,1,0.84,0
0.16295,1.0537,-0.008208,0,1.0555,1.0555,1.0555,1,0.85,1,0.85,0
0.16285,1.0568,-0.00857,0,1.0586,1.0586,1.0586,1,0.86,1,0.86,0
0.1628,1.0585,-0.008752,0,1.0603,1.0603,1.0603,1,0.87,1,0.87,0
0.16274,1.0603,-0.008933,0,1.0621,1.0621,1.0621,1,0.88,1,0.88,0
0.16269,1.0622,-0.009112,0,1.064,1.064,1.064,1,0.89,1,0.89,0
0.16258,1.0658,-0.00945,0,1.0673,1.0673,1.0673,1,0.9,1,0.9,0
0.16252,1.0668,-0.009591,0,1.0681,1.0681,1.0681,1,0.91,1,0.91,0
0.16246,1.0666,-0.00969,0,1.0673,1.0673,1.0673,1,0.92,1,0.92,0
0.16234,1.0553,-0.009599,0,1.0533,1.0533,1.0533,1,0.93,1,0.93,0
0.16228,1.0378,-0.00928,0,1.0334,1.0334,1.0334,1,0.94,1,0.94,0
0.16223,1.0053,-0.008665,0,0.99743,0.99743,0.99743,1,0.95,1,0.95,0
0.16218,0.94989,-0.007666,0,0.9378,0.9378,0.9378,1,0.96,1,0.96,0
0.16209,0.734,-0.004479,0,0.71499,0.71499,0.71499,1,0.97,1,0.97,0
0.16207,0.56172,-0.002621,0,0.54356,0.54356,0.54356,1,0.98,1,0.98,0
0.16204,0.35199,-0.001076,0,0.33925,0.33925,0.33925,1,0.99,1,0.99,0
0.16202,0.12023,-0.00022,0,0.11584,0.11584,0.11584,1,1,1,1,0
