"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.21807,0.17545,0,0,0.007812,0.000341,0.003203,0.1066,0.20671,0.17545,0.17545,0.17545,1,0,13,0,0
0.21807,0.34454,0,0,0.015625,0.000728,0.006406,0.11372,0.20514,0.34454,0.34454,0.34454,1,0.01,13,0.01,0
0.21807,0.45281,0,0,0.023438,0.001108,0.009609,0.11529,0.20478,0.45281,0.45281,0.45281,1,0.02,13,0.02,0
0.21807,0.53201,0,0,0.03125,0.001485,0.012812,0.1159,0.20464,0.53201,0.53201,0.53201,1,0.03,13,0.03,0
0.21807,0.64509,0,0,0.046875,0.002222,0.019219,0.11562,0.2047,0.64509,0.64509,0.64509,1,0.04,13,0.04,0
0.21807,0.68814,0,0,0.054688,0.002581,0.022422,0.11513,0.20482,0.68814,0.68814,0.68814,1,0.05,13,0.05,0
0.21807,0.72532,0,0,0.0625,0.002934,0.025625,0.1145,0.20496,0.72532,0.72532,0.72532,1,0.06,13,0.06,0
0.21807,0.75796,0,0,0.070312,0.00328,0.028828,0.11378,0.20513,0.75796,0.75796,0.75796,1,0.07,13,0.07,0
0.21807,0.81308,0,0,0.085938,0.003952,0.035234,0.11215,0.20549,0.81308,0.81308,0.81308,1,0.08,13,0.08,0
0.21807,0.83673,0,0,0.09375,0.004277,0.038437,0.11126,0.20569,0.83673,0.83673,0.83673,1,0.09,13,0.09,0
0.21807,0.85831,0,0,0.10156,0.004594,0.041641,0.11034,0.2059,0.85831,0.85831,0.85831,1,0.1,13,0.1,0
0.21807,0.89642,0,0,0.11719,0.005208,0.048047,0.10839,0.20632,0.89642,0.89642,0.89642,1,0.11,13,0.11,0
0.21807,0.91338,0,0,0.125,0.005503,0.05125,0.10738,0.20654,0.91338,0.91338,0.91338,1,0.12,13,0.12,0
0.21807,0.92916,0,0,0.13281,0.005791,0.054453,0.10634,0.20676,0.92916,0.92916,0.92916,1,0.13,13,0.13,0
0.21807,0.94389,0,0,0.14062,0.00607,0.057656,0.10528,0.20699,0.94389,0.94389,0.94389,1,0.14,13,0.14,0
0.21807,0.97065,0,0,0.15625,0.006605,0.064062,0.10311,0.20744,0.97065,0.97065,0.97065,1,0.15,13,0.15,0
0.21807,0.98284,0,0,0.16406,0.00686,0.067266,0.10199,0.20767,0.98284,0.98284,0.98284,1,0.16,13,0.16,0
0.21807,0.99434,0,0,0.17188,0.007107,0.070469,0.10085,0.2079,0.99434,0.99434,0.99434,1,0.17,13,0.17,0
0.21807,1.0155,0,0,0.1875,0.007574,0.076875,0.098518,0.20837,1.0155,1.0155,1.0155,1,0.18,13,0.18,0
0.21807,1.0252,0,0,0.19531,0.007794,0.080078,0.097324,0.2086,1.0252,1.0252,1.0252,1,0.19,13,0.19,0
0.21807,1.0345,0,0,0.20312,0.008004,0.083281,0.096111,0.20884,1.0345,1.0345,1.0345,1,0.2,13,0.2,0
0.21807,1.0433,0,0,0.21094,0.008205,0.086484,0.094878,0.20907,1.0433,1.0433,1.0433,1,0.21,13,0.21,0
0.21807,1.0596,0,0,0.22656,0.008579,0.092891,0.092354,0.20954,1.0596,1.0596,1.0596,1,0.22,13,0.22,0
0.21807,1.0671,0,0,0.23438,0.00875,0.096094,0.091061,0.20978,1.0671,1.0671,1.0671,1,0.23,13,0.23,0
0.21807,1.0744,0,0,0.24219,0.008912,0.099297,0.089747,0.21002,1.0744,1.0744,1.0744,1,0.24,13,0.24,0
0.21807,1.0878,0,0,0.25781,0.009202,0.1057,0.087052,0.21049,1.0878,1.0878,1.0878,1,0.25,13,0.25,0
0.21807,1.0941,0,0,0.26562,0.00933,0.10891,0.08567,0.21073,1.0941,1.0941,1.0941,1,0.26,13,0.26,0
0.21807,1.1001,0,0,0.27344,0.009447,0.11211,0.084263,0.21097,1.1001,1.1001,1.1001,1,0.27,13,0.27,0
0.21807,1.1059,0,0,0.28125,0.009551,0.11531,0.082831,0.21121,1.1059,1.1059,1.1059,1,0.28,13,0.28,0
0.21807,1.1166,0,0,0.29688,0.009723,0.12172,0.079884,0.21169,1.1166,1.1166,1.1166,1,0.29,13,0.29,0
0.21807,1.1216,0,0,0.30469,0.00979,0.12492,0.078366,0.21193,1.1216,1.1216,1.1216,1,0.3,13,0.3,0
0.21807,1.1264,0,0,0.3125,0.009842,0.12812,0.076818,0.21217,1.1264,1.1264,1.1264,1,0.31,13,0.31,0
0.21807,1.131,0,0,0.32031,0.009881,0.13133,0.075236,0.21241,1.131,1.131,1.131,1,0.32,13,0.32,0
0.21807,1.1395,0,0,0.33594,0.009912,0.13773,0.071965,0.21289,1.1395,1.1395,1.1395,1,0.33,13,0.33,0
