"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.24995,0.14796,-5e-06,0,0.007812,0.000291,0.003203,0.09082,0.24171,0.14806,0.14806,0.14806,1,0,10,0,0
0.24995,0.29506,-1.9e-05,0,0.015625,0.000635,0.006406,0.099121,0.24013,0.29524,0.29524,0.29524,1,0.01,10,0.01,0
0.24995,0.38972,-4e-05,0,0.023438,0.00097,0.009609,0.10094,0.23976,0.38996,0.38996,0.38996,1,0.02,10,0.02,0
0.24995,0.4592,-6.5e-05,0,0.03125,0.001304,0.012812,0.10175,0.2396,0.45947,0.45947,0.45947,1,0.03,10,0.03,0
0.24995,0.55865,-0.000127,0,0.046875,0.001957,0.019219,0.10182,0.23958,0.55898,0.55898,0.55898,1,0.04,10,0.04,0
0.24995,0.59659,-0.000161,0,0.054688,0.002276,0.022422,0.10152,0.23965,0.59695,0.59695,0.59695,1,0.05,10,0.05,0
0.24995,0.62939,-0.000198,0,0.0625,0.00259,0.025625,0.10108,0.23973,0.62977,0.62977,0.62977,1,0.06,10,0.06,0
0.24995,0.65823,-0.000236,0,0.070312,0.002899,0.028828,0.10057,0.23984,0.65862,0.65862,0.65862,1,0.07,10,0.07,0
0.24995,0.70701,-0.000319,0,0.085938,0.003496,0.035234,0.099228,0.2401,0.70744,0.70744,0.70744,1,0.08,10,0.08,0
0.24995,0.7279,-0.000361,0,0.09375,0.003843,0.038366,0.10016,0.23992,0.72831,0.72831,0.72831,1,0.09,10,0.09,0
0.24995,0.7478,-0.000397,0,0.10156,0.003742,0.038366,0.097541,0.24044,0.74812,0.74812,0.74812,1,0.1,10,0.1,0
0.24997,0.78724,-0.000439,0,0.11719,0.003677,0.038366,0.09583,0.24079,0.78735,0.78735,0.78735,1,0.11,10,0.11,0
0.24998,0.80666,-0.000445,0,0.125,0.003637,0.038366,0.094808,0.24099,0.80666,0.80666,0.80666,1,0.12,10,0.12,0
0.24998,0.82586,-0.000441,0,0.13281,0.003596,0.038366,0.09373,0.2412,0.82577,0.82577,0.82577,1,0.13,10,0.13,0
0.24999,0.84483,-0.000427,0,0.14062,0.003553,0.038366,0.0926,0.24142,0.84465,0.84465,0.84465,1,0.14,10,0.14,0
0.25001,0.88206,-0.000373,0,0.15625,0.00346,0.038366,0.090177,0.24187,0.88171,0.88171,0.88171,1,0.15,10,0.15,0
0.25001,0.9003,-0.000333,0,0.16406,0.00341,0.038366,0.088881,0.24211,0.89986,0.89986,0.89986,1,0.16,10,0.16,0
0.25002,0.91827,-0.000286,0,0.17188,0.003358,0.038366,0.087526,0.24236,0.91775,0.91775,0.91775,1,0.17,10,0.17,0
0.25004,0.95334,-0.000168,0,0.1875,0.003247,0.038366,0.084639,0.24287,0.95268,0.95268,0.95268,1,0.18,10,0.18,0
0.25005,0.97042,-0.0001,0,0.19531,0.003188,0.038366,0.083104,0.24314,0.96971,0.96971,0.96971,1,0.19,10,0.19,0
0.25005,0.98719,-2.5e-05,0,0.20312,0.003127,0.038366,0.081505,0.24341,0.98641,0.98641,0.98641,1,0.2,10,0.2,0
0.25006,1.0036,5.5e-05,0,0.21094,0.003063,0.038366,0.07984,0.24369,1.0028,1.0028,1.0028,1,0.21,10,0.21,0
0.25008,1.0354,0.000229,0,0.22656,0.002928,0.038366,0.07631,0.24426,1.0345,1.0345,1.0345,1,0.22,10,0.22,0
0.25009,1.0508,0.000322,0,0.23438,0.002856,0.038366,0.074445,0.24455,1.0498,1.0498,1.0498,1,0.23,10,0.23,0
0.2501,1.0658,0.000418,0,0.24219,0.002782,0.038366,0.072511,0.24484,1.0648,1.0648,1.0648,1,0.24,10,0.24,0
0.25011,1.0803,0.000516,0,0.25,0.002705,0.038366,0.070508,0.24514,1.0793,1.0793,1.0793,1,0.25,10,0.25,0
0.24622,1.1062,0.000626,0,0.26562,0.002607,0.038848,0.067107,0.24172,1.1053,1.1053,1.1053,1,0.26,10,0.26,0
0.24623,1.1195,0.000724,0,0.27344,0.002523,0.038848,0.064943,0.24201,1.1185,1.1185,1.1185,1,0.27,10,0.27,0
0.24624,1.1324,0.00082,0,0.28125,0.002436,0.038848,0.062709,0.24231,1.1314,1.1314,1.1314,1,0.28,10,0.28,0
0.24626,1.1567,0.001009,0,0.29688,0.002254,0.038848,0.058028,0.24289,1.1557,1.1557,1.1557,1,0.29,10,0.29,0
0.24627,1.1681,0.0011,0,0.30469,0.002159,0.038848,0.055582,0.24318,1.1672,1.1672,1.1672,1,0.3,10,0.3,0
0.24628,1.179,0.001186,0,0.3125,0.002061,0.038848,0.053063,0.24346,1.1782,1.1782,1.1782,1,0.31,10,0.31,0
0.24629,1.1894,0.001268,0,0.32031,0.001961,0.038848,0.050474,0.24374,1.1886,1.1886,1.1886,1,0.32,10,0.32,0
0.24631,1.2087,0.001414,0,0.33594,0.001751,0.038848,0.045081,0.24428,1.208,1.208,1.208,1,0.33,10,0.33,0
0.24632,1.2175,0.001477,0,0.34375,0.001642,0.038848,0.042278,0.24453,1.2169,1.2169,1.2169,1,0.34,10,0.34,0
0.24633,1.2257,0.00153,0,0.35156,0.001531,0.038848,0.039407,0.24477,1.2252,1.2252,1.2252,1,0.35,10,0.35,0
0.24634,1.2404,0.001607,0,0.36719,0.0013,0.038848,0.033462,0.24522,1.2401,1.2401,1.2401,1,0.36,10,0.36,0
0.24635,1.2468,0.001629,0,0.375,0.001181,0.038848,0.030394,0.24543,1.2466,1.2466,1.2466,1,0.37,10,0.37,0
0.24636,1.2526,0.001637,0,0.38281,0.001059,0.038848,0.027267,0.24562,1.2526,1.2526,1.2526,1,0.38,10,0.38,0
0.24637,1.2578,0.001632,0,0.39062,0.000936,0.038848,0.024086,0.24579,1.2579,1.2579,1.2579,1,0.39,10,0.39,0
0.24638,1.2662,0.001575,0,0.40625,0.000684,0.038848,0.017603,0.24608,1.2666,1.2666,1.2666,1,0.4,10,0.4,0
0.24639,1.2694,0.001522,0,0.41406,0.000557,0.038848,0.014333,0.24619,1.27,1.27,1.27,1,0.41,10,0.41,0
0.2464,1.2719,0.001451,0,0.42188,0.000431,0.038848,0.011086,0.24627,1.2727,1.2727,1.2727,1,0.42,10,0.42,0
0.24641,1.2751,0.001254,0,0.4375,0.000194,0.038848,0.005001,0.24638,1.2763,1.2763,1.2763,1,0.43,10,0.43,0
0.24641,1.2758,0.001129,0,0.44531,0.000104,0.038848,0.002683,0.2464,1.2771,1.2771,1.2771,1,0.44,10,0.44,0
0.24641,1.276,0.000989,0,0.45312,6.1e-05,0.038848,0.001577,0.24641,1.2775,1.2775,1.2775,1,0.45,10,0.45,0
0.24641,1.276,0.000841,0,0.46094,5.9e-05,0.038848,0.001507,0.24641,1.2775,1.2775,1.2775,1,0.46,10,0.46,0
0.24641,1.2759,0.000537,0,0.47656,6.1e-05,0.038848,0.001573,0.24641,1.2774,1.2774,1.2774,1,0.47,10,0.47,0
0.24641,1.2758,0.000383,0,0.48438,6e-05,0.038848,0.001556,0.24641,1.2773,1.2773,1.2773,1,0.48,10,0.48,0
0.24641,1.2758,0.00023,0,0.49219,6e-05,0.038848,0.001538,0.24641,1.2773,1.2773,1.2773,1,0.49,10,0.49,0
0.24641,1.2757,7.7e-05,0,0.5,5.9e-05,0.038848,0.001527,0.24641,1.2773,1.2773,1.2773,1,0.5,10,0.5,0
0.25032,1.2727,-0.000231,0,0.49219,5.9e-05,0.038366,0.001526,0.25032,1.2742,1.2742,1.2742,1,0.51,10,0.51,0
0.25032,1.2727,-0.000385,0,0.48438,5.9e-05,0.038366,0.001546,0.25032,1.2743,1.2743,1.2743,1,0.52,10,0.52,0
0.25032,1.2728,-0.000539,0,0.47656,6e-05,0.038366,0.00157,0.25032,1.2744,1.2744,1.2744,1,0.53,10,0.53,0
0.25032,1.273,-0.000846,0,0.46094,6e-05,0.038366,0.00156,0.25031,1.2745,1.2745,1.2745,1,0.54,10,0.54,0
0.25032,1.2731,-0.000997,0,0.45312,5.7e-05,0.038366,0.001473,0.25031,1.2746,1.2746,1.2746,1,0.55,10,0.55,0
0.25032,1.273,-0.001144,0,0.44531,6.8e-05,0.038366,0.001765,0.25031,1.2745,1.2745,1.2745,1,0.56,10,0.56,0
0.25031,1.2726,-0.001279,0,0.4375,0.00013,0.038366,0.003387,0.2503,1.2739,1.2739,1.2739,1,0.57,10,0.57,0
0.2503,1.2702,-0.001498,0,0.42188,0.00035,0.038366,0.009122,0.25022,1.2711,1.2711,1.2711,1,0.58,10,0.58,0
0.2503,1.268,-0.00158,0,0.41406,0.000475,0.038366,0.01237,0.25015,1.2688,1.2688,1.2688,1,0.59,10,0.59,0
0.25029,1.2652,-0.001642,0,0.40625,0.000601,0.038366,0.015674,0.25005,1.2657,1.2657,1.2657,1,0.6,10,0.6,0
0.25028,1.2575,-0.001714,0,0.39062,0.000854,0.038366,0.022268,0.24978,1.2576,1.2576,1.2576,1,0.61,10,0.61,0
0.25027,1.2526,-0.001726,0,0.38281,0.000979,0.038366,0.025514,0.24962,1.2526,1.2526,1.2526,1,0.62,10,0.62,0
0.25026,1.2471,-0.001723,0,0.375,0.001101,0.038366,0.028709,0.24944,1.2469,1.2469,1.2469,1,0.63,10,0.63,0
0.25025,1.2409,-0.001706,0,0.36719,0.001222,0.038366,0.031847,0.24924,1.2406,1.2406,1.2406,1,0.64,10,0.64,0
0.25023,1.2266,-0.001635,0,0.35156,0.001455,0.038366,0.03793,0.2488,1.2262,1.2262,1.2262,1,0.65,10,0.65,0
0.25023,1.2186,-0.001583,0,0.34375,0.001568,0.038366,0.04087,0.24855,1.218,1.218,1.218,1,0.66,10,0.66,0
0.25021,1.21,-0.001522,0,0.33594,0.001678,0.038366,0.043739,0.2483,1.2093,1.2093,1.2093,1,0.67,10,0.67,0
0.25019,1.191,-0.001376,0,0.32031,0.00189,0.038366,0.049262,0.24777,1.1902,1.1902,1.1902,1,0.68,10,0.68,0
0.25019,1.1807,-0.001293,0,0.3125,0.001992,0.038366,0.051914,0.24749,1.1799,1.1799,1.1799,1,0.69,10,0.69,0
0.25017,1.1699,-0.001204,0,0.30469,0.002091,0.038366,0.054493,0.24721,1.169,1.169,1.169,1,0.7,10,0.7,0
0.25016,1.1585,-0.001112,0,0.29688,0.002187,0.038366,0.056998,0.24692,1.1576,1.1576,1.1576,1,0.71,10,0.71,0
0.25015,1.1343,-0.000918,0,0.28125,0.002371,0.038366,0.06179,0.24633,1.1333,1.1333,1.1333,1,0.72,10,0.72,0
0.25014,1.1215,-0.000818,0,0.27344,0.002458,0.038366,0.064077,0.24603,1.1205,1.1205,1.1205,1,0.73,10,0.73,0
0.25013,1.1082,-0.000717,0,0.26562,0.002543,0.038366,0.066292,0.24573,1.1072,1.1072,1.1072,1,0.74,10,0.74,0
0.2462,1.0784,-0.000434,0,0.25,0.002767,0.038848,0.071229,0.24113,1.0774,1.0774,1.0774,1,0.75,10,0.75,0
0.24619,1.0639,-0.00034,0,0.24219,0.002843,0.038848,0.073187,0.24084,1.0629,1.0629,1.0629,1,0.76,10,0.76,0
0.24618,1.0489,-0.000248,0,0.23438,0.002917,0.038848,0.075078,0.24055,1.048,1.048,1.048,1,0.77,10,0.77,0
0.24618,1.0337,-0.00016,0,0.22656,0.002988,0.038848,0.076903,0.24026,1.0328,1.0328,1.0328,1,0.78,10,0.78,0
