"pressure","velocity:0","velocity:1","velocity:2","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.11728,0.06743,2.5e-05,0,0.066922,0.066922,0.066922,1,0,4,0,0
0.11729,0.19826,0.000125,0,0.19678,0.19678,0.19678,1,0.01,4,0.01,0
0.11729,0.32433,0.000319,0,0.32194,0.32194,0.32194,1,0.02,4,0.02,0
0.11729,0.44438,0.000598,0,0.4412,0.4412,0.4412,1,0.03,4,0.03,0
0.1173,0.65996,0.00135,0,0.65574,0.65574,0.65574,1,0.04,4,0.04,0
0.1173,0.75219,0.001779,0,0.74782,0.74782,0.74782,1,0.05,4,0.05,0
0.1173,0.83236,0.002211,0,0.82809,0.82809,0.82809,1,0.06,4,0.06,0
0.11731,0.89992,0.00262,0,0.89599,0.89599,0.89599,1,0.07,4,0.07,0
0.11731,0.99842,0.003298,0,0.99562,0.99562,0.99562,1,0.08,4,0.08,0
0.11732,1.0314,0.003544,0,1.0293,1.0293,1.0293,1,0.09,4,0.09,0
0.11732,1.0555,0.003726,0,1.054,1.054,1.054,1,0.1,4,0.1,0
0.11733,1.0837,0.003915,0,1.0833,1.0833,1.0833,1,0.11,4,0.11,0
0.11734,1.0908,0.00394,0,1.0907,1.0907,1.0907,1,0.12,4,0.12,0
0.11734,1.0949,0.00393,0,1.0951,1.0951,1.0951,1,0.13,4,0.13,0
0.11735,1.0969,0.003894,0,1.0973,1.0973,1.0973,1,0.14,4,0.14,0
0.11736,1.0973,0.003773,0,1.098,1.098,1.098,1,0.15,4,0.15,0
0.11736,1.0966,0.003698,0,1.0974,1.0974,1.0974,1,0.16,4,0.16,0
0.11737,1.0956,0.003617,0,1.0964,1.0964,1.0964,1,0.17,4,0.17,0
0.11737,1.0932,0.003448,0,1.0941,1.0941,1.0941,1,0.18,4,0.18,0
0.11738,1.0921,0.003361,0,1.0929,1.0929,1.0929,1,0.19,4,0.19,0
0.11738,1.0909,0.003274,0,1.0918,1.0918,1.0918,1,0.2,4,0.2,0
0.11739,1.0899,0.003187,0,1.0907,1.0907,1.0907,1,0.21,4,0.21,0
0.11739,1.0879,0.003014,0,1.0887,1.0887,1.0887,1,0.22,4,0.22,0
0.1174,1.087,0.002927,0,1.0878,1.0878,1.0878,1,0.23,4,0.23,0
0.1174,1.0861,0.002841,0,1.087,1.087,1.087,1,0.24,4,0.24,0
0.11741,1.0845,0.002669,0,1.0854,1.0854,1.0854,1,0.25,4,0.25,0
0.11741,1.0838,0.002583,0,1.0847,1.0847,1.0847,1,0.26,4,0.26,0
0.11741,1.0832,0.002497,0,1.084,1.084,1.084,1,0.27,4,0.27,0
0.11742,1.0825,0.002412,0,1.0834,1.0834,1.0834,1,0.28,4,0.28,0
0.11742,1.0814,0.002241,0,1.0822,1.0822,1.0822,1,0.29,4,0.29,0
0.11743,1.0809,0.002156,0,1.0817,1.0817,1.0817,1,0.3,4,0.3,0
0.11743,1.0804,0.002071,0,1.0812,1.0812,1.0812,1,0.31,4,0.31,0
0.11743,1.0799,0.001986,0,1.0808,1.0808,1.0808,1,0.32,4,0.32,0
0.11744,1.0791,0.001816,0,1.0799,1.0799,1.0799,1,0.33,4,0.33,0
0.11744,1.0787,0.001731,0,1.0796,1.0796,1.0796,1,0.34,4,0.34,0
0.11744,1.0784,0.001646,0,1.0792,1.0792,1.0792,1,0.35,4,0.35,0
0.11744,1.0777,0.001477,0,1.0786,1.0786,1.0786,1,0.36,4,0.36,0
0.11744,1.0774,0.001392,0,1.0783,1.0783,1.0783,1,0.37,4,0.37,0
0.11745,1.0772,0.001308,0,1.078,1.078,1.078,1,0.38,4,0.38,0
0.11745,1.0769,0.001223,0,1.0778,1.0778,1.0778,1,0.39,4,0.39,0
0.11745,1.0765,0.001054,0,1.0773,1.0773,1.0773,1,0.4,4,0.4,0
0.11745,1.0763,0.00097,0,1.0772,1.0772,1.0772,1,0.41,4,0.41,0
0.11745,1.0761,0.000885,0,1.077,1.077,1.077,1,0.42,4,0.42,0
0.11745,1.0758,0.000717,0,1.0767,1.0767,1.0767,1,0.43,4,0.43,0
0.11746,1.0757,0.000632,0,1.0766,1.0766,1.0766,1,0.44,4,0.44,0
0.11746,1.0756,0.000548,0,1.0765,1.0765,1.0765,1,0.45,4,0.45,0
