"pressure","velocity:0","velocity:1","velocity:2","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.022755,0.041481,3e-06,0,0.041418,0.041418,0.041418,1,0,16,0,0
0.022755,0.12238,1.5e-05,0,0.12219,0.12219,0.12219,1,0.01,16,0.01,0
0.022755,0.20115,4e-05,0,0.20085,0.20085,0.20085,1,0.02,16,0.02,0
0.022756,0.27771,7.5e-05,0,0.2773,0.2773,0.2773,1,0.03,16,0.03,0
0.022756,0.42362,0.000177,0,0.42301,0.42301,0.42301,1,0.04,16,0.04,0
0.022756,0.49264,0.000242,0,0.49194,0.49194,0.49194,1,0.05,16,0.05,0
0.022757,0.55876,0.000315,0,0.558,0.558,0.558,1,0.06,16,0.06,0
0.022757,0.62179,0.000395,0,0.62097,0.62097,0.62097,1,0.07,16,0.07,0
0.022757,0.73777,0.000568,0,0.73687,0.73687,0.73687,1,0.08,16,0.08,0
0.022758,0.79036,0.000658,0,0.78944,0.78944,0.78944,1,0.09,16,0.09,0
0.022758,0.83915,0.00075,0,0.83824,0.83824,0.83824,1,0.1,16,0.1,0
0.022759,0.92501,0.000926,0,0.92416,0.92416,0.92416,1,0.11,16,0.11,0
0.022759,0.96204,0.001009,0,0.96123,0.96123,0.96123,1,0.12,16,0.12,0
0.02276,0.99518,0.001086,0,0.99444,0.99444,0.99444,1,0.13,16,0.13,0
0.02276,1.0245,0.001156,0,1.0239,1.0239,1.0239,1,0.14,16,0.14,0
0.022761,1.0726,0.001272,0,1.0721,1.0721,1.0721,1,0.15,16,0.15,0
0.022761,1.0917,0.001317,0,1.0913,1.0913,1.0913,1,0.16,16,0.16,0
0.022762,1.1079,0.001353,0,1.1075,1.1075,1.1075,1,0.17,16,0.17,0
0.022763,1.1325,0.001398,0,1.1324,1.1324,1.1324,1,0.18,16,0.18,0
0.022763,1.1415,0.001408,0,1.1415,1.1415,1.1415,1,0.19,16,0.19,0
0.022764,1.1487,0.00141,0,1.1487,1.1487,1.1487,1,0.2,16,0.2,0
0.022764,1.1544,0.001405,0,1.1544,1.1544,1.1544,1,0.21,16,0.21,0
0.022765,1.1619,0.001378,0,1.1621,1.1621,1.1621,1,0.22,16,0.22,0
0.022766,1.1643,0.001356,0,1.1645,1.1645,1.1645,1,0.23,16,0.23,0
0.022766,1.1659,0.001331,0,1.1662,1.1662,1.1662,1,0.24,16,0.24,0
0.022767,1.167,0.001302,0,1.1673,1.1673,1.1673,1,0.25,16,0.25,0
0.022767,1.1679,0.001236,0,1.1682,1.1682,1.1682,1,0.26,16,0.26,0
0.022768,1.1679,0.0012,0,1.1683,1.1683,1.1683,1,0.27,16,0.27,0
