"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.23522,0.076583,5e-06,0,0.003906,8.3e-05,0.001602,0.051992,0.23252,0.076562,0.076562,0.076562,1,0,4,0,0
0.23522,0.24687,4.6e-05,0,0.011719,0.000364,0.004805,0.075664,0.2295,0.24681,0.24681,0.24681,1,0.01,4,0.01,0
0.23522,0.37851,0.000149,0,0.023438,0.00078,0.009609,0.081204,0.22863,0.37843,0.37843,0.37843,1,0.02,4,0.02,0
0.23523,0.43631,0.000234,0,0.03125,0.000967,0.011799,0.081953,0.22851,0.43622,0.43622,0.43622,1,0.03,4,0.03,0
0.23524,0.51618,0.000444,0,0.042969,0.000937,0.011799,0.079391,0.22893,0.516,0.516,0.516,1,0.04,4,0.04,0
0.23524,0.56824,0.000651,0,0.050781,0.000918,0.011799,0.077788,0.22919,0.568,0.568,0.568,1,0.05,4,0.05,0
0.23525,0.64416,0.001053,0,0.0625,0.000885,0.011799,0.07499,0.22963,0.64386,0.64386,0.64386,1,0.06,4,0.06,0
0.23526,0.69312,0.001377,0,0.070312,0.000859,0.011799,0.072836,0.22996,0.69278,0.69278,0.69278,1,0.07,4,0.07,0
0.23528,0.76368,0.001937,0,0.082031,0.000816,0.011799,0.069129,0.2305,0.76328,0.76328,0.76328,1,0.08,4,0.08,0
0.23529,0.83026,0.002568,0,0.09375,0.000765,0.011799,0.064804,0.23109,0.82982,0.82982,0.82982,1,0.09,4,0.09,0
0.2353,0.87212,0.003018,0,0.10156,0.000726,0.011799,0.061553,0.23151,0.87166,0.87166,0.87166,1,0.1,4,0.1,0
0.23532,0.93062,0.003717,0,0.11328,0.000662,0.011799,0.0561,0.23217,0.93015,0.93015,0.93015,1,0.11,4,0.11,0
0.23534,0.96646,0.004187,0,0.12109,0.000614,0.011799,0.052068,0.23262,0.966,0.966,0.966,1,0.12,4,0.12,0
0.23536,1.015,0.004872,0,0.13281,0.000536,0.011799,0.045416,0.2333,1.0145,1.0145,1.0145,1,0.13,4,0.13,0
0.23538,1.0435,0.005302,0,0.14062,0.000479,0.011799,0.040586,0.23373,1.043,1.043,1.043,1,0.14,4,0.14,0
0.2354,1.08,0.005875,0,0.15234,0.000387,0.011799,0.03278,0.23433,1.0796,1.0796,1.0796,1,0.15,4,0.15,0
0.23542,1.0999,0.006192,0,0.16016,0.000322,0.011799,0.027249,0.23468,1.0996,1.0996,1.0996,1,0.16,4,0.16,0
0.23544,1.1227,0.006541,0,0.17188,0.00022,0.011799,0.018625,0.2351,1.1225,1.1225,1.1225,1,0.17,4,0.17,0
0.23547,1.1369,0.006708,0,0.18359,0.000119,0.011799,0.010044,0.23537,1.1368,1.1368,1.1368,1,0.18,4,0.18,0
0.23548,1.1418,0.00671,0,0.19141,5.8e-05,0.011799,0.004886,0.23545,1.1418,1.1418,1.1418,1,0.19,4,0.19,0
0.23549,1.1436,0.006566,0,0.20312,6e-06,0.011799,0.000546,0.23549,1.1438,1.1438,1.1438,1,0.2,4,0.2,0
0.2355,1.1429,0.006413,0,0.21094,1.9e-05,0.011799,0.001609,0.2355,1.143,1.143,1.143,1,0.21,4,0.21,0
0.23551,1.1411,0.006158,0,0.22266,2.3e-05,0.011799,0.001988,0.23551,1.1413,1.1413,1.1413,1,0.22,4,0.22,0
0.23552,1.1398,0.005983,0,0.23047,2.3e-05,0.011799,0.001957,0.23551,1.14,1.14,1.14,1,0.23,4,0.23,0
0.23553,1.138,0.005719,0,0.24219,2.1e-05,0.011799,0.001796,0.23552,1.1382,1.1382,1.1382,1,0.24,4,0.24,0
0.23515,1.1368,0.005447,0,0.25391,1.9e-05,0.011822,0.00162,0.23515,1.137,1.137,1.137,1,0.25,4,0.25,0
0.23516,1.1358,0.005272,0,0.26172,1.8e-05,0.011822,0.00151,0.23516,1.136,1.136,1.136,1,0.26,4,0.26,0
0.23517,1.1345,0.005011,0,0.27344,1.6e-05,0.011822,0.001364,0.23516,1.1347,1.1347,1.1347,1,0.27,4,0.27,0
0.23517,1.1337,0.004837,0,0.28125,1.5e-05,0.011822,0.00128,0.23517,1.1339,1.1339,1.1339,1,0.28,4,0.28,0
0.23518,1.1326,0.004578,0,0.29297,1.4e-05,0.011822,0.001169,0.23518,1.1328,1.1328,1.1328,1,0.29,4,0.29,0
0.23518,1.132,0.004405,0,0.30078,1.3e-05,0.011822,0.001104,0.23518,1.1321,1.1321,1.1321,1,0.3,4,0.3,0
0.23519,1.1311,0.004146,0,0.3125,1.2e-05,0.011822,0.001018,0.23519,1.1312,1.1312,1.1312,1,0.31,4,0.31,0
0.2352,1.1305,0.003974,0,0.32031,1.1e-05,0.011822,0.000967,0.23519,1.1307,1.1307,1.1307,1,0.32,4,0.32,0
0.2352,1.1297,0.003716,0,0.33203,1.1e-05,0.011822,0.000899,0.2352,1.1299,1.1299,1.1299,1,0.33,4,0.33,0
0.23521,1.1291,0.003459,0,0.34375,1e-05,0.011822,0.000839,0.23521,1.1292,1.1292,1.1292,1,0.34,4,0.34,0
0.23521,1.1286,0.003288,0,0.35156,1e-05,0.011822,0.000804,0.23521,1.1288,1.1288,1.1288,1,0.35,4,0.35,0
