"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.10877,0.07146,0,0,0.003906,7.8e-05,0.001602,0.048805,0.10639,0.07146,0.07146,0.07146,1,0,10,0,0
0.10877,0.23321,1e-06,0,0.011719,0.000347,0.004805,0.072271,0.10355,0.23321,0.23321,0.23321,1,0.01,10,0.01,0
0.10877,0.35949,2e-06,0,0.023438,0.000753,0.009609,0.078371,0.10263,0.35949,0.35949,0.35949,1,0.02,10,0.02,0
0.10877,0.4146,3e-06,0,0.03125,0.001019,0.012812,0.079519,0.10245,0.41459,0.41459,0.41459,1,0.03,10,0.03,0
0.10877,0.47633,3e-06,0,0.042969,0.001413,0.017617,0.080204,0.10234,0.47634,0.47634,0.47634,1,0.04,10,0.04,0
0.10877,0.50997,7e-06,0,0.050781,0.001476,0.018666,0.079098,0.10251,0.50996,0.50996,0.50996,1,0.05,10,0.05,0
0.10878,0.55927,3.4e-05,0,0.0625,0.001452,0.018666,0.07779,0.10272,0.55924,0.55924,0.55924,1,0.06,10,0.06,0
0.10878,0.59162,6.5e-05,0,0.070312,0.001433,0.018666,0.07678,0.10288,0.59158,0.59158,0.59158,1,0.07,10,0.07,0
0.10878,0.63932,0.000134,0,0.082031,0.001403,0.018666,0.075165,0.10313,0.63927,0.63927,0.63927,1,0.08,10,0.08,0
0.10879,0.68597,0.000225,0,0.09375,0.00137,0.018666,0.07342,0.1034,0.6859,0.6859,0.6859,1,0.09,10,0.09,0
0.10879,0.71645,0.000298,0,0.10156,0.001347,0.018666,0.072179,0.10358,0.71637,0.71637,0.71637,1,0.1,10,0.1,0
0.1088,0.76115,0.000425,0,0.11328,0.00131,0.018666,0.070197,0.10387,0.76106,0.76106,0.76106,1,0.11,10,0.11,0
0.1088,0.79024,0.00052,0,0.12109,0.001284,0.018666,0.068789,0.10407,0.79014,0.79014,0.79014,1,0.12,10,0.12,0
0.1088,0.83273,0.000677,0,0.13281,0.001242,0.018666,0.066543,0.10437,0.83262,0.83262,0.83262,1,0.13,10,0.13,0
0.10881,0.86025,0.000789,0,0.14062,0.001212,0.018666,0.064952,0.10459,0.86014,0.86014,0.86014,1,0.14,10,0.14,0
0.10881,0.90025,0.000969,0,0.15234,0.001165,0.018666,0.062419,0.10492,0.90012,0.90012,0.90012,1,0.15,10,0.15,0
0.10881,0.926,0.001095,0,0.16016,0.001132,0.018666,0.060629,0.10514,0.92587,0.92587,0.92587,1,0.16,10,0.16,0
0.10882,0.96319,0.00129,0,0.17188,0.001079,0.018666,0.057787,0.10548,0.96305,0.96305,0.96305,1,0.17,10,0.17,0
0.10883,0.99853,0.001489,0,0.18359,0.001022,0.018666,0.054751,0.10583,0.99839,0.99839,0.99839,1,0.18,10,0.18,0
0.10883,1.021,0.001624,0,0.19141,0.000982,0.018666,0.052616,0.10606,1.0209,1.0209,1.0209,1,0.19,10,0.19,0
0.10884,1.053,0.001823,0,0.20312,0.000919,0.018666,0.049246,0.10641,1.0529,1.0529,1.0529,1,0.2,10,0.2,0
0.10884,1.0731,0.001954,0,0.21094,0.000875,0.018666,0.046885,0.10665,1.073,1.073,1.073,1,0.21,10,0.21,0
0.10885,1.1014,0.002142,0,0.22266,0.000806,0.018666,0.043172,0.10699,1.1013,1.1013,1.1013,1,0.22,10,0.22,0
0.10886,1.1189,0.00226,0,0.23047,0.000758,0.018666,0.040582,0.10721,1.1188,1.1188,1.1188,1,0.23,10,0.23,0
0.10886,1.1432,0.002423,0,0.24219,0.000682,0.018666,0.036529,0.10753,1.1431,1.1431,1.1431,1,0.24,10,0.24,0
0.10857,1.1646,0.002558,0,0.25391,0.000605,0.018681,0.03236,0.10753,1.1645,1.1645,1.1645,1,0.25,10,0.25,0
0.10858,1.1775,0.002639,0,0.26172,0.00055,0.018681,0.02943,0.10771,1.1774,1.1774,1.1774,1,0.26,10,0.26,0
0.10859,1.1946,0.002734,0,0.27344,0.000465,0.018681,0.024895,0.10797,1.1945,1.1945,1.1945,1,0.27,10,0.27,0
0.10859,1.2043,0.002778,0,0.28125,0.000407,0.018681,0.021794,0.10812,1.2043,1.2043,1.2043,1,0.28,10,0.28,0
0.1086,1.2165,0.002812,0,0.29297,0.000319,0.018681,0.017063,0.10831,1.2165,1.2165,1.2165,1,0.29,10,0.29,0
0.1086,1.223,0.00281,0,0.30078,0.00026,0.018681,0.013894,0.10841,1.223,1.223,1.223,1,0.3,10,0.3,0
0.10861,1.2303,0.00277,0,0.3125,0.000172,0.018681,0.009225,0.10852,1.2303,1.2303,1.2303,1,0.31,10,0.31,0
0.10861,1.2335,0.002717,0,0.32031,0.000117,0.018681,0.006286,0.10857,1.2336,1.2336,1.2336,1,0.32,10,0.32,0
0.10862,1.2362,0.0026,0,0.33203,4.7e-05,0.018681,0.002512,0.10861,1.2363,1.2363,1.2363,1,0.33,10,0.33,0
0.10862,1.2369,0.002445,0,0.34375,1e-05,0.018681,0.000538,0.10862,1.237,1.237,1.237,1,0.34,10,0.34,0
0.10862,1.2367,0.00233,0,0.35156,1.5e-05,0.018681,0.000815,0.10862,1.2368,1.2368,1.2368,1,0.35,10,0.35,0
0.10862,1.2362,0.002151,0,0.36328,2e-05,0.018681,0.001047,0.10862,1.2363,1.2363,1.2363,1,0.36,10,0.36,0
0.10862,1.2359,0.002031,0,0.37109,2e-05,0.018681,0.001066,0.10862,1.236,1.236,1.236,1,0.37,10,0.37,0
0.10862,1.2353,0.001849,0,0.38281,1.9e-05,0.018681,0.001021,0.10862,1.2354,1.2354,1.2354,1,0.38,10,0.38,0
0.10862,1.235,0.001727,0,0.39062,1.8e-05,0.018681,0.000974,0.10862,1.2351,1.2351,1.2351,1,0.39,10,0.39,0
0.10863,1.2345,0.001545,0,0.40234,1.7e-05,0.018681,0.0009,0.10863,1.2346,1.2346,1.2346,1,0.4,10,0.4,0
0.10863,1.2342,0.001424,0,0.41016,1.6e-05,0.018681,0.000852,0.10863,1.2344,1.2344,1.2344,1,0.41,10,0.41,0
0.10863,1.2339,0.001242,0,0.42188,1.5e-05,0.018681,0.000788,0.10863,1.234,1.234,1.234,1,0.42,10,0.42,0
0.10863,1.2336,0.00106,0,0.43359,1.4e-05,0.018681,0.000732,0.10863,1.2337,1.2337,1.2337,1,0.43,10,0.43,0
0.10863,1.2334,0.000939,0,0.44141,1.3e-05,0.018681,0.000699,0.10863,1.2335,1.2335,1.2335,1,0.44,10,0.44,0
0.10863,1.2332,0.000757,0,0.45312,1.2e-05,0.018681,0.000658,0.10863,1.2333,1.2333,1.2333,1,0.45,10,0.45,0
0.10863,1.233,0.000636,0,0.46094,1.2e-05,0.018681,0.000635,0.10863,1.2332,1.2332,1.2332,1,0.46,10,0.46,0
