"pressure","velocity:0","velocity:1","velocity:2","h","nu","lm","u","pressureactual","velocitystagered:0","velocitystagered:1","velocitystagered:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.31123,0.17546,0,0,0.007812,0.000341,0.003203,0.10661,0.29987,0.17546,0.17546,0.17546,1,0,10,0,0
0.31123,0.34456,0,0,0.015625,0.000729,0.006406,0.11372,0.2983,0.34456,0.34456,0.34456,1,0.01,10,0.01,0
0.31123,0.45283,0,0,0.023438,0.001108,0.009609,0.1153,0.29794,0.45283,0.45283,0.45283,1,0.02,10,0.02,0
0.31123,0.53204,1e-06,0,0.03125,0.001485,0.012812,0.1159,0.2978,0.53203,0.53203,0.53203,1,0.03,10,0.03,0
0.31123,0.64513,1e-06,0,0.046875,0.002222,0.019219,0.11562,0.29787,0.64512,0.64512,0.64512,1,0.04,10,0.04,0
0.31123,0.68818,1e-06,0,0.054688,0.002581,0.022422,0.11513,0.29798,0.68817,0.68817,0.68817,1,0.05,10,0.05,0
0.31123,0.72535,2e-06,0,0.0625,0.002934,0.025625,0.1145,0.29812,0.72535,0.72535,0.72535,1,0.06,10,0.06,0
0.31123,0.758,2e-06,0,0.070312,0.00328,0.028828,0.11378,0.29829,0.75799,0.75799,0.75799,1,0.07,10,0.07,0
0.31123,0.81311,2e-06,0,0.085938,0.003951,0.035234,0.11215,0.29866,0.81311,0.81311,0.81311,1,0.08,10,0.08,0
0.31123,0.83676,3e-06,0,0.09375,0.004277,0.038437,0.11126,0.29886,0.83676,0.83676,0.83676,1,0.09,10,0.09,0
0.31123,0.85834,3e-06,0,0.10156,0.004594,0.041641,0.11033,0.29906,0.85834,0.85834,0.85834,1,0.1,10,0.1,0
0.31123,0.89645,3e-06,0,0.11719,0.005208,0.048047,0.10838,0.29949,0.89645,0.89645,0.89645,1,0.11,10,0.11,0
0.31123,0.91341,4e-06,0,0.125,0.005503,0.05125,0.10737,0.29971,0.9134,0.9134,0.9134,1,0.12,10,0.12,0
0.31123,0.92918,4e-06,0,0.13281,0.00579,0.054453,0.10633,0.29993,0.92918,0.92918,0.92918,1,0.13,10,0.13,0
0.31123,0.94392,4e-06,0,0.14062,0.00607,0.057656,0.10527,0.30015,0.94392,0.94392,0.94392,1,0.14,10,0.14,0
0.31123,0.97067,4e-06,0,0.15625,0.006604,0.064062,0.10309,0.30061,0.97067,0.97067,0.97067,1,0.15,10,0.15,0
0.31123,0.98286,5e-06,0,0.16406,0.006859,0.067266,0.10197,0.30084,0.98286,0.98286,0.98286,1,0.16,10,0.16,0
0.31123,0.99436,5e-06,0,0.17188,0.007106,0.070469,0.10084,0.30107,0.99436,0.99436,0.99436,1,0.17,10,0.17,0
