Time,0.0,0.007812,0.015625,0.023438,0.03125,0.039062,0.046875,0.054688,0.0625,0.070312,0.078125,0.085938,0.09375,0.101562,0.109375,0.117188,0.125,0.132812,0.140625,0.148438,0.15625,0.164062,0.171875,0.179688,0.1875,0.195312,0.203125,0.210938,0.21875,0.226562,0.234375,0.242188,0.25,0.257812,0.265625,0.273438,0.28125,0.289062,0.296875,0.304688,0.3125,0.320312,0.328125,0.335938,0.34375,0.351562,0.359375,0.367188,0.375,0.382812,0.390625,0.398438,0.40625,0.414062,0.421875,0.429688,0.4375,0.445312,0.453125,0.460938,0.46875,0.476562,0.484375,0.492188,0.5,0.507812,0.515625,0.523438,0.53125,0.539062,0.546875,0.554688,0.5625,0.570312,0.578125,0.585938,0.59375,0.601562,0.609375,0.617188,0.625,0.632812,0.640625,0.648438,0.65625,0.664062,0.671875,0.679688,0.6875,0.695312,0.703125,0.710938,0.71875,0.726562,0.734375,0.742188,0.75,0.757812,0.765625,0.773438,0.78125,0.789062,0.796875,0.804688,0.8125,0.820312,0.828125,0.835938,0.84375,0.851562,0.859375,0.867188,0.875,0.882812,0.890625,0.898438,0.90625,0.914062,0.921875,0.929688,0.9375,0.945312,0.953125,0.960938,0.96875,0.976562,0.984375,0.992188,1.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.684531,0.995319,1.038692,1.036519,1.030678,1.025781,1.021883,1.018761,1.016234,1.01417,1.01247,1.011057,1.009874,1.008875,1.008025,1.007296,1.006667,1.006119,1.00564,1.005216,1.00484,1.004503,1.0042,1.003925,1.003675,1.003445,1.003234,1.003038,1.002855,1.002684,1.002524,1.002372,1.002229,1.002093,1.001963,1.00184,1.001721,1.001608,1.001499,1.001394,1.001293,1.001196,1.001103,1.001013,1.000926,1.000843,1.000763,1.000686,1.000612,1.000541,1.000473,1.000408,1.000346,1.000288,1.000232,1.00018,1.000131,1.000085,1.000042,1.000003,0.999967,0.999934,0.999905,0.999879,0.999857,0.999839,0.999824,0.999812,0.999804,0.9998,0.999799,0.999803,0.999809,0.99982,0.999835,0.999853,0.999875,0.999901,0.999931,0.999965,1.000003,1.000044,1.000091,1.000141,1.000195,1.000254,1.000318,1.000386,1.000459,1.000537,1.00062,1.000709,1.000804,1.000906,1.001014,1.001131,1.001255,1.001389,1.001533,1.001688,1.001856,1.002038,1.002237,1.002455,1.002695,1.002959,1.003253,1.003582,1.003951,1.004368,1.004842,1.005385,1.006011,1.006736,1.007584,1.008582,1.009765,1.011178,1.01288,1.014947,1.017478,1.020607,1.024513,1.029421,1.035259,1.03735,0.993714,0.683059,0.70296
29,0.652227,0.973851,1.041276,1.045629,1.038914,1.032183,1.026815,1.022603,1.01925,1.016538,1.014318,1.012481,1.010949,1.009662,1.008573,1.007646,1.006852,1.006168,1.005576,1.005061,1.00461,1.004214,1.003863,1.003552,1.003274,1.003025,1.0028,1.002597,1.002412,1.002243,1.002088,1.001945,1.001813,1.001691,1.001577,1.001471,1.001371,1.001278,1.00119,1.001107,1.001028,1.000954,1.000883,1.000817,1.000753,1.000693,1.000636,1.000582,1.00053,1.000481,1.000435,1.000391,1.00035,1.000312,1.000275,1.000242,1.00021,1.000181,1.000155,1.000131,1.000109,1.00009,1.000073,1.000059,1.000047,1.000038,1.000031,1.000027,1.000025,1.000026,1.00003,1.000037,1.000046,1.000058,1.000073,1.000091,1.000111,1.000135,1.000162,1.000192,1.000225,1.000262,1.000302,1.000346,1.000394,1.000446,1.000503,1.000563,1.000629,1.0007,1.000777,1.00086,1.00095,1.001047,1.001152,1.001267,1.001391,1.001527,1.001676,1.00184,1.00202,1.00222,1.002441,1.002687,1.002963,1.003272,1.003621,1.004016,1.004466,1.004981,1.005573,1.006257,1.007051,1.007979,1.009069,1.010357,1.011889,1.013726,1.015947,1.018657,1.022009,1.026218,1.031579,1.038297,1.044973,1.040513,0.972895,0.651278,0.68875
43,0.649514,0.971361,1.039539,1.044465,1.038201,1.031862,1.026816,1.022848,1.019671,1.01708,1.014938,1.013145,1.011632,1.010344,1.00924,1.008289,1.007464,1.006746,1.006117,1.005563,1.005075,1.004641,1.004255,1.003909,1.003599,1.003319,1.003066,1.002836,1.002626,1.002434,1.002258,1.002096,1.001946,1.001807,1.001677,1.001557,1.001444,1.001338,1.001239,1.001146,1.001058,1.000975,1.000897,1.000823,1.000752,1.000686,1.000623,1.000563,1.000507,1.000453,1.000403,1.000355,1.000311,1.000269,1.000229,1.000193,1.000159,1.000128,1.000099,1.000073,1.000049,1.000029,1.000011,0.999995,0.999983,0.999973,0.999965,0.999961,0.999959,0.99996,0.999964,0.999971,0.999981,0.999994,1.000011,1.00003,1.000052,1.000078,1.000108,1.000141,1.000177,1.000218,1.000262,1.000311,1.000364,1.000421,1.000484,1.000552,1.000626,1.000705,1.000792,1.000885,1.000986,1.001096,1.001216,1.001345,1.001487,1.001641,1.00181,1.001995,1.002199,1.002424,1.002672,1.002947,1.003254,1.003596,1.00398,1.004411,1.004897,1.005449,1.006076,1.006794,1.007617,1.008568,1.009671,1.010958,1.01247,1.014261,1.016402,1.018991,1.022165,1.026129,1.03117,1.037497,1.043721,1.038682,0.970299,0.648462,0.686515
58,0.648507,0.970372,1.038892,1.044044,1.037911,1.031672,1.026714,1.022821,1.019708,1.017171,1.015071,1.013314,1.011828,1.01056,1.009471,1.00853,1.007711,1.006994,1.006364,1.005808,1.005314,1.004873,1.004479,1.004125,1.003805,1.003515,1.003252,1.003012,1.002792,1.00259,1.002404,1.002233,1.002073,1.001925,1.001787,1.001659,1.001538,1.001425,1.001318,1.001218,1.001123,1.001034,1.00095,1.00087,1.000794,1.000722,1.000654,1.00059,1.000529,1.000472,1.000417,1.000366,1.000318,1.000273,1.00023,1.000191,1.000154,1.000121,1.00009,1.000062,1.000036,1.000014,0.999994,0.999977,0.999964,0.999952,0.999944,0.999939,0.999937,0.999938,0.999942,0.999949,0.999959,0.999973,0.999989,1.00001,1.000033,1.000061,1.000092,1.000126,1.000165,1.000208,1.000255,1.000307,1.000363,1.000425,1.000491,1.000564,1.000642,1.000727,1.000819,1.000918,1.001026,1.001142,1.001269,1.001406,1.001555,1.001717,1.001895,1.002089,1.002301,1.002535,1.002792,1.003076,1.003391,1.003741,1.004131,1.004568,1.005059,1.005613,1.006241,1.006955,1.007772,1.008712,1.009799,1.011065,1.012548,1.014303,1.0164,1.018933,1.022042,1.025928,1.030879,1.037102,1.043189,1.037906,0.969151,0.647298,0.685847
73,0.648106,0.969983,1.038631,1.043869,1.037785,1.031581,1.026653,1.022788,1.019699,1.017184,1.015105,1.013364,1.011893,1.010638,1.009559,1.008626,1.007814,1.007102,1.006476,1.005922,1.005429,1.004989,1.004594,1.004238,1.003917,1.003625,1.003359,1.003116,1.002893,1.002688,1.002498,1.002322,1.002159,1.002007,1.001866,1.001733,1.001609,1.001492,1.001382,1.001278,1.00118,1.001087,1.000999,1.000916,1.000837,1.000762,1.000691,1.000624,1.000561,1.0005,1.000443,1.00039,1.000339,1.000292,1.000247,1.000206,1.000168,1.000132,1.000099,1.00007,1.000043,1.000019,0.999998,0.99998,0.999965,0.999953,0.999944,0.999938,0.999936,0.999936,0.999939,0.999946,0.999956,0.99997,0.999987,1.000007,1.000031,1.000059,1.000091,1.000126,1.000166,1.00021,1.000258,1.000311,1.000369,1.000432,1.0005,1.000574,1.000655,1.000742,1.000836,1.000937,1.001047,1.001166,1.001295,1.001435,1.001587,1.001752,1.001932,1.002128,1.002343,1.002578,1.002837,1.003123,1.003439,1.003789,1.004179,1.004615,1.005104,1.005655,1.006278,1.006986,1.007796,1.008726,1.009802,1.011054,1.012522,1.014258,1.016333,1.018842,1.021925,1.025781,1.0307,1.036884,1.042914,1.037525,0.968608,0.646744,0.685571
87,0.647932,0.969813,1.038514,1.043786,1.037722,1.031532,1.026616,1.022763,1.019685,1.017179,1.015109,1.013376,1.011912,1.010663,1.00959,1.008662,1.007854,1.007146,1.006522,1.00597,1.005479,1.00504,1.004646,1.004291,1.00397,1.003678,1.003412,1.003168,1.002945,1.002738,1.002548,1.002371,1.002207,1.002054,1.001911,1.001777,1.001651,1.001532,1.001421,1.001315,1.001216,1.001121,1.001032,1.000948,1.000867,1.000791,1.000719,1.00065,1.000585,1.000524,1.000466,1.000411,1.000359,1.000311,1.000265,1.000223,1.000183,1.000147,1.000113,1.000083,1.000055,1.000031,1.000009,0.99999,0.999975,0.999962,0.999953,0.999946,0.999943,0.999943,0.999946,0.999953,0.999963,0.999976,0.999993,1.000013,1.000037,1.000065,1.000097,1.000133,1.000173,1.000217,1.000266,1.000319,1.000377,1.000441,1.00051,1.000585,1.000666,1.000753,1.000848,1.00095,1.001061,1.001181,1.00131,1.001451,1.001603,1.001769,1.001949,1.002146,1.002361,1.002596,1.002855,1.00314,1.003455,1.003804,1.004193,1.004627,1.005113,1.005661,1.006281,1.006985,1.00779,1.008715,1.009784,1.011028,1.012488,1.014215,1.01628,1.018778,1.021848,1.025691,1.030595,1.036762,1.042766,1.037327,0.968334,0.646466,0.685449
102,0.647868,0.969752,1.038476,1.043765,1.03771,1.031528,1.026618,1.02277,1.019698,1.017197,1.015131,1.013403,1.011943,1.010697,1.009627,1.008702,1.007896,1.00719,1.006568,1.006017,1.005527,1.005089,1.004696,1.004341,1.00402,1.003728,1.003462,1.003218,1.002993,1.002787,1.002595,1.002418,1.002252,1.002098,1.001954,1.001819,1.001692,1.001572,1.001459,1.001353,1.001252,1.001156,1.001066,1.00098,1.000898,1.00082,1.000747,1.000677,1.000611,1.000548,1.000488,1.000432,1.000379,1.000329,1.000283,1.000239,1.000198,1.000161,1.000126,1.000094,1.000066,1.00004,1.000017,0.999998,0.999981,0.999968,0.999957,0.99995,0.999946,0.999945,0.999948,0.999954,0.999963,0.999975,0.999992,1.000012,1.000035,1.000063,1.000094,1.000129,1.000169,1.000213,1.000261,1.000315,1.000373,1.000436,1.000505,1.000579,1.00066,1.000748,1.000842,1.000945,1.001055,1.001175,1.001304,1.001445,1.001597,1.001762,1.001942,1.002138,1.002353,1.002587,1.002845,1.003129,1.003443,1.003791,1.004178,1.00461,1.005095,1.00564,1.006258,1.006959,1.00776,1.008681,1.009746,1.010986,1.012441,1.014162,1.016221,1.018712,1.021775,1.025611,1.030506,1.036664,1.042652,1.037183,0.96814,0.646271,0.685407
